I (237575) mpu6050 stream: AX:-0.156 AY:0.084 AZ:-0.945 | GX:-0.794 GY:-0.183 GZ:0.000 | T:25.24 C
I (237585) mpu6050 stream: AX:-0.157 AY:0.080 AZ:-0.939 | GX:-0.580 GY:0.092 GZ:-0.168 | T:25.24 C
I (237595) mpu6050 stream: AX:-0.161 AY:0.091 AZ:-0.946 | GX:-0.412 GY:0.137 GZ:0.015 | T:25.24 C
I (237605) mpu6050 stream: AX:-0.154 AY:0.086 AZ:-0.957 | GX:-0.351 GY:0.244 GZ:0.275 | T:25.14 C
I (237615) mpu6050 stream: AX:-0.153 AY:0.080 AZ:-0.950 | GX:-0.458 GY:0.198 GZ:0.305 | T:25.24 C
I (237625) mpu6050 stream: AX:-0.162 AY:0.087 AZ:-0.950 | GX:-0.229 GY:0.321 GZ:0.397 | T:25.24 C
I (237635) mpu6050 stream: AX:-0.152 AY:0.089 AZ:-0.952 | GX:-0.275 GY:0.550 GZ:0.519 | T:25.24 C
I (237645) mpu6050 stream: AX:-0.161 AY:0.084 AZ:-0.942 | GX:0.153 GY:0.214 GZ:0.443 | T:25.33 C
I (237655) mpu6050 stream: AX:-0.152 AY:0.082 AZ:-0.950 | GX:0.198 GY:0.595 GZ:0.733 | T:25.24 C
I (237665) mpu6050 stream: AX:-0.153 AY:0.079 AZ:-0.941 | GX:-0.137 GY:0.351 GZ:0.641 | T:25.24 C
I (237675) mpu6050 stream: AX:-0.147 AY:0.080 AZ:-0.945 | GX:-0.626 GY:0.046 GZ:0.718 | T:25.24 C
I (237685) mpu6050 stream: AX:-0.156 AY:0.086 AZ:-0.951 | GX:-1.145 GY:0.351 GZ:0.611 | T:25.24 C
I (237695) mpu6050 stream: AX:-0.153 AY:0.087 AZ:-0.946 | GX:-1.725 GY:0.168 GZ:0.519 | T:25.24 C
I (237705) mpu6050 stream: AX:-0.148 AY:0.084 AZ:-0.956 | GX:-0.916 GY:0.305 GZ:0.656 | T:25.33 C
I (237715) mpu6050 stream: AX:-0.158 AY:0.092 AZ:-0.941 | GX:0.260 GY:-0.168 GZ:0.687 | T:25.24 C
I (237725) mpu6050 stream: AX:-0.159 AY:0.092 AZ:-0.942 | GX:1.603 GY:-0.321 GZ:0.763 | T:25.24 C
I (237735) mpu6050 stream: AX:-0.157 AY:0.082 AZ:-0.947 | GX:1.817 GY:-0.534 GZ:0.901 | T:25.24 C
I (237745) mpu6050 stream: AX:-0.161 AY:0.081 AZ:-0.937 | GX:1.115 GY:-0.336 GZ:0.855 | T:25.24 C
