I (341825) mpu6050 stream: AX:-0.111 AY:0.104 AZ:-0.936 | GX:-0.519 GY:0.137 GZ:0.107 | T:25.24 C
I (341835) mpu6050 stream: AX:-0.115 AY:0.114 AZ:-0.946 | GX:-0.260 GY:-0.031 GZ:0.015 | T:25.24 C
I (341845) mpu6050 stream: AX:-0.115 AY:0.106 AZ:-0.950 | GX:-0.046 GY:0.031 GZ:0.260 | T:25.24 C
I (341855) mpu6050 stream: AX:-0.118 AY:0.105 AZ:-0.948 | GX:0.000 GY:-0.412 GZ:0.168 | T:25.24 C
I (341865) mpu6050 stream: AX:-0.115 AY:0.109 AZ:-0.962 | GX:0.183 GY:-0.275 GZ:0.260 | T:25.24 C
I (341875) mpu6050 stream: AX:-0.120 AY:0.102 AZ:-0.950 | GX:0.031 GY:-0.305 GZ:0.305 | T:25.28 C
I (341885) mpu6050 stream: AX:-0.116 AY:0.109 AZ:-0.955 | GX:0.015 GY:-0.336 GZ:0.565 | T:25.19 C
I (341895) mpu6050 stream: AX:-0.120 AY:0.103 AZ:-0.965 | GX:-0.031 GY:-0.290 GZ:0.458 | T:25.19 C
I (341905) mpu6050 stream: AX:-0.121 AY:0.109 AZ:-0.958 | GX:0.000 GY:0.351 GZ:0.672 | T:25.28 C
I (341915) mpu6050 stream: AX:-0.121 AY:0.102 AZ:-0.950 | GX:0.260 GY:0.336 GZ:0.763 | T:25.28 C
I (341925) mpu6050 stream: AX:-0.125 AY:0.109 AZ:-0.948 | GX:0.153 GY:0.321 GZ:0.687 | T:25.19 C
I (341935) mpu6050 stream: AX:-0.118 AY:0.106 AZ:-0.948 | GX:0.015 GY:0.458 GZ:0.824 | T:25.28 C
I (341945) mpu6050 stream: AX:-0.110 AY:0.102 AZ:-0.952 | GX:-0.092 GY:0.244 GZ:0.931 | T:25.28 C
I (341955) mpu6050 stream: AX:-0.112 AY:0.108 AZ:-0.956 | GX:-0.305 GY:0.397 GZ:0.763 | T:25.19 C
I (341965) mpu6050 stream: AX:-0.108 AY:0.103 AZ:-0.947 | GX:-0.336 GY:0.550 GZ:0.748 | T:25.19 C
I (341975) mpu6050 stream: AX:-0.105 AY:0.103 AZ:-0.953 | GX:-0.595 GY:0.809 GZ:0.565 | T:25.19 C
I (341985) mpu6050 stream: AX:-0.116 AY:0.102 AZ:-0.962 | GX:-0.947 GY:0.595 GZ:0.382 | T:25.19 C
I (341995) mpu6050 stream: AX:-0.113 AY:0.109 AZ:-0.959 | GX:-1.038 GY:0.916 GZ:0.427 | T:25.19 C
I (342005) mpu6050 stream: AX:-0.107 AY:0.116 AZ:-0.954 | GX:-0.916 GY:1.298 GZ:0.382 | T:25.19 C
I (342015) mpu6050 stream: AX:-0.104 AY:0.119 AZ:-0.940 | GX:0.397 GY:0.779 GZ:0.534 | T:25.19 C
I (342025) mpu6050 stream: AX:-0.100 AY:0.109 AZ:-0.941 | GX:1.802 GY:-0.061 GZ:0.565 | T:25.19 C
I (342035) mpu6050 stream: AX:-0.101 AY:0.102 AZ:-0.941 | GX:2.336 GY:-0.656 GZ:0.611 | T:25.19 C
I (342045) mpu6050 stream: AX:-0.106 AY:0.093 AZ:-0.944 | GX:1.863 GY:-0.840 GZ:0.489 | T:25.19 C
I (342055) mpu6050 stream: AX:-0.113 AY:0.096 AZ:-0.953 | GX:0.855 GY:-0.672 GZ:0.519 | T:25.19 C
I (342065) mpu6050 stream: AX:-0.114 AY:0.093 AZ:-0.941 | GX:-0.305 GY:-1.084 GZ:0.336 | T:25.28 C
I (342075) mpu6050 stream: AX:-0.110 AY:0.097 AZ:-0.942 | GX:-0.656 GY:-1.344 GZ:0.244 | T:25.28 C
I (342085) mpu6050 stream: AX:-0.113 AY:0.106 AZ:-0.947 | GX:-0.321 GY:-1.328 GZ:0.382 | T:25.19 C
I (342095) mpu6050 stream: AX:-0.118 AY:0.105 AZ:-0.947 | GX:0.015 GY:-1.481 GZ:0.565 | T:25.28 C
I (342105) mpu6050 stream: AX:-0.125 AY:0.101 AZ:-0.945 | GX:0.489 GY:-1.466 GZ:0.809 | T:25.09 C
I (342115) mpu6050 stream: AX:-0.125 AY:0.108 AZ:-0.956 | GX:0.534 GY:-1.206 GZ:0.870 | T:25.28 C
I (342125) mpu6050 stream: AX:-0.120 AY:0.098 AZ:-0.949 | GX:0.443 GY:-1.191 GZ:1.038 | T:25.28 C
I (342135) mpu6050 stream: AX:-0.130 AY:0.092 AZ:-0.955 | GX:-0.275 GY:-0.947 GZ:0.733 | T:25.19 C
I (342145) mpu6050 stream: AX:-0.124 AY:0.097 AZ:-0.954 | GX:-0.336 GY:-0.855 GZ:0.656 | T:25.28 C
I (342155) mpu6050 stream: AX:-0.124 AY:0.099 AZ:-0.955 | GX:-0.550 GY:-0.687 GZ:0.290 | T:25.28 C
I (342165) mpu6050 stream: AX:-0.121 AY:0.098 AZ:-0.954 | GX:-0.565 GY:-0.244 GZ:-0.107 | T:25.24 C
I (342175) mpu6050 stream: AX:-0.121 AY:0.097 AZ:-0.951 | GX:-0.702 GY:-0.412 GZ:-0.061 | T:25.28 C
I (342185) mpu6050 stream: AX:-0.122 AY:0.103 AZ:-0.955 | GX:-0.763 GY:-0.183 GZ:-0.412 | T:25.24 C
I (342195) mpu6050 stream: AX:-0.117 AY:0.102 AZ:-0.953 | GX:-0.641 GY:-0.046 GZ:-0.473 | T:25.24 C
I (342205) mpu6050 stream: AX:-0.117 AY:0.103 AZ:-0.944 | GX:-0.183 GY:-0.244 GZ:-0.427 | T:25.14 C
I (342215) mpu6050 stream: AX:-0.128 AY:0.108 AZ:-0.954 | GX:0.076 GY:-0.382 GZ:-0.504 | T:25.24 C
I (342225) mpu6050 stream: AX:-0.129 AY:0.104 AZ:-0.971 | GX:-0.153 GY:-0.031 GZ:-0.198 | T:25.14 C
I (342235) mpu6050 stream: AX:-0.119 AY:0.104 AZ:-0.959 | GX:-0.351 GY:0.412 GZ:-0.229 | T:25.24 C
I (342245) mpu6050 stream: AX:-0.121 AY:0.101 AZ:-0.966 | GX:-0.519 GY:0.366 GZ:-0.229 | T:25.14 C
I (342255) mpu6050 stream: AX:-0.114 AY:0.108 AZ:-0.958 | GX:-0.275 GY:0.718 GZ:-0.076 | T:25.05 C
I (342265) mpu6050 stream: AX:-0.120 AY:0.114 AZ:-0.950 | GX:0.290 GY:0.427 GZ:0.000 | T:25.24 C
I (342275) mpu6050 stream: AX:-0.116 AY:0.107 AZ:-0.950 | GX:0.473 GY:0.733 GZ:0.336 | T:25.24 C
I (342285) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.959 | GX:0.702 GY:0.397 GZ:0.550 | T:25.14 C
I (342295) mpu6050 stream: AX:-0.117 AY:0.102 AZ:-0.952 | GX:0.656 GY:0.977 GZ:0.885 | T:25.24 C
I (342305) mpu6050 stream: AX:-0.117 AY:0.097 AZ:-0.948 | GX:0.275 GY:0.656 GZ:0.672 | T:25.14 C
I (342315) mpu6050 stream: AX:-0.112 AY:0.102 AZ:-0.946 | GX:-0.031 GY:0.626 GZ:0.718 | T:25.14 C
I (342325) mpu6050 stream: AX:-0.109 AY:0.101 AZ:-0.947 | GX:-0.641 GY:0.473 GZ:0.580 | T:25.14 C
I (342335) mpu6050 stream: AX:-0.117 AY:0.099 AZ:-0.947 | GX:-0.794 GY:0.412 GZ:0.550 | T:25.24 C
I (342345) mpu6050 stream: AX:-0.112 AY:0.105 AZ:-0.944 | GX:-0.718 GY:0.122 GZ:0.611 | T:25.24 C
I (342355) mpu6050 stream: AX:-0.120 AY:0.111 AZ:-0.950 | GX:-0.107 GY:0.763 GZ:0.809 | T:25.14 C
I (342365) mpu6050 stream: AX:-0.115 AY:0.105 AZ:-0.941 | GX:0.427 GY:0.504 GZ:0.779 | T:25.14 C
I (342375615) mpu6050 stream: AX:-0.116 AY:0.100 AZ:-0.935 | GX:0.046 GY:0.580 GZ:0.397 | T:25.19 C
I (342625) mpu6050 stream: AX:-0.115 AY:0.101 AZ:-0.957 | GX:0.015 GY:0.580 GZ:0.336 | T:25.19 C
I (342635) mpu6050 stream: AX:-0.114 AY:0.109 AZ:-0.953 | GX:0.000 GY:0.336 GZ:0.412 | T:25.28 C
I (342645) mpu6050 stream: AX:-0.120 AY:0.104 AZ:-0.945 | GX:-0.260 GY:0.641 GZ:0.122 | T:25.19 C
I (342655) mpu6050 stream: AX:-0.117 AY:0.111 AZ:-0.944 | GX:-0.153 GY:0.641 GZ:0.351 | T:25.19 C
I (342665) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.952 | GX:0.122 GY:0.748 GZ:0.427 | T:25.24 C
I (342675) mpu6050 stream: AX:-0.114 AY:0.112 AZ:-0.948 | GX:0.046 GY:0.748 GZ:0.519 | T:25.28 C
I (342685) mpu6050 stream: AX:-0.118 AY:0.104 AZ:-0.940 | GX:0.107 GY:0.611 GZ:0.687 | T:25.24 C
I (342695) mpu6050 stream: AX:-0.118 AY:0.105 AZ:-0.946 | GX:0.290 GY:0.290 GZ:0.504 | T:25.19 C
I (342705) mpu6050 stream: AX:-0.111 AY:0.107 AZ:-0.946 | GX:0.229 GY:-0.076 GZ:0.687 | T:25.28 C
I (342715) mpu6050 stream: AX:-0.114 AY:0.104 AZ:-0.949 | GX:0.031 GY:-0.031 GZ:0.595 | T:25.28 C
I (342725) mpu6050 stream: AX:-0.112 AY:0.110 AZ:-0.949 | GX:0.061 GY:0.061 GZ:0.702 | T:25.19 C
I (342735) mpu6050 stream: AX:-0.117 AY:0.105 AZ:-0.953 | GX:0.183 GY:0.168 GZ:0.824 | T:25.19 C
I (342745) mpu6050 stream: AX:-0.122 AY:0.103 AZ:-0.958 | GX:0.260 GY:0.489 GZ:0.824 | T:25.24 C
I (342755) mpu6050 stream: AX:-0.115 AY:0.103 AZ:-0.952 | GX:0.321 GY:0.626 GZ:1.084 | T:25.28 C
I (342765) mpu6050 stream: AX:-0.116 AY:0.102 AZ:-0.951 | GX:0.427 GY:0.305 GZ:1.053 | T:25.14 C
