I (463855) mpu6050 stream: AX:-0.067 AY:0.063 AZ:-0.952 | GX:-1.924 GY:-0.107 GZ:1.145 | T:25.14 C
I (463865) mpu6050 stream: AX:-0.070 AY:0.069 AZ:-0.957 | GX:-2.336 GY:-0.275 GZ:1.160 | T:25.14 C
I (463875) mpu6050 stream: AX:-0.074 AY:0.072 AZ:-0.944 | GX:-2.305 GY:-0.275 GZ:1.328 | T:25.14 C
I (463885) mpu6050 stream: AX:-0.072 AY:0.074 AZ:-0.956 | GX:-1.282 GY:-0.122 GZ:1.267 | T:25.14 C
I (463895) mpu6050 stream: AX:-0.068 AY:0.074 AZ:-0.948 | GX:-0.641 GY:-0.107 GZ:1.237 | T:25.05 C
I (463905) mpu6050 stream: AX:-0.071 AY:0.067 AZ:-0.948 | GX:-0.153 GY:-0.031 GZ:1.176 | T:25.14 C
I (463915) mpu6050 stream: AX:-0.071 AY:0.067 AZ:-0.958 | GX:-0.687 GY:-0.305 GZ:0.916 | T:25.14 C
I (463925) mpu6050 stream: AX:-0.074 AY:0.065 AZ:-0.963 | GX:-1.206 GY:0.046 GZ:0.763 | T:25.00 C
I (463935) mpu6050 stream: AX:-0.067 AY:0.066 AZ:-0.956 | GX:-1.832 GY:0.153 GZ:0.458 | T:25.00 C
I (463945) mpu6050 stream: AX:-0.071 AY:0.072 AZ:-0.960 | GX:-2.046 GY:-0.244 GZ:0.351 | T:25.09 C
I (463955) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.948 | GX:-1.435 GY:-0.076 GZ:0.427 | T:25.09 C
I (463965) mpu6050 stream: AX:-0.065 AY:0.079 AZ:-0.944 | GX:-0.977 GY:0.076 GZ:0.107 | T:25.09 C
I (463975) mpu6050 stream: AX:-0.067 AY:0.078 AZ:-0.955 | GX:-0.473 GY:0.107 GZ:0.153 | T:25.09 C
I (463985) mpu6050 stream: AX:-0.067 AY:0.080 AZ:-0.954 | GX:-0.290 GY:0.031 GZ:0.153 | T:25.09 C
I (463995) mpu6050 stream: AX:-0.069 AY:0.076 AZ:-0.957 | GX:-0.565 GY:-0.198 GZ:0.443 | T:25.09 C
I (464005) mpu6050 stream: AX:-0.062 AY:0.081 AZ:-0.963 | GX:-1.160 GY:-0.076 GZ:0.504 | T:25.05 C
I (464015) mpu6050 stream: AX:-0.069 AY:0.082 AZ:-0.965 | GX:-1.221 GY:-0.366 GZ:0.519 | T:25.09 C
