I (201185) mpu6050 stream: AX:-0.151 AY:0.093 AZ:-0.933 | GX:0.107 GY:0.214 GZ:1.450 | T:25.24 C
I (201195) mpu6050 stream: AX:-0.156 AY:0.086 AZ:-0.934 | GX:-0.168 GY:-0.153 GZ:1.389 | T:25.19 C
I (201205) mpu6050 stream: AX:-0.160 AY:0.083 AZ:-0.939 | GX:-0.687 GY:-0.504 GZ:1.160 | T:25.19 C
I (201215) mpu6050 stream: AX:-0.155 AY:0.091 AZ:-0.951 | GX:-1.160 GY:-0.473 GZ:0.794 | T:25.28 C
I (201225) mpu6050 stream: AX:-0.159 AY:0.095 AZ:-0.943 | GX:-1.527 GY:0.015 GZ:0.748 | T:25.19 C
I (201235) mpu6050 stream: AX:-0.161 AY:0.098 AZ:-0.958 | GX:-1.267 GY:0.321 GZ:0.763 | T:25.19 C
I (201245) mpu6050 stream: AX:-0.162 AY:0.107 AZ:-0.944 | GX:-0.153 GY:0.351 GZ:0.641 | T:25.19 C
I (201255) mpu6050 stream: AX:-0.167 AY:0.104 AZ:-0.946 | GX:1.542 GY:0.351 GZ:0.733 | T:25.19 C
I (201265) mpu6050 stream: AX:-0.155 AY:0.102 AZ:-0.935 | GX:2.412 GY:0.214 GZ:0.931 | T:25.19 C
I (201275) mpu6050 stream: AX:-0.167 AY:0.097 AZ:-0.943 | GX:2.443 GY:0.122 GZ:1.130 | T:25.28 C
I (201285) mpu6050 stream: AX:-0.166 AY:0.086 AZ:-0.936 | GX:1.252 GY:-0.427 GZ:1.206 | T:25.19 C
I (201295) mpu6050 stream: AX:-0.165 AY:0.095 AZ:-0.939 | GX:-0.046 GY:-0.763 GZ:1.252 | T:25.19 C
I (201305) mpu6050 stream: AX:-0.163 AY:0.096 AZ:-0.938 | GX:-1.115 GY:-1.099 GZ:1.466 | T:25.19 C
I (201315) mpu6050 stream: AX:-0.169 AY:0.102 AZ:-0.941 | GX:-1.298 GY:-0.992 GZ:1.649 | T:25.28 C
I (201325) mpu6050 stream: AX:-0.173 AY:0.101 AZ:-0.945 | GX:-0.718 GY:-0.687 GZ:1.939 | T:25.19 C
I (201335) mpu6050 stream: AX:-0.176 AY:0.099 AZ:-0.956 | GX:-0.076 GY:-0.031 GZ:2.244 | T:25.28 C
I (201345) mpu6050 stream: AX:-0.177 AY:0.097 AZ:-0.945 | GX:0.702 GY:0.702 GZ:2.412 | T:25.09 C
I (201355) mpu6050 stream: AX:-0.169 AY:0.094 AZ:-0.948 | GX:0.916 GY:1.038 GZ:2.458 | T:25.19 C
I (201365) mpu6050 stream: AX:-0.163 AY:0.081 AZ:-0.937 | GX:0.702 GY:0.748 GZ:2.198 | T:25.19 C
I (201375) mpu6050 stream: AX:-0.169 AY:0.085 AZ:-0.935 | GX:-0.153 GY:0.336 GZ:1.893 | T:25.09 C
I (201385) mpu6050 stream: AX:-0.160 AY:0.081 AZ:-0.937 | GX:-0.702 GY:0.198 GZ:1.725 | T:25.19 C
I (201395) mpu6050 stream: AX:-0.161 AY:0.088 AZ:-0.932 | GX:-1.130 GY:0.061 GZ:1.359 | T:25.28 C
I (201405) mpu6050 stream: AX:-0.159 AY:0.090 AZ:-0.928 | GX:-0.916 GY:-0.214 GZ:1.099 | T:25.19 C
