I (189145) mpu6050 stream: AX:-0.069 AY:0.101 AZ:-0.954 | GX:0.153 GY:-1.282 GZ:0.687 | T:25.24 C
I (189155) mpu6050 stream: AX:-0.064 AY:0.090 AZ:-0.959 | GX:1.084 GY:-1.695 GZ:0.809 | T:25.14 C
I (189165) mpu6050 stream: AX:-0.077 AY:0.093 AZ:-0.959 | GX:1.588 GY:-1.786 GZ:1.313 | T:25.24 C
I (189175) mpu6050 stream: AX:-0.073 AY:0.079 AZ:-0.954 | GX:1.588 GY:-1.771 GZ:1.374 | T:25.24 C
I (189185) mpu6050 stream: AX:-0.078 AY:0.079 AZ:-0.951 | GX:0.718 GY:-1.695 GZ:1.374 | T:25.14 C
I (189195) mpu6050 stream: AX:-0.075 AY:0.077 AZ:-0.970 | GX:-0.260 GY:-1.527 GZ:1.191 | T:25.14 C
I (189205) mpu6050 stream: AX:-0.082 AY:0.077 AZ:-0.962 | GX:-0.611 GY:-1.267 GZ:1.344 | T:25.24 C
I (189215) mpu6050 stream: AX:-0.084 AY:0.079 AZ:-0.957 | GX:-0.412 GY:-1.008 GZ:1.603 | T:25.14 C
I (189225) mpu6050 stream: AX:-0.081 AY:0.084 AZ:-0.961 | GX:0.153 GY:-1.008 GZ:1.649 | T:25.14 C
I (189235) mpu6050 stream: AX:-0.079 AY:0.083 AZ:-0.948 | GX:0.687 GY:-0.779 GZ:1.878 | T:25.14 C
I (189245) mpu6050 stream: AX:-0.076 AY:0.082 AZ:-0.958 | GX:0.824 GY:-1.099 GZ:1.939 | T:25.24 C
I (189255) mpu6050 stream: AX:-0.076 AY:0.073 AZ:-0.942 | GX:0.305 GY:-0.931 GZ:1.847 | T:25.14 C
I (189265) mpu6050 stream: AX:-0.075 AY:0.070 AZ:-0.952 | GX:-0.275 GY:-1.603 GZ:1.817 | T:25.24 C
I (189275) mpu6050 stream: AX:-0.071 AY:0.071 AZ:-0.947 | GX:-0.534 GY:-1.588 GZ:1.359 | T:25.24 C
I (189285) mpu6050 stream: AX:-0.078 AY:0.073 AZ:-0.959 | GX:-0.580 GY:-1.588 GZ:1.160 | T:25.24 C
