I (291605) mpu6050 stream: AX:-0.144 AY:0.085 AZ:-0.933 | GX:0.000 GY:0.779 GZ:0.947 | T:25.33 C
I (291615) mpu6050 stream: AX:-0.140 AY:0.085 AZ:-0.941 | GX:-0.229 GY:0.290 GZ:0.870 | T:25.33 C
I (291625) mpu6050 stream: AX:-0.149 AY:0.091 AZ:-0.943 | GX:-0.473 GY:0.015 GZ:0.824 | T:25.33 C
I (291635) mpu6050 stream: AX:-0.166 AY:0.093 AZ:-0.948 | GX:-0.473 GY:0.305 GZ:0.992 | T:25.14 C
I (291645) mpu6050 stream: AX:-0.167 AY:0.095 AZ:-0.951 | GX:-0.321 GY:0.763 GZ:1.298 | T:25.24 C
I (291655) mpu6050 stream: AX:-0.165 AY:0.095 AZ:-0.948 | GX:0.122 GY:1.130 GZ:1.374 | T:25.24 C
I (291665) mpu6050 stream: AX:-0.154 AY:0.089 AZ:-0.948 | GX:0.351 GY:1.344 GZ:1.557 | T:25.24 C
I (291675) mpu6050 stream: AX:-0.155 AY:0.089 AZ:-0.944 | GX:0.748 GY:1.252 GZ:1.588 | T:25.24 C
I (291685) mpu6050 stream: AX:-0.149 AY:0.090 AZ:-0.942 | GX:0.672 GY:1.328 GZ:1.740 | T:25.24 C
I (291695) mpu6050 stream: AX:-0.147 AY:0.081 AZ:-0.941 | GX:0.641 GY:1.282 GZ:1.725 | T:25.33 C
I (291705) mpu6050 stream: AX:-0.148 AY:0.081 AZ:-0.936 | GX:0.061 GY:1.328 GZ:1.573 | T:25.33 C
I (291715) mpu6050 stream: AX:-0.144 AY:0.084 AZ:-0.929 | GX:-0.168 GY:0.794 GZ:1.405 | T:25.19 C
I (291725) mpu6050 stream: AX:-0.138 AY:0.083 AZ:-0.934 | GX:-0.550 GY:-0.107 GZ:1.191 | T:25.28 C
I (291735) mpu6050 stream: AX:-0.140 AY:0.089 AZ:-0.947 | GX:-0.916 GY:-0.382 GZ:0.916 | T:25.28 C
I (291745) mpu6050 stream: AX:-0.149 AY:0.089 AZ:-0.955 | GX:-1.420 GY:-0.305 GZ:0.901 | T:25.28 C
I (291755) mpu6050 stream: AX:-0.153 AY:0.093 AZ:-0.949 | GX:-1.008 GY:0.260 GZ:0.992 | T:25.28 C
I (291765) mpu6050 stream: AX:-0.152 AY:0.099 AZ:-0.947 | GX:0.397 GY:0.061 GZ:1.038 | T:25.28 C
I (291775) mpu6050 stream: AX:-0.147 AY:0.093 AZ:-0.944 | GX:1.878 GY:-0.412 GZ:1.405 | T:25.28 C
I (291785) mpu6050 stream: AX:-0.156 AY:0.094 AZ:-0.948 | GX:2.473 GY:-0.641 GZ:1.374 | T:25.19 C
I (291795) mpu6050 stream: AX:-0.155 AY:0.079 AZ:-0.950 | GX:1.939 GY:-0.550 GZ:1.160 | T:25.28 C
I (291805) mpu6050 stream: AX:-0.150 AY:0.083 AZ:-0.943 | GX:0.504 GY:-0.168 GZ:1.405 | T:25.28 C
I (291815) mpu6050 stream: AX:-0.155 AY:0.079 AZ:-0.943 | GX:-0.519 GY:-0.260 GZ:1.176 | T:25.38 C
I (291825) mpu6050 stream: AX:-0.157 AY:0.083 AZ:-0.946 | GX:-0.855 GY:-0.641 GZ:1.176 | T:25.19 C
I (291835) mpu6050 stream: AX:-0.156 AY:0.087 AZ:-0.944 | GX:-0.550 GY:-1.237 GZ:1.573 | T:25.28 C
I (291845) mpu6050 stream: AX:-0.164 AY:0.089 AZ:-0.950 | GX:-0.214 GY:-0.809 GZ:1.924 | T:25.28 C
I (291855) mpu6050 stream: AX:-0.166 AY:0.085 AZ:-0.943 | GX:0.107 GY:-0.092 GZ:1.695 | T:25.28 C
I (291865) mpu6050 stream: AX:-0.159 AY:0.075 AZ:-0.954 | GX:0.092 GY:0.229 GZ:1.863 | T:25.38 C
I (291875) mpu6050 stream: AX:-0.157 AY:0.081 AZ:-0.934 | GX:0.000 GY:0.107 GZ:1.511 | T:25.19 C
I (291885) mpu6050 stream: AX:-0.157 AY:0.080 AZ:-0.947 | GX:-0.198 GY:0.137 GZ:1.344 | T:25.28 C
I (291895) mpu6050 stream: AX:-0.163 AY:0.073 AZ:-0.947 | GX:-0.595 GY:0.137 GZ:1.206 | T:25.19 C
I (291905) mpu6050 stream: AX:-0.157 AY:0.078 AZ:-0.944 | GX:-0.779 GY:0.214 GZ:0.855 | T:25.19 C
I (291915) mpu6050 stream: AX:-0.151 AY:0.087 AZ:-0.947 | GX:-0.962 GY:0.183 GZ:0.366 | T:25.28 C
I (291925) mpu6050 stream: AX:-0.152 AY:0.083 AZ:-0.946 | GX:-0.855 GY:0.153 GZ:0.153 | T:25.28 C
I (291935) mpu6050 stream: AX:-0.150 AY:0.084 AZ:-0.930 | GX:-0.580 GY:-0.290 GZ:-0.076 | T:25.28 C
I (291945) mpu6050 stream: AX:-0.154 AY:0.083 AZ:-0.951 | GX:-0.534 GY:-0.183 GZ:-0.107 | T:25.28 C
I (291955) mpu6050 stream: AX:-0.159 AY:0.092 AZ:-0.952 | GX:-0.290 GY:-0.076 GZ:-0.092 | T:25.28 C
I (291965) mpu6050 stream: AX:-0.160 AY:0.088 AZ:-0.953 | GX:-0.275 GY:-0.137 GZ:0.000 | T:25.28 C
I (291975) mpu6050 stream: AX:-0.160 AY:0.092 AZ:-0.948 | GX:-0.580 GY:0.443 GZ:0.244 | T:25.19 C
I (291985) mpu6050 stream: AX:-0.164 AY:0.089 AZ:-0.958 | GX:-0.641 GY:0.885 GZ:0.244 | T:25.28 C
I (291995) mpu6050 stream: AX:-0.157 AY:0.091 AZ:-0.950 | GX:-1.008 GY:0.947 GZ:0.366 | T:25.28 C
I (292005) mpu6050 stream: AX:-0.156 AY:0.096 AZ:-0.938 | GX:-0.779 GY:0.748 GZ:0.412 | T:25.28 C
I (292015) mpu6050 stream: AX:-0.154 AY:0.094 AZ:-0.945 | GX:-0.366 GY:0.565 GZ:0.763 | T:25.19 C
I (292025) mpu6050 stream: AX:-0.158 AY:0.099 AZ:-0.950 | GX:-0.031 GY:0.443 GZ:1.130 | T:25.28 C
I (292035) mpu6050 stream: AX:-0.157 AY:0.097 AZ:-0.946 | GX:0.290 GY:0.427 GZ:1.115 | T:25.28 C
I (292045) mpu6050 stream: AX:-0.156 AY:0.087 AZ:-0.943 | GX:0.305 GY:0.641 GZ:0.962 | T:25.19 C
I (292055) mpu6050 stream: AX:-0.152 AY:0.089 AZ:-0.940 | GX:0.198 GY:0.672 GZ:1.023 | T:25.19 C
I (292065) mpu6050 stream: AX:-0.150 AY:0.088 AZ:-0.943 | GX:-0.107 GY:0.321 GZ:0.885 | T:25.28 C
I (292075) mpu6050 stream: AX:-0.153 AY:0.089 AZ:-0.937 | GX:-0.366 GY:-0.061 GZ:0.733 | T:25.19 C
I (292085) mpu6050 stream: AX:-0.155 AY:0.094 AZ:-0.944 | GX:-0.672 GY:-0.122 GZ:0.870 | T:25.19 C
I (292095) mpu6050 stream: AX:-0.162 AY:0.094 AZ:-0.945 | GX:-0.092 GY:-0.412 GZ:0.977 | T:25.28 C
I (292105) mpu6050 stream: AX:-0.153 AY:0.097 AZ:-0.944 | GX:0.305 GY:-0.137 GZ:1.038 | T:25.19 C
I (292115) mpu6050 stream: AX:-0.156 AY:0.091 AZ:-0.944 | GX:0.992 GY:0.290 GZ:1.069 | T:25.19 C
I (292125) mpu6050 stream: AX:-0.156 AY:0.090 AZ:-0.950 | GX:1.405 GY:0.443 GZ:1.176 | T:25.19 C
I (292135) mpu6050 stream: AX:-0.154 AY:0.084 AZ:-0.946 | GX:1.435 GY:0.443 GZ:1.359 | T:25.19 C
I (292145) mpu6050 stream: AX:-0.153 AY:0.080 AZ:-0.939 | GX:1.069 GY:0.321 GZ:1.328 | T:25.28 C
I (292155) mpu6050 stream: AX:-0.151 AY:0.082 AZ:-0.938 | GX:0.702 GY:-0.076 GZ:1.450 | T:25.28 C
I (292165) mpu6050 stream: AX:-0.150 AY:0.084 AZ:-0.944 | GX:0.198 GY:-0.214 GZ:1.695 | T:25.28 C
I (292175) mpu6050 stream: AX:-0.151 AY:0.085 AZ:-0.941 | GX:-0.122 GY:-0.397 GZ:1.634 | T:25.28 C
I (292185) mpu6050 stream: AX:-0.156 AY:0.082 AZ:-0.948 | GX:0.015 GY:-0.366 GZ:1.466 | T:25.28 C
