I (658435) mpu6050 stream: AX:0.027 AY:0.137 AZ:-0.949 | GX:-0.260 GY:-0.779 GZ:0.305 | T:25.00 C
I (658445) mpu6050 stream: AX:0.033 AY:0.134 AZ:-0.954 | GX:1.313 GY:-0.947 GZ:0.565 | T:24.91 C
I (658455) mpu6050 stream: AX:0.023 AY:0.131 AZ:-0.946 | GX:2.412 GY:-0.947 GZ:0.809 | T:25.00 C
I (658465) mpu6050 stream: AX:0.030 AY:0.126 AZ:-0.957 | GX:2.687 GY:-0.855 GZ:0.824 | T:25.00 C
I (658475) mpu6050 stream: AX:0.027 AY:0.120 AZ:-0.961 | GX:1.664 GY:-1.069 GZ:0.870 | T:25.00 C
I (658485) mpu6050 stream: AX:0.023 AY:0.116 AZ:-0.962 | GX:0.153 GY:-1.511 GZ:0.885 | T:24.91 C
I (658495) mpu6050 stream: AX:0.023 AY:0.118 AZ:-0.953 | GX:-1.344 GY:-1.954 GZ:0.855 | T:25.00 C
I (658505) mpu6050 stream: AX:0.021 AY:0.126 AZ:-0.956 | GX:-0.840 GY:-2.305 GZ:0.855 | T:24.91 C
I (658515) mpu6050 stream: AX:0.023 AY:0.130 AZ:-0.945 | GX:-1.176 GY:-1.969 GZ:0.977 | T:25.00 C
I (658525) mpu6050 stream: AX:0.017 AY:0.130 AZ:-0.952 | GX:-0.397 GY:-1.939 GZ:1.344 | T:25.09 C
I (658535) mpu6050 stream: AX:0.018 AY:0.130 AZ:-0.961 | GX:-0.244 GY:-1.908 GZ:1.405 | T:25.00 C
I (658545) mpu6050 stream: AX:0.017 AY:0.121 AZ:-0.954 | GX:0.260 GY:-1.832 GZ:1.588 | T:25.00 C
I (658555) mpu6050 stream: AX:0.018 AY:0.122 AZ:-0.953 | GX:0.183 GY:-1.634 GZ:1.328 | T:25.00 C
I (658565) mpu6050 stream: AX:0.019 AY:0.119 AZ:-0.958 | GX:-0.672 GY:-1.588 GZ:1.237 | T:25.00 C
I (658575) mpu6050 stream: AX:0.020 AY:0.111 AZ:-0.958 | GX:-0.718 GY:-1.466 GZ:0.901 | T:25.00 C
I (658585) mpu6050 stream: AX:0.010 AY:0.117 AZ:-0.965 | GX:-0.885 GY:-1.237 GZ:0.748 | T:25.00 C
I (658595) mpu6050 stream: AX:0.017 AY:0.123 AZ:-0.964 | GX:-0.733 GY:-1.206 GZ:0.076 | T:25.00 C
I (658605) mpu6050 stream: AX:0.014 AY:0.121 AZ:-0.964 | GX:-0.595 GY:-1.038 GZ:-0.046 | T:25.00 C
I (658615) mpu6050 stream: AX:0.017 AY:0.125 AZ:-0.953 | GX:-0.046 GY:-0.885 GZ:-0.198 | T:24.91 C
I (658625) mpu6050 stream: AX:0.024 AY:0.123 AZ:-0.962 | GX:0.336 GY:-1.267 GZ:-0.198 | T:25.00 C
