I (414425) mpu6050 stream: AX:-0.123 AY:0.116 AZ:-0.941 | GX:-0.122 GY:-0.260 GZ:1.282 | T:25.19 C
I (414435) mpu6050 stream: AX:-0.126 AY:0.114 AZ:-0.946 | GX:-0.076 GY:-0.458 GZ:1.374 | T:25.19 C
I (414445) mpu6050 stream: AX:-0.129 AY:0.118 AZ:-0.948 | GX:0.229 GY:-0.504 GZ:1.359 | T:25.19 C
I (414455) mpu6050 stream: AX:-0.131 AY:0.122 AZ:-0.955 | GX:0.214 GY:-0.565 GZ:1.435 | T:25.19 C
I (414465) mpu6050 stream: AX:-0.131 AY:0.118 AZ:-0.942 | GX:0.168 GY:-0.489 GZ:1.420 | T:25.09 C
I (414475) mpu6050 stream: AX:-0.125 AY:0.109 AZ:-0.956 | GX:0.168 GY:-0.153 GZ:1.664 | T:25.19 C
I (414485) mpu6050 stream: AX:-0.125 AY:0.113 AZ:-0.953 | GX:0.092 GY:-0.092 GZ:1.756 | T:25.19 C
I (414495) mpu6050 stream: AX:-0.130 AY:0.118 AZ:-0.957 | GX:-0.092 GY:0.412 GZ:1.542 | T:25.09 C
I (414505) mpu6050 stream: AX:-0.137 AY:0.120 AZ:-0.061 GY:0.473 GZ:1.084 | T:25.19 C
I (414755) mpu6050 stream: AX:-0.129 AY:0.119 AZ:-0.943 | GX:-0.275 GY:0.473 GZ:1.130 | T:25.19 C
I (414765) mpu6050 stream: AX:-0.129 AY:0.115 AZ:-0.953 | GX:-0.229 GY:-0.015 GZ:1.313 | T:25.19 C
I (414775) mpu6050 stream: AX:-0.134 AY:0.118 AZ:-0.945 | GX:-0.473 GY:0.153 GZ:1.450 | T:25.09 C
I (414785) mpu6050 stream: AX:-0.134 AY:0.118 AZ:-0.951 | GX:-0.229 GY:0.733 GZ:1.313 | T:25.09 C
I (414795) mpu6050 stream: AX:-0.138 AY:0.118 AZ:-0.951 | GX:-0.092 GY:0.595 GZ:1.374 | T:25.09 C
I (414805) mpu6050 stream: AX:-0.132 AY:0.117 AZ:-0.953 | GX:-0.489 GY:0.931 GZ:1.466 | T:25.09 C
I (414815) mpu6050 stream: AX:-0.127 AY:0.123 AZ:-0.963 | GX:-0.779 GY:1.405 GZ:1.679 | T:25.19 C
I (414825) mpu6050 stream: AX:-0.122 AY:0.130 AZ:-0.960 | GX:-0.519 GY:1.588 GZ:1.573 | T:25.09 C
I (414835) mpu6050 stream: AX:-0.116 AY:0.130 AZ:-0.940 | GX:0.534 GY:0.962 GZ:1.466 | T:25.19 C
I (414845) mpu6050 stream: AX:-0.126 AY:0.125 AZ:-0.934 | GX:1.725 GY:0.412 GZ:1.466 | T:25.19 C
I (414855) mpu6050 stream: AX:-0.125 AY:0.118 AZ:-0.935 | GX:2.305 GY:-0.031 GZ:1.450 | T:25.09 C
I (414865) mpu6050 stream: AX:-0.119 AY:0.114 AZ:-0.940 | GX:1.954 GY:-0.290 GZ:1.710 | T:25.19 C
I (414875) mpu6050 stream: AX:-0.123 AY:0.106 AZ:-0.935 | GX:0.855 GY:-0.733 GZ:1.450 | T:25.19 C
I (414885) mpu6050 stream: AX:-0.129 AY:0.115 AZ:-0.946 | GX:-0.321 GY:-0.718 GZ:1.359 | T:25.19 C
I (414895) mpu6050 stream: AX:-0.129 AY:0.117 AZ:-0.941 | GX:-1.008 GY:-0.824 GZ:1.359 | T:25.19 C
I (414905) mpu6050 stream: AX:-0.131 AY:0.117 AZ:-0.945 | GX:-0.947 GY:-0.809 GZ:1.557 | T:25.19 C
