I (353365) mpu6050 stream: AX:-0.127 AY:0.090 AZ:-0.947 | GX:1.023 GY:-0.336 GZ:1.969 | T:25.14 C
I (353375) mpu6050 stream: AX:-0.120 AY:0.080 AZ:-0.948 | GX:0.672 GY:-0.443 GZ:1.924 | T:25.24 C
I (353385) mpu6050 stream: AX:-0.120 AY:0.083 AZ:-0.950 | GX:0.107 GY:-0.366 GZ:1.832 | T:25.14 C
I (353395) mpu6050 stream: AX:-0.125 AY:0.083 AZ:-0.952 | GX:-0.031 GY:-0.565 GZ:1.573 | T:25.24 C
I (353405) mpu6050 stream: AX:-0.128 AY:0.088 AZ:-0.956 | GX:-0.122 GY:-0.336 GZ:1.374 | T:25.14 C
I (353415) mpu6050 stream: AX:-0.127 AY:0.090 AZ:-0.952 | GX:-0.336 GY:-0.260 GZ:1.145 | T:25.24 C
I (353425) mpu6050 stream: AX:-0.128 AY:0.089 AZ:-0.958 | GX:-0.305 GY:-0.183 GZ:1.023 | T:25.14 C
I (353435) mpu6050 stream: AX:-0.128 AY:0.088 AZ:-0.953 | GX:-0.321 GY:-0.305 GZ:0.885 | T:25.24 C
I (353445) mpu6050 stream: AX:-0.132 AY:0.092 AZ:-0.946 | GX:-0.183 GY:-0.214 GZ:0.595 | T:25.14 C
I (353455) mpu6050 stream: AX:-0.127 AY:0.092 AZ:-0.958 | GX:0.061 GY:0.031 GZ:0.504 | T:25.24 C
I (353465) mpu6050 stream: AX:-0.128 AY:0.088 AZ:-0.952 | GX:0.107 GY:0.092 GZ:0.763 | T:25.14 C
I (353475) mpu6050 stream: AX:-0.134 AY:0.087 AZ:-0.949 | GX:0.061 GY:0.046 GZ:0.779 | T:25.14 C
I (353485) mpu6050 stream: AX:-0.125 AY:0.085 AZ:-0.948 | GX:-0.214 GY:0.412 GZ:0.779 | T:25.24 C
I (353495) mpu6050 stream: AX:-0.127 AY:0.096 AZ:-0.947 | GX:-0.718 GY:0.000 GZ:0.656 | T:25.14 C
I (353505) mpu6050 stream: AX:-0.121 AY:0.094 AZ:-0.944 | GX:-0.489 GY:-0.092 GZ:0.489 | T:25.24 C
I (353515) mpu6050 stream: AX:-0.121 AY:0.102 AZ:-0.960 | GX:-0.229 GY:-0.122 GZ:0.870 | T:25.24 C
I (353525) mpu6050 stream: AX:-0.127 AY:0.100 AZ:-0.948 | GX:0.229 GY:0.168 GZ:1.206 | T:25.14 C
I (353535) mpu6050 stream: AX:-0.131 AY:0.093 AZ:-0.953 | GX:0.611 GY:0.260 GZ:1.252 | T:25.14 C
I (353545) mpu6050 stream: AX:-0.130 AY:0.089 AZ:-0.949 | GX:0.809 GY:0.870 GZ:1.359 | T:25.24 C
I (353555) mpu6050 stream: AX:-0.121 AY:0.082 AZ:-0.955 | GX:0.397 GY:0.840 GZ:1.191 | T:25.24 C
I (353565) mpu6050 stream: AX:-0.124 AY:0.088 AZ:-0.945 | GX:-0.137 GY:0.779 GZ:1.069 | T:25.14 C
I (353575) mpu6050 stream: AX:-0.118 AY:0.095 AZ:-0.950 | GX:-0.656 GY:0.794 GZ:0.977 | T:25.14 C
I (353585) mpu6050 stream: AX:-0.122 AY:0.088 AZ:-0.942 | GX:-0.397 GY:0.870 GZ:0.992 | T:25.24 C
I (353595) mpu6050 stream: AX:-0.121 AY:0.094 AZ:-0.943 | GX:0.000 GY:0.550 GZ:1.191 | T:25.14 C
I (353605) mpu6050 stream: AX:-0.118 AY:0.098 AZ:-0.941 | GX:0.916 GY:0.290 GZ:1.328 | T:25.24 C
I (353615) mpu6050 stream: AX:-0.124 AY:0.089 AZ:-0.937 | GX:1.252 GY:-0.015 GZ:1.008 | T:25.14 C
I (353625) mpu6050 stream: AX:-0.125 AY:0.087 AZ:-0.947 | GX:1.099 GY:-0.046 GZ:1.053 | T:25.14 C
I (353635) mpu6050 stream: AX:-0.123 AY:0.090 AZ:-0.953 | GX:0.824 GY:-0.137 GZ:1.084 | T:25.14 C
I (353645) mpu6050 stream: AX:-0.120 AY:0.089 AZ:-0.952 | GX:0.718 GY:-0.214 GZ:0.870 | T:25.24 C
I (353655) mpu6050 stream: AX:-0.129 AY:0.086 AZ:-0.951 | GX:0.443 GY:-0.092 GZ:0.824 | T:25.24 C
I (353665) mpu6050 stream: AX:-0.121 AY:0.086 AZ:-0.942 | GX:0.397 GY:-0.076 GZ:0.977 | T:25.24 C
I (353675) mpu6050 stream: AX:-0.126 AY:0.085 AZ:-0.950 | GX:0.687 GY:-0.198 GZ:1.145 | T:25.14 C
I (353685) mpu6050 stream: AX:-0.129 AY:0.086 AZ:-0.958 | GX:0.702 GY:0.153 GZ:1.237 | T:25.24 C
I (353695) mpu6050 stream: AX:-0.122 AY:0.086 AZ:-0.958 | GX:0.626 GY:-0.061 GZ:0.992 | T:25.24 C
I (353705) mpu6050 stream: AX:-0.123 AY:0.088 AZ:-0.951 | GX:0.382 GY:-0.015 GZ:1.221 | T:25.14 C
I (353715) mpu6050 stream: AX:-0.124 AY:0.089 AZ:-0.947 | GX:0.427 GY:0.397 GZ:1.389 | T:25.14 C
I (353725) mpu6050 stream: AX:-0.124 AY:0.082 AZ:-0.956 | GX:0.366 GY:0.198 GZ:1.557 | T:25.24 C
I (353735) mpu6050 stream: AX:-0.130 AY:0.081 AZ:-0.958 | GX:0.244 GY:0.565 GZ:1.344 | T:25.24 C
I (353745) mpu6050 stream: AX:-0.127 AY:0.083 AZ:-0.945 | GX:0.122 GY:0.992 GZ:1.344 | T:25.24 C
I (353755) mpu6050 stream: AX:-0.121 AY:0.079 AZ:-0.950 | GX:-0.137 GY:0.916 GZ:1.176 | T:25.24 C
I (353765) mpu6050 stream: AX:-0.125 AY:0.079 AZ:-0.951 | GX:-0.229 GY:0.977 GZ:1.038 | T:25.24 C
I (353775) mpu6050 stream: AX:-0.124 AY:0.081 AZ:-0.956 | GX:-0.397 GY:1.160 GZ:1.038 | T:25.24 C
I (353785) mpu6050 stream: AX:-0.125 AY:0.079 AZ:-0.959 | GX:-0.611 GY:0.977 GZ:0.748 | T:25.14 C
I (353795) mpu6050 stream: AX:-0.128 AY:0.081 AZ:-0.948 | GX:-0.626 GY:1.008 GZ:0.641 | T:25.24 C
I (353805) mpu6050 stream: AX:-0.122 AY:0.086 AZ:-0.937 | GX:-0.534 GY:1.160 GZ:0.382 | T:25.14 C
I (353815) mpu6050 stream: AX:-0.131 AY:0.086 AZ:-0.947 | GX:-0.473 GY:0.870 GZ:0.168 | T:25.14 C
I (353825) mpu6050 stream: AX:-0.121 AY:0.087 AZ:-0.948 | GX:-0.107 GY:0.534 GZ:-0.092 | T:25.14 C
I (353835) mpu6050 stream: AX:-0.120 AY:0.089 AZ:-0.938 | GX:-0.198 GY:0.504 GZ:0.122 | T:25.24 C
I (353845) mpu6050 stream: AX:-0.126 AY:0.088 AZ:-0.948 | GX:-0.290 GY:0.641 GZ:0.137 | T:25.24 C
I (353855) mpu6050 stream: AX:-0.124 AY:0.088 AZ:-0.944 | GX:-0.443 GY:0.473 GZ:0.366 | T:25.14 C
I (353865) mpu6050 stream: AX:-0.123 AY:0.088 AZ:-0.963 | GX:-0.534 GY:0.351 GZ:0.336 | T:25.24 C
