I (518015) mpu6050 stream: AX:-0.102 AY:0.091 AZ:-0.959 | GX:-1.237 GY:-0.473 GZ:-0.092 | T:25.00 C
I (518025) mpu6050 stream: AX:-0.104 AY:0.089 AZ:-0.939 | GX:-0.733 GY:-0.641 GZ:-0.275 | T:25.00 C
I (518035) mpu6050 stream: AX:-0.100 AY:0.095 AZ:-0.948 | GX:-0.031 GY:-0.733 GZ:-0.458 | T:25.00 C
I (518045) mpu6050 stream: AX:-0.108 AY:0.092 AZ:-0.952 | GX:0.382 GY:-0.718 GZ:-0.366 | T:24.91 C
I (518055) mpu6050 stream: AX:-0.109 AY:0.094 AZ:-0.961 | GX:0.458 GY:-0.672 GZ:-0.153 | T:25.00 C
I (518065) mpu6050 stream: AX:-0.110 AY:0.087 AZ:-0.950 | GX:-0.153 GY:-0.534 GZ:-0.092 | T:25.09 C
I (518075) mpu6050 stream: AX:-0.108 AY:0.086 AZ:-0.961 | GX:-0.489 GY:-0.321 GZ:-0.137 | T:25.00 C
I (518085) mpu6050 stream: AX:-0.108 AY:0.094 AZ:-0.952 | GX:-0.656 GY:-0.382 GZ:-0.031 | T:25.00 C
I (518095) mpu6050 stream: AX:-0.101 AY:0.094 AZ:-0.960 | GX:-0.397 GY:-0.809 GZ:0.351 | T:24.91 C
I (518105) mpu6050 stream: AX:-0.116 AY:0.101 AZ:-0.950 | GX:0.214 GY:-0.473 GZ:0.763 | T:25.09 C
I (518115) mpu6050 stream: AX:-0.106 AY:0.098 AZ:-0.955 | GX:0.763 GY:-0.397 GZ:1.038 | T:24.91 C
I (518125) mpu6050 stream: AX:-0.115 AY:0.086 AZ:-0.960 | GX:0.870 GY:0.000 GZ:1.481 | T:25.00 C
I (518135) mpu6050 stream: AX:-0.110 AY:0.089 AZ:-0.951 | GX:0.473 GY:0.229 GZ:1.328 | T:24.91 C
I (518145) mpu6050 stream: AX:-0.110 AY:0.085 AZ:-0.947 | GX:-0.229 GY:-0.015 GZ:1.588 | T:25.09 C
I (518155) mpu6050 stream: AX:-0.104 AY:0.087 AZ:-0.944 | GX:-0.580 GY:-0.137 GZ:1.389 | T:25.09 C
I (518165) mpu6050 stream: AX:-0.111 AY:0.088 AZ:-0.942 | GX:-0.656 GY:-0.290 GZ:1.420 | T:25.00 C
I (518175) mpu6050 stream: AX:-0.108 AY:0.092 AZ:-0.949 | GX:-0.504 GY:-0.046 GZ:1.466 | T:25.00 C
I (518185) mpu6050 stream: AX:-0.112 AY:0.086 AZ:-0.953 | GX:0.168 GY:-0.122 GZ:1.527 | T:25.00 C
I (518195) mpu6050 stream: AX:-0.101 AY:0.092 AZ:-0.952 | GX:0.611 GY:-0.275 GZ:1.374 | T:24.91 C
I (518205) mpu6050 stream: AX:-0.109 AY:0.087 AZ:-0.958 | GX:0.901 GY:-0.382 GZ:1.313 | T:25.00 C
I (518215) mpu6050 stream: AX:-0.106 AY:0.084 AZ:-0.948 | GX:0.809 GY:-0.397 GZ:1.160 | T:25.00 C
I (518225) mpu6050 stream: AX:-0.107 AY:0.077 AZ:-0.955 | GX:0.397 GY:-0.473 GZ:1.038 | T:25.09 C
I (518235) mpu6050 stream: AX:-0.110 AY:0.076 AZ:-0.963 | GX:0.137 GY:-0.534 GZ:1.298 | T:25.05 C
I (518245) mpu6050 stream: AX:-0.107 AY:0.080 AZ:-0.954 | GX:-0.031 GY:-0.519 GZ:1.130 | T:24.95 C
I (518255) mpu6050 stream: AX:-0.107 AY:0.083 AZ:-0.957 | GX:-0.031 GY:-0.656 GZ:1.053 | T:25.05 C
I (518265) mpu6050 stream: AX:-0.106 AY:0.079 AZ:-0.952 | GX:-0.336 GY:-0.733 GZ:1.023 | T:25.05 C
I (518275) mpu6050 stream: AX:-0.109 AY:0.084 AZ:-0.958 | GX:-0.153 GY:-0.550 GZ:0.794 | T:24.95 C
I (518285) mpu6050 stream: AX:-0.104 AY:0.092 AZ:-0.956 | GX:-0.351 GY:-0.672 GZ:0.947 | T:24.95 C
I (518295) mpu6050 stream: AX:-0.104 AY:0.085 AZ:-0.951 | GX:-0.214 GY:-0.473 GZ:0.992 | T:24.95 C
I (518305) mpu6050 stream: AX:-0.109 AY:0.087 AZ:-0.946 | GX:-0.336 GY:-0.443 GZ:0.611 | T:24.95 C
I (518315) mpu6050 stream: AX:-0.109 AY:0.084 AZ:-0.958 | GX:-0.366 GY:-0.611 GZ:0.718 | T:24.95 C
I (518325) mpu6050 stream: AX:-0.104 AY:0.089 AZ:-0.952 | GX:-0.183 GY:-0.489 GZ:0.702 | T:24.95 C
I (518335) mpu6050 stream: AX:-0.106 AY:0.088 AZ:-0.947 | GX:0.092 GY:-0.214 GZ:1.069 | T:25.05 C
I (518345) mpu6050 stream: AX:-0.107 AY:0.087 AZ:-0.947 | GX:0.168 GY:-0.458 GZ:0.931 | T:25.05 C
I (518355) mpu6050 stream: AX:-0.101 AY:0.082 AZ:-0.950 | GX:0.244 GY:-0.534 GZ:0.870 | T:25.05 C
I (518365) mpu6050 stream: AX:-0.113 AY:0.083 AZ:-0.948 | GX:-0.153 GY:-0.473 GZ:0.931 | T:24.95 C
I (518375) mpu6050 stream: AX:-0.110 AY:0.084 AZ:-0.941 | GX:-0.260 GY:-0.656 GZ:0.672 | T:24.95 C
I (518385) mpu6050 stream: AX:-0.113 AY:0.084 AZ:-0.952 | GX:-0.382 GY:-1.023 GZ:0.458 | T:24.95 C
I (518395) mpu6050 stream: AX:-0.115 AY:0.080 AZ:-0.942 | GX:-0.580 GY:-1.237 GZ:0.595 | T:25.05 C
I (518405) mpu6050 stream: AX:-0.108 AY:0.083 AZ:-0.944 | GX:-0.733 GY:-1.389 GZ:0.626 | T:25.05 C
I (518415) mpu6050 stream: AX:-0.111 AY:0.085 AZ:-0.949 | GX:-0.702 GY:-1.344 GZ:0.397 | T:25.05 C
I (518425) mpu6050 stream: AX:-0.115 AY:0.087 AZ:-0.952 | GX:-0.779 GY:-0.901 GZ:0.076 | T:24.95 C
I (518435) mpu6050 stream: AX:-0.115 AY:0.082 AZ:-0.954 | GX:-0.748 GY:-1.084 GZ:0.366 | T:25.05 C
I (518445) mpu6050 stream: AX:-0.112 AY:0.088 AZ:-0.957 | GX:-0.656 GY:-0.794 GZ:0.366 | T:24.95 C
I (518455) mpu6050 stream: AX:-0.108 AY:0.093 AZ:-0.950 | GX:-0.458 GY:-1.206 GZ:0.351 | T:24.95 C
I (518465) mpu6050 stream: AX:-0.117 AY:0.084 AZ:-0.952 | GX:-0.336 GY:-1.191 GZ:0.397 | T:24.95 C
I (518475) mpu6050 stream: AX:-0.119 AY:0.092 AZ:-0.958 | GX:-0.107 GY:-1.099 GZ:0.595 | T:24.95 C
I (518485) mpu6050 stream: AX:-0.109 AY:0.083 AZ:-0.959 | GX:-0.244 GY:-0.427 GZ:0.672 | T:24.95 C
I (518495) mpu6050 stream: AX:-0.112 AY:0.085 AZ:-0.955 | GX:-0.473 GY:-0.473 GZ:0.443 | T:24.95 C
I (518505) mpu6050 stream: AX:-0.113 AY:0.087 AZ:-0.952 | GX:-0.931 GY:-0.458 GZ:0.534 | T:24.95 C
I (518515) mpu6050 stream: AX:-0.113 AY:0.090 AZ:-0.960 | GX:-1.511 GY:-0.489 GZ:0.565 | T:25.05 C
I (518525) mpu6050 stream: AX:-0.110 AY:0.096 AZ:-0.958 | GX:-1.160 GY:-0.580 GZ:0.534 | T:25.05 C
I (518535) mpu6050 stream: AX:-0.111 AY:0.100 AZ:-0.947 | GX:-0.183 GY:-0.641 GZ:0.779 | T:24.95 C
I (518545) mpu6050 stream: AX:-0.113 AY:0.096 AZ:-0.951 | GX:1.069 GY:-0.855 GZ:0.855 | T:25.05 C
I (518555) mpu6050 stream: AX:-0.115 AY:0.090 AZ:-0.950 | GX:1.939 GY:-0.809 GZ:1.008 | T:25.00 C
I (518565) mpu6050 stream: AX:-0.117 AY:0.075 AZ:-0.955 | GX:1.847 GY:-0.656 GZ:0.977 | T:25.05 C
I (518575) mpu6050 stream: AX:-0.114 AY:0.078 AZ:-0.960 | GX:0.794 GY:-1.008 GZ:1.130 | T:25.09 C
I (518585) mpu6050 stream: AX:-0.115 AY:0.074 AZ:-0.942 | GX:-0.641 GY:-1.099 GZ:0.794 | T:25.00 C
I (518595) mpu6050 stream: AX:-0.103 AY:0.075 AZ:-0.944 | GX:-1.939 GY:-1.573 GZ:0.672 | T:25.00 C
I (518605) mpu6050 stream: AX:-0.119 AY:0.080 AZ:-0.942 | GX:-2.641 GY:-2.015 GZ:0.656 | T:25.00 C
I (518615) mpu6050 stream: AX:-0.114 AY:0.086 AZ:-0.948 | GX:-2.137 GY:-2.137 GZ:0.763 | T:25.00 C
I (518625) mpu6050 stream: AX:-0.125 AY:0.086 AZ:-0.942 | GX:-1.344 GY:-1.847 GZ:0.809 | T:25.00 C
I (518635) mpu6050 stream: AX:-0.125 AY:0.079 AZ:-0.944 | GX:-0.702 GY:-1.740 GZ:0.718 | T:25.09 C
I (518645) mpu6050 stream: AX:-0.125 AY:0.083 AZ:-0.953 | GX:-0.198 GY:-1.618 GZ:0.443 | T:25.00 C
I (518655) mpu6050 stream: AX:-0.128 AY:0.085 AZ:-0.958 | GX:-0.397 GY:-1.496 GZ:0.397 | T:25.00 C
I (518665) mpu6050 stream: AX:-0.128 AY:0.082 AZ:-0.956 | GX:-1.099 GY:-1.069 GZ:0.153 | T:25.00 C
I (518675) mpu6050 stream: AX:-0.123 AY:0.084 AZ:-0.959 | GX:-1.924 GY:-0.733 GZ:-0.214 | T:25.00 C
I (518685) mpu6050 stream: AX:-0.125 AY:0.084 AZ:-0.957 | GX:-2.244 GY:-0.580 GZ:-0.366 | T:25.00 C
I (518695) mpu6050 stream: AX:-0.118 AY:0.097 AZ:-0.953 | GX:-1.802 GY:-0.229 GZ:-0.611 | T:25.00 C
I (518705) mpu6050 stream: AX:-0.116 AY:0.093 AZ:-0.958 | GX:-1.267 GY:-0.229 GZ:-0.580 | T:25.00 C
