5) mpu6050 stream: AX:-0.114 AY:0.110 AZ:-0.923 | GX:9.664 GY:1. AZ:-0.914 | GX:4.031 GY:0.931 GZ:1.679 | T:25.14 C
I (183555) mpu6050 stream: AX:-0.159 AY:0.110 AZ:-0.943 | GX:-1.237 GY:-4.702 GZ:-0.382 | T:25.24 C
I (183565) mpu6050 stream: AX:-0.153 AY:0.108 AZ:-0.948 | GX:-1.832 GY:-4.443 GZ:-0.397 | T:25.24 C
I (183575) mpu6050 stream: AX:-0.152 AY:0.104 AZ:-0.930 | GX:-2.595 GY:-4.519 GZ:-0.183 | T:25.24 C
I (183585) mpu6050 stream: AX:-0.151 AY:0.107 AZ:-0.938 | GX:-3.008 GY:-4.962 GZ:0.031 | T:25.24 C
I (183595) mpu6050 stream: AX:-0.147 AY:0.107 AZ:-0.916 | GX:-3.344 GY:-5.740 GZ:0.031 | T:25.24 C
I (183605) mpu6050 stream: AX:-0.142 AY:0.108 AZ:-0.918 | GX:-3.023 GY:-6.061 GZ:-0.260 | T:25.24 C
I (183615) mpu6050 stream: AX:-0.141 AY:0.116 AZ:-0.916 | GX:-2.763 GY:-7.664 GZ:-0.260 | T:25.14 C
I (183625) mpu6050 stream: AX:-0.140 AY:0.116 AZ:-0.925 | GX:-2.107 GY:-9.008 GZ:-0.366 | T:25.14 C
I (183635) mpu6050 stream: AX:-0.145 AY:0.117 AZ:-0.914 | GX:-2.046 GY:-10.198 GZ:0.214 | T:25.24 C
I (183645) mpu6050 stream: AX:-0.140 AY:0.118 AZ:-0.904 | GX:-1.740 GY:-11.282 GZ:0.382 | T:25.19 C
I (183655) mpu6050 stream: AX:-0.143 AY:0.113 AZ:-0.905 | GX:-1.710 GY:-12.763 GZ:0.382 | T:25.28 C
I (183665) mpu6050 stream: AX:-0.151 AY:0.114 AZ:-0.909 | GX:-2.031 GY:-13.908 GZ:0.336 | T:25.28 C
I (183675) mpu6050 stream: AX:-0.156 AY:0.099 AZ:-0.904 | GX:-2.656 GY:-14.855 GZ:0.473 | T:25.19 C
I (183685) mpu6050 stream: AX:-0.156 AY:0.105 AZ:-0.905 | GX:-2.977 GY:-16.183 GZ:0.366 | T:25.19 C
I (183695) mpu6050 stream: AX:-0.155 AY:0.105 AZ:-0.898 | GX:-3.160 GY:-17.344 GZ:0.153 | T:25.19 C
I (183705) mpu6050 stream: AX:-0.154 AY:0.109 AZ:-0.898 | GX:-3.359 GY:-18.641 GZ:0.046 | T:25.19 C
I (183715) mpu6050 stream: AX:-0.161 AY:0.111 AZ:-0.888 | GX:-3.435 GY:-20.412 GZ:-0.122 | T:25.28 C
I (183725) mpu6050 stream: AX:-0.170 AY:0.116 AZ:-0.916 | GX:-3.435 GY:-22.382 GZ:-0.473 | T:25.28 C
I (183735) mpu6050 stream: AX:-0.196 AY:0.120 AZ:-0.938 | GX:-3.679 GY:-22.748 GZ:-0.122 | T:25.28 C
I (183745) mpu6050 stream: AX:-0.219 AY:0.125 AZ:-0.952 | GX:-3.908 GY:-21.588 GZ:-0.305 | T:25.09 C
