I (664515) mpu6050 stream: AX:0.059 AY:0.094 AZ:-0.958 | GX:-0.305 GY:-0.168 GZ:1.328 | T:24.91 C
I (664525) mpu6050 stream: AX:0.056 AY:0.098 AZ:-0.953 | GX:-0.290 GY:-0.198 GZ:1.420 | T:25.00 C
I (664535) mpu6050 stream: AX:0.059 AY:0.093 AZ:-0.958 | GX:-0.031 GY:-0.580 GZ:1.328 | T:24.91 C
I (664545) mpu6050 stream: AX:0.056 AY:0.099 AZ:-0.951 | GX:0.412 GY:-0.214 GZ:1.221 | T:24.91 C
I (664555) mpu6050 stream: AX:0.055 AY:0.094 AZ:-0.950 | GX:0.473 GY:-0.718 GZ:1.130 | T:24.91 C
I (664565) mpu6050 stream: AX:0.058 AY:0.097 AZ:-0.956 | GX:-0.168 GY:-0.733 GZ:1.008 | T:25.00 C
I (664575) mpu6050 stream: AX:0.053 AY:0.094 AZ:-0.964 | GX:-0.947 GY:-0.794 GZ:0.977 | T:25.00 C
I (664585) mpu6050 stream: AX:0.053 AY:0.101 AZ:-0.970 | GX:-1.573 GY:-0.412 GZ:0.947 | T:24.91 C
I (664595) mpu6050 stream: AX:0.057 AY:0.101 AZ:-0.962 | GX:-1.359 GY:-0.412 GZ:0.901 | T:25.00 C
I (664605) mpu6050 stream: AX:0.052 AY:0.110 AZ:-0.952 | GX:0.046 GY:-0.519 GZ:0.947 | T:25.00 C
I (664615) mpu6050 stream: AX:0.054 AY:0.107 AZ:-0.957 | GX:1.573 GY:-0.305 GZ:1.145 | T:24.91 C
I (664625) mpu6050 stream: AX:0.051 AY:0.100 AZ:-0.962 | GX:2.290 GY:-0.198 GZ:0.931 | T:25.00 C
I (664635) mpu6050 stream: AX:0.050 AY:0.090 AZ:-0.958 | GX:2.046 GY:-0.260 GZ:1.115 | T:25.00 C
I (664645) mpu6050 stream: AX:0.049 AY:0.090 AZ:-0.959 | GX:1.115 GY:-0.153 GZ:0.992 | T:25.00 C
I (664655) mpu6050 stream: AX:0.050 AY:0.084 AZ:-0.954 | GX:-0.275 GY:-0.595 GZ:0.931 | T:25.00 C
I (664665) mpu6050 stream: AX:0.053 AY:0.091 AZ:-0.955 | GX:-1.389 GY:-0.992 GZ:0.855 | T:25.00 C
I (664675) mpu6050 stream: AX:0.052 AY:0.104 AZ:-0.958 | GX:-1.282 GY:-0.962 GZ:1.008 | T:25.00 C
I (664685) mpu6050 stream: AX:0.047 AY:0.104 AZ:-0.959 | GX:-1.374 GY:-1.038 GZ:1.496 | T:25.00 C
I (664695) mpu6050 stream: AX:0.048 AY:0.104 AZ:-0.953 | GX:-0.534 GY:-0.962 GZ:1.420 | T:24.91 C
I (664705) mpu6050 stream: AX:0.054 AY:0.102 AZ:-0.957 | GX:0.534 GY:-0.641 GZ:1.618 | T:25.00 C
I (664715) mpu6050 stream: AX:0.051 AY:0.093 AZ:-0.955 | GX:0.198 GY:-0.550 GZ:1.771 | T:24.91 C
