I (219385) mpu6050 stream: AX:-0.287 AY:0.114 AZ:-0.949 | GX:-0.550 GY:3.145 GZ:0.763 | T:25.28 C
I (219395) mpu6050 stream: AX:-0.291 AY:0.118 AZ:-0.950 | GX:-0.443 GY:4.763 GZ:1.282 | T:25.28 C
I (219405) mpu6050 stream: AX:-0.289 AY:0.116 AZ:-0.944 | GX:-0.244 GY:6.198 GZ:1.328 | T:25.19 C
I (219415) mpu6050 stream: AX:-0.281 AY:0.113 AZ:-0.937 | GX:0.351 GY:7.481 GZ:1.282 | T:25.28 C
I (219425) mpu6050 stream: AX:-0.287 AY:0.126 AZ:-0.930 | GX:0.916 GY:8.229 GZ:1.206 | T:25.28 C
I (219435) mpu6050 stream: AX:-0.284 AY:0.120 AZ:-0.949 | GX:1.038 GY:8.672 GZ:1.374 | T:25.19 C
I (219445) mpu6050 stream: AX:-0.298 AY:0.121 AZ:-0.973 | GX:0.687 GY:9.603 GZ:1.511 | T:25.19 C
I (219455) mpu6050 stream: AX:-0.313 AY:0.126 AZ:-0.981 | GX:0.153 GY:12.412 GZ:2.061 | T:25.19 C
I (219465) mpu6050 stream: AX:-0.306 AY:0.120 AZ:-0.970 | GX:0.580 GY:15.863 GZ:2.336 | T:25.19 C
I (219475) mpu6050 stream: AX:-0.299 AY:0.120 AZ:-0.951 | GX:1.878 GY:17.740 GZ:2.641 | T:25.28 C
I (219485) mpu6050 stream: AX:-0.280 AY:0.108 AZ:-0.940 | GX:2.901 GY:19.191 GZ:2.504 | T:25.19 C
I (219495) mpu6050 stream: AX:-0.276 AY:0.118 AZ:-0.934 | GX:3.099 GY:20.122 GZ:2.672 | T:25.19 C
I (219505) mpu6050 stream: AX:-0.263 AY:0.115 AZ:-0.920 | GX:2.550 GY:21.130 GZ:2.840 | T:25.19 C
I (219515) mpu6050 stream: AX:-0.247 AY:0.111 AZ:-0.911 | GX:1.740 GY:21.267 GZ:2.992 | T:25.28 C
I (219525) mpu6050 stream: AX:-0.225 AY:0.107 AZ:-0.912 | GX:1.420 GY:20.763 GZ:2.947 | T:25.28 C
I (219535) mpu6050 stream: AX:-0.219 AY:0.110 AZ:-0.913 | GX:1.649 GY:20.611 GZ:3.313 | T:25.28 C
I (219545) mpu6050 stream: AX:-0.209 AY:0.112 AZ:-0.907 | GX:2.214 GY:20.046 GZ:3.511 | T:25.19 C
I (219555) mpu6050 stream: AX:-0.198 AY:0.107 AZ:-0.894 | GX:2.748 GY:19.130 GZ:3.664 | T:25.24 C
I (219565) mpu6050 stream: AX:-0.182 AY:0.096 AZ:-0.894 | GX:2.885 GY:17.634 GZ:3.893 | T:25.24 C
I (219575) mpu6050 stream: AX:-0.186 AY:0.101 AZ:-0.897 | GX:2.397 GY:16.504 GZ:3.725 | T:25.24 C
I (219585) mpu6050 stream: AX:-0.177 AY:0.094 AZ:-0.883 | GX:1.420 GY:14.718 GZ:3.511 | T:25.24 C
I (219595) mpu6050 stream: AX:-0.175 AY:0.093 AZ:-0.879 | GX:0.595 GY:12.122 GZ:2.718 | T:25.24 C
I (219605) mpu6050 stream: AX:-0.176 AY:0.093 AZ:-0.894 | GX:0.198 GY:10.198 GZ:2.153 | T:25.33 C
I (219615) mpu6050 stream: AX:-0.188 AY:0.111 AZ:-0.905 | GX:-0.061 GY:8.565 GZ:2.076 | T:25.24 C
I (219625) mpu6050 stream: AX:-0.189 AY:0.109 AZ:-0.919 | GX:1.328 GY:7.954 GZ:2.137 | T:25.33 C
I (219635) mpu6050 stream: AX:-0.180 AY:0.114 AZ:-0.932 | GX:3.115 GY:7.115 GZ:2.122 | T:25.24 C
I (219645) mpu6050 stream: AX:-0.184 AY:0.105 AZ:-0.945 | GX:4.061 GY:6.992 GZ:2.000 | T:25.24 C
I (219655) mpu6050 stream: AX:-0.190 AY:0.097 AZ:-0.959 | GX:4.183 GY:7.649 GZ:2.031 | T:25.33 C
I (219665) mpu6050 stream: AX:-0.196 AY:0.092 AZ:-0.976 | GX:3.817 GY:8.901 GZ:1.893 | T:25.24 C
I (219675) mpu6050 stream: AX:-0.183 AY:0.091 AZ:-0.967 | GX:3.588 GY:10.198 GZ:1.679 | T:25.14 C
I (219685) mpu6050 stream: AX:-0.171 AY:0.087 AZ:-0.958 | GX:3.634 GY:10.443 GZ:1.542 | T:25.24 C
I (219695) mpu6050 stream: AX:-0.162 AY:0.083 AZ:-0.943 | GX:3.252 GY:10.458 GZ:1.282 | T:25.24 C
I (219705) mpu6050 stream: AX:-0.165 AY:0.087 AZ:-0.937 | GX:2.397 GY:9.618 GZ:1.069 | T:25.24 C
