I (318085) mpu6050 stream: AX:-0.138 AY:0.106 AZ:-0.947 | GX:0.840 GY:0.595 GZ:1.191 | T:25.33 C
I (318095) mpu6050 stream: AX:-0.133 AY:0.104 AZ:-0.950 | GX:0.305 GY:0.672 GZ:1.282 | T:25.24 C
I (318105) mpu6050 stream: AX:-0.128 AY:0.104 AZ:-0.947 | GX:-0.366 GY:0.672 GZ:0.931 | T:25.14 C
I (318115) mpu6050 stream: AX:-0.131 AY:0.112 AZ:-0.926 | GX:-0.656 GY:0.550 GZ:1.206 | T:25.24 C
I (318125) mpu6050 stream: AX:-0.132 AY:0.119 AZ:-0.938 | GX:-0.794 GY:0.229 GZ:1.344 | T:25.24 C
I (318135) mpu6050 stream: AX:-0.127 AY:0.114 AZ:-0.935 | GX:-0.061 GY:0.046 GZ:1.344 | T:25.33 C
I (318145) mpu6050 stream: AX:-0.127 AY:0.114 AZ:-0.941 | GX:0.565 GY:-0.290 GZ:1.466 | T:25.24 C
I (318155) mpu6050 stream: AX:-0.135 AY:0.109 AZ:-0.949 | GX:0.931 GY:-0.336 GZ:1.527 | T:25.24 C
I (318165) mpu6050 stream: AX:-0.137 AY:0.113 AZ:-0.944 | GX:0.977 GY:-0.290 GZ:1.527 | T:25.24 C
I (318175) mpu6050 stream: AX:-0.136 AY:0.117 AZ:-0.949 | GX:0.794 GY:-0.290 GZ:1.496 | T:25.24 C
I (318185) mpu6050 stream: AX:-0.130 AY:0.112 AZ:-0.940 | GX:0.397 GY:-0.351 GZ:1.450 | T:25.33 C
I (318195) mpu6050 stream: AX:-0.129 AY:0.115 AZ:-0.948 | GX:0.260 GY:-0.458 GZ:1.618 | T:25.33 C
I (318205) mpu6050 stream: AX:-0.135 AY:0.115 AZ:-0.948 | GX:0.260 GY:-0.580 GZ:1.496 | T:25.24 C
I (318215) mpu6050 stream: AX:-0.138 AY:0.115 AZ:-0.944 | GX:0.382 GY:-0.366 GZ:1.420 | T:25.24 C
I (318225) mpu6050 stream: AX:-0.138 AY:0.105 AZ:-0.953 | GX:0.595 GY:-0.275 GZ:1.695 | T:25.24 C
I (318235) mpu6050 stream: AX:-0.137 AY:0.113 AZ:-0.959 | GX:0.580 GY:-0.061 GZ:1.603 | T:25.33 C
I (318245) mpu6050 stream: AX:-0.137 AY:0.107 AZ:-0.941 | GX:0.382 GY:0.153 GZ:1.542 | T:25.24 C
I (318255) mpu6050 stream: AX:-0.146 AY:0.106 AZ:-0.947 | GX:-0.015 GY:0.229 GZ:1.664 | T:25.24 C
I (318265) mpu6050 stream: AX:-0.136 AY:0.111 AZ:-0.945 | GX:-0.107 GY:-0.122 GZ:1.649 | T:25.24 C
I (318275) mpu6050 stream: AX:-0.134 AY:0.108 AZ:-0.940 | GX:-0.107 GY:-0.305 GZ:1.435 | T:25.24 C
I (318285) mpu6050 stream: AX:-0.135 AY:0.107 AZ:-0.947 | GX:-0.290 GY:0.107 GZ:1.450 | T:25.33 C
I (318295) mpu6050 stream: AX:-0.132 AY:0.104 AZ:-0.947 | GX:-0.229 GY:0.153 GZ:1.420 | T:25.24 C
I (318305) mpu6050 stream: AX:-0.141 AY:0.109 AZ:-0.953 | GX:-0.473 GY:0.137 GZ:1.221 | T:25.24 C
I (318315) mpu6050 stream: AX:-0.137 AY:0.109 AZ:-0.948 | GX:-0.458 GY:0.168 GZ:1.282 | T:25.24 C
I (318325) mpu6050 stream: AX:-0.141 .940 | GX:-0.427 GY:0.290 GZ:1.252 | T:25.28 C
I (318555) mpu6050 stream: AX:-0.140 AY:0.114 AZ:-0.949 | GX:-0.595 GY:0.351 GZ:1.328 | T:25.19 C
I (318565) mpu6050 stream: AX:-0.135 AY:0.115 AZ:-0.945 | GX:-0.382 GY:0.595 GZ:1.359 | T:25.28 C
I (318575) mpu6050 stream: AX:-0.132 AY:0.118 AZ:-0.946 | GX:0.198 GY:0.626 GZ:1.435 | T:25.19 C
I (318585) mpu6050 stream: AX:-0.127 AY:0.109 AZ:-0.942 | GX:0.641 GY:0.656 GZ:1.069 | T:25.28 C
I (318595) mpu6050 stream: AX:-0.134 AY:0.105 AZ:-0.943 | GX:0.458 GY:0.794 GZ:1.160 | T:25.28 C
I (318605) mpu6050 stream: AX:-0.128 AY:0.114 AZ:-0.951 | GX:-0.382 GY:0.519 GZ:0.809 | T:25.28 C
I (318615) mpu6050 stream: AX:-0.131 AY:0.107 AZ:-0.942 | GX:-1.206 GY:0.458 GZ:0.885 | T:25.19 C
I (318625) mpu6050 stream: AX:-0.131 AY:0.110 AZ:-0.947 | GX:-1.573 GY:0.779 GZ:0.672 | T:25.28 C
I (318635) mpu6050 stream: AX:-0.127 AY:0.120 AZ:-0.938 | GX:-0.824 GY:0.382 GZ:0.534 | T:25.28 C
