I (336015) mpu6050 stream: AX:-0.139 AY:0.102 AZ:-0.947 | GX:0.031 GY:1.053 GZ:0.824 | T:25.19 C
I (336025) mpu6050 stream: AX:-0.148 AY:0.103 AZ:-0.951 | GX:-0.214 GY:0.931 GZ:0.947 | T:25.19 C
I (336035) mpu6050 stream: AX:-0.144 AY:0.105 AZ:-0.944 | GX:-0.260 GY:0.824 GZ:1.084 | T:25.19 C
I (336045) mpu6050 stream: AX:-0.136 AY:0.106 AZ:-0.942 | GX:0.122 GY:0.763 GZ:1.160 | T:25.28 C
I (336055) mpu6050 stream: AX:-0.148 AY:0.104 AZ:-0.945 | GX:0.824 GY:0.275 GZ:1.389 | T:25.19 C
I (336065) mpu6050 stream: AX:-0.138 AY:0.103 AZ:-0.947 | GX:1.176 GY:0.305 GZ:1.420 | T:25.28 C
I (336075) mpu6050 stream: AX:-0.148 AY:0.103 AZ:-0.949 | GX:1.145 GY:0.351 GZ:1.573 | T:25.09 C
I (336085) mpu6050 stream: AX:-0.144 AY:0.100 AZ:-0.948 | GX:1.038 GY:0.275 GZ:1.466 | T:25.28 C
I (336095) mpu6050 stream: AX:-0.148 AY:0.101 AZ:-0.952 | GX:1.023 GY:-0.214 GZ:1.710 | T:25.28 C
I (336105) mpu6050 stream: AX:-0.145 AY:0.094 AZ:-0.956 | GX:0.885 GY:-0.137 GZ:1.847 | T:25.28 C
I (336115) mpu6050 stream: AX:-0.150 AY:0.092 AZ:-0.956 | GX:0.809 GY:-0.290 GZ:1.954 | T:25.19 C
I (336125) mpu6050 stream: AX:-0.147 AY:0.102 AZ:-0.958 | GX:0.458 GY:-0.107 GZ:1.969 | T:25.19 C
I (336135) mpu6050 stream: AX:-0.147 AY:0.099 AZ:-0.955 | GX:0.183 GY:-0.046 GZ:2.046 | T:25.19 C
I (336145) mpu6050 stream: AX:-0.147 AY:0.095 AZ:-0.939 | GX:0.137 GY:0.443 GZ:1.954 | T:25.09 C
I (336155) mpu6050 stream: AX:-0.150 AY:0.098 AZ:-0.951 | GX:0.229 GY:0.458 GZ:2.092 | T:25.28 C
I (336165) mpu6050 stream: AX:-0.141 AY:0.092 AZ:-0.945 | GX:0.321 GY:0.458 GZ:2.000 | T:25.19 C
I (336175) mpu6050 stream: AX:-0.147 AY:0.095 AZ:-0.940 | GX:0.290 GY:0.504 GZ:1.863 | T:25.19 C
I (336185) mpu6050 stream: AX:-0.140 AY:0.093 AZ:-0.928 | GX:0.290 GY:0.168 GZ:1.771 | T:25.28 C
I (336195) mpu6050 stream: AX:-0.142 AY:0.087 AZ:-0.935 | GX:0.092 GY:-0.107 GZ:1.695 | T:25.19 C
I (336205) mpu6050 stream: AX:-0.145 AY:0.098 AZ:-0.947 | GX:-0.031 GY:-0.031 GZ:1.466 | T:25.28 C
I (336215) mpu6050 stream: AX:-0.153 AY:0.093 AZ:-0.955 | GX:-0.305 GY:0.290 GZ:1.221 | T:25.19 C
I (336225) mpu6050 stream: AX:-0.149 AY:0.093 AZ:-0.951 | GX:-0.489 GY:0.397 GZ:1.130 | T:25.28 C
I (336235) mpu6050 stream: AX:-0.144 AY:0.091 AZ:-0.941 | GX:-0.611 GY:0.427 GZ:0.840 | T:25.19 C
I (336245) mpu6050 stream: AX:-0.149 AY:0.095 AZ:-0.946 | GX:-0.427 GY:0.260 GZ:0.687 | T:25.19 C
I (336255) mpu6050 stream: AX:-0.147 AY:0.093 AZ:-0.952 | GX:-0.565 GY:0.489 GZ:0.550 | T:25.28 C
I (336265) mpu6050 stream: AX:-0.146 AY:0.096 AZ:-0.945 | GX:-0.687 GY:0.443 GZ:0.397 | T:25.19 C
I (336275) mpu6050 stream: AX:-0.150 AY:0.100 AZ:-0.948 | GX:-0.840 GY:0.580 GZ:0.198 | T:25.19 C
I (336285) mpu6050 stream: AX:-0.141 AY:0.098 AZ:-0.949 | GX:-0.687 GY:0.718 GZ:0.382 | T:25.19 C
I (336295) mpu6050 stream: AX:-0.152 AY:0.104 AZ:-0.950 | GX:-0.626 GY:0.595 GZ:0.183 | T:25.19 C
I (336305) mpu6050 stream: AX:-0.146 AY:0.106 AZ:-0.948 | GX:-0.244 GY:0.809 GZ:0.168 | T:25.19 C
I (336315) mpu6050 stream: AX:-0.150 AY:0.102 AZ:-0.947 | GX:-0.061 GY:0.718 GZ:0.290 | T:25.28 C
I (336325) mpu6050 stream: AX:-0.142 AY:0.105 AZ:-0.951 | GX:0.031 GY:0.794 GZ:0.321 | T:25.28 C
I (336335) mpu6050 stream: AX:-0.146 AY:0.106 AZ:-0.948 | GX:0.153 GY:0.824 GZ:0.443 | T:25.09 C
I (336345) mpu6050 stream: AX:-0.151 AY:0.105 AZ:-0.946 | GX:0.244 GY:0.840 GZ:0.718 | T:25.09 C
I (336355) mpu6050 stream: AX:-0.145 AY:0.098 AZ:-0.945 | GX:0.397 GY:0.916 GZ:0.687 | T:25.19 C
I (336365) mpu6050 stream: AX:-0.144 AY:0.104 AZ:-0.941 | GX:0.473 GY:0.824 GZ:0.855 | T:25.19 C050 stream: AX:-0.144 AY:0.088 AZ:-0.946 | GX:-0.015 GY:-0.092 GZ:1.038 | T:25.28 C
I (336615) mpu6050 stream: AX:-0.145 AY:0.089 AZ:-0.941 | GX:-0.565 GY:0.260 GZ:1.115 | T:25.09 C
I (336625) mpu6050 stream: AX:-0.144 AY:0.090 AZ:-0.939 | GX:-1.023 GY:0.137 GZ:0.855 | T:25.19 C
I (336635) mpu6050 stream: AX:-0.144 AY:0.094 AZ:-0.943 | GX:-1.038 GY:0.122 GZ:0.687 | T:25.28 C
