I (225905) mpu6050 stream: AX:-0.183 AY:0.099 AZ:-0.940 | GX:0.198 GY:-0.779 GZ:1.008 | T:25.24 C
I (225915) mpu6050 stream: AX:-0.194 AY:0.102 AZ:-0.938 | GX:0.214 GY:-1.084 GZ:0.977 | T:25.14 C
I (225925) mpu6050 stream: AX:-0.195 AY:0.097 AZ:-0.955 | GX:-0.031 GY:-0.504 GZ:1.008 | T:25.24 C
I (225935) mpu6050 stream: AX:-0.192 AY:0.099 AZ:-0.954 | GX:-0.366 GY:-0.122 GZ:1.237 | T:25.33 C
I (225945) mpu6050 stream: AX:-0.196 AY:0.096 AZ:-0.938 | GX:0.107 GY:0.260 GZ:1.267 | T:25.24 C
I (225955) mpu6050 stream: AX:-0.187 AY:0.095 AZ:-0.941 | GX:0.168 GY:0.153 GZ:1.313 | T:25.14 C
I (225965) mpu6050 stream: AX:-0.185 AY:0.093 AZ:-0.938 | GX:0.244 GY:0.427 GZ:1.328 | T:25.14 C
I (225975) mpu6050 stream: AX:-0.186 AY:0.090 AZ:-0.931 | GX:0.122 GY:0.275 GZ:1.237 | T:25.24 C
I (225985) mpu6050 stream: AX:-0.180 AY:0.089 AZ:-0.938 | GX:-0.580 GY:-0.061 GZ:1.069 | T:25.33 C
I (225995) mpu6050 stream: AX:-0.182 AY:0.091 AZ:-0.935 | GX:-1.191 GY:-0.092 GZ:0.611 | T:25.24 C
I (226005) mpu6050 stream: AX:-0.175 AY:0.097 AZ:-0.933 | GX:-1.389 GY:-0.290 GZ:0.336 | T:25.24 C
I (226015) mpu6050 stream: AX:-0.181 AY:0.100 AZ:-0.927 | GX:-0.626 GY:-0.885 GZ:0.122 | T:25.19 C
I (226025) mpu6050 stream: AX:-0.183 AY:0.101 AZ:-0.929 | GX:0.473 GY:-1.542 GZ:-0.031 | T:25.19 C
I (226035) mpu6050 stream: AX:-0.194 AY:0.104 AZ:-0.937 | GX:1.420 GY:-1.420 GZ:0.183 | T:25.28 C
I (226045) mpu6050 stream: AX:-0.194 AY:0.092 AZ:-0.939 | GX:1.618 GY:-1.084 GZ:0.412 | T:25.19 C
I (226055) mpu6050 stream9 C
I (226295) mpu6050 stream: AX:-0.192 AY:0.098 AZ:-0.940 | GX:0.412 GY:0.061 GZ:1.466 | T:25.28 C
I (226305) mpu6050 stream: AX:-0.188 AY:0.096 AZ:-0.927 | GX:-0.031 GY:0.214 GZ:1.450 | T:25.19 C
I (226315) mpu6050 stream: AX:-0.187 AY:0.099 AZ:-0.934 | GX:-0.595 GY:0.076 GZ:1.191 | T:25.28 C
I (226325) mpu6050 stream: AX:-0.184 AY:0.096 AZ:-0.941 | GX:-0.840 GY:-0.046 GZ:1.206 | T:25.19 C
I (226335) mpu6050 stream: AX:-0.191 AY:0.096 AZ:-0.945 | GX:-0.763 GY:0.031 GZ:1.053 | T:25.19 C
I (226345) mpu6050 stream: AX:-0.187 AY:0.103 AZ:-0.924 | GX:-0.153 GY:0.000 GZ:1.053 | T:25.19 C
I (226355) mpu6050 stream: AX:-0.196 AY:0.104 AZ:-0.937 | GX:0.916 GY:0.046 GZ:1.298 | T:25.28 C
I (226365) mpu6050 stream: AX:-0.186 AY:0.100 AZ:-0.938 | GX:1.649 GY:-0.229 GZ:1.435 | T:25.28 C
I (226375) mpu6050 stream: AX:-0.192 AY:0.093 AZ:-0.945 | GX:1.679 GY:0.000 GZ:1.313 | T:25.28 C
I (226385) mpu6050 stream: AX:-0.193 AY:0.096 AZ:-0.947 | GX:1.527 GY:-0.244 GZ:1.527 | T:25.14 C
I (226395) mpu6050 stream: AX:-0.190 AY:0.094 AZ:-0.945 | GX:1.053 GY:0.076 GZ:1.664 | T:25.24 C
I (226405) mpu6050 stream: AX:-0.193 AY:0.100 AZ:-0.946 | GX:0.534 GY:0.092 GZ:2.000 | T:25.24 C
I (226415) mpu6050 stream: AX:-0.192 AY:0.103 AZ:-0.939 | GX:0.336 GY:0.275 GZ:2.000 | T:25.24 C
I (226425) mpu6050 stream: AX:-0.193 AY:0.099 AZ:-0.933 | GX:0.534 GY:0.092 GZ:2.137 | T:25.24 C
I (226435) mpu6050 stream: AX:-0.186 AY:0.093 AZ:-0.938 | GX:0.412 GY:0.229 GZ:2.443 | T:25.14 C
I (226445) mpu6050 stream: AX:-0.191 AY:0.094 AZ:-0.944 | GX:0.489 GY:0.489 GZ:2.336 | T:25.14 C
