I (574245) mpu6050 stream: AX:-0.054 AY:0.120 AZ:-0.956 | GX:0.473 GY:-0.397 GZ:0.763 | T:25.00 C
I (574255) mpu6050 stream: AX:-0.056 AY:0.113 AZ:-0.961 | GX:0.580 GY:0.076 GZ:1.282 | T:25.00 C
I (574265) mpu6050 stream: AX:-0.056 AY:0.109 AZ:-0.961 | GX:0.550 GY:0.534 GZ:1.420 | T:25.00 C
I (574275) mpu6050 stream: AX:-0.050 AY:0.107 AZ:-0.955 | GX:0.137 GY:0.550 GZ:1.237 | T:25.00 C
I (574285) mpu6050 stream: AX:-0.063 AY:0.110 AZ:-0.951 | GX:-0.427 GY:0.412 GZ:1.450 | T:24.91 C
I (574295) mpu6050 stream: AX:-0.059 AY:0.107 AZ:-0.957 | GX:-0.702 GY:0.489 GZ:1.420 | T:25.00 C
I (574305) mpu6050 stream: AX:-0.057 AY:0.111 AZ:-0.953 | GX:-0.427 GY:0.809 GZ:1.618 | T:24.91 C
I (574315) mpu6050 stream: AX:-0.055 AY:0.113 AZ:-0.955 | GX:-0.015 GY:0.626 GZ:1.634 | T:25.00 C
I (574325) mpu6050 stream: AX:-0.052 AY:0.107 AZ:-0.958 | GX:0.336 GY:0.962 GZ:1.817 | T:25.00 C
I (574335) mpu6050 stream: AX:-0.052 AY:0.104 AZ:-0.957 | GX:0.794 GY:1.252 GZ:1.710 | T:24.91 C
I (574345) mpu6050 stream: AX:-0.049 AY:0.098 AZ:-0.960 | GX:0.901 GY:1.084 GZ:1.725 | T:25.00 C
I (574355) mpu6050 stream: AX:-0.046 AY:0.104 AZ:-0.953 | GX:0.687 GY:1.298 GZ:1.664 | T:25.00 C
I (574365) mpu6050 stream: AX:-0.043 AY:0.107 AZ:-0.957 | GX:0.382 GY:0.855 GZ:1.511 | T:24.91 C
I (574375) mpu6050 stream: AX:-0.044 AY:0.112 AZ:-0.961 | GX:0.015 GY:0.489 GZ:1.298 | T:25.00 C
I (574385) mpu6050 stream: AX:-0.053 AY:0.102 AZ:-0.960 | GX:-0.137 GY:0.473 GZ:1.313 | T:25.00 C
I (574395) mpu6050 stream: AX:-0.052 AY:0.106 AZ:-0.957 | GX:-0.168 GY:0.443 GZ:1.282 | T:25.00 C
I (574405) mpu6050 stream: AX:-0.048 AY:0.103 AZ:-0.958 | GX:-0.244 GY:0.427 GZ:1.237 | T:25.00 C
I (574415) mpu6050 stream: AX:-0.049 AY:0.103 AZ:-0.959 | GX:-0.366 GY:0.611 GZ:1.099 | T:24.91 C
I (574425) mpu6050 stream: AX:-0.053 AY:0.107 AZ:-0.956 | GX:-0.366 GY:0.443 GZ:1.099 | T:24.91 C
I (574435) mpu6050 stream: AX:-0.048 AY:0.104 AZ:-0.961 | GX:-0.534 GY:0.214 GZ:1.069 | T:25.00 C
I (574445) mpu6050 stream: AX:-0.042 AY:0.101 AZ:-0.957 | GX:-0.382 GY:0.153 GZ:0.870 | T:24.91 C
I (574455) mpu6050 stream: AX:-0.051 AY:0.108 AZ:-0.957 | GX:-0.336 GY:0.336 GZ:1.038 | T:24.91 C
I (574465) mpu6050 stream: AX:-0.046 AY:0.111 AZ:-0.957 | GX:-0.183 GY:0.366 GZ:1.099 | T:24.91 C
I (574475) mpu6050 stream: AX:-0.037 AY:0.110 AZ:-0.951 | GX:0.107 GY:0.107 GZ:1.145 | T:25.00 C
I (574485) mpu6050 stream: AX:-0.044 AY:0.107 AZ:-0.956 | GX:-0.290 GY:0.076 GZ:1.069 | T:24.91 C
I (574495) mpu6050 stream: AX:-0.046 AY:0.109 AZ:-0.957 | GX:-0.534 GY:-0.153 GZ:1.176 | T:24.91 C
I (574505) mpu6050 stream: AX:-0.049 AY:0.107 AZ:-0.963 | GX:-0.885 GY:-0.168 GZ:1.023 | T:24.91 C
I (574515) mpu6050 stream: AX:-0.050 AY:0.108 AZ:-0.948 | GX:-0.992 GY:0.244 GZ:0.931 | T:24.91 C
I (574525) mpu6050 stream: AX:-0.044 AY:0.104 AZ:-0.960 | GX:-0.580 GY:-0.061 GZ:1.084 | T:25.00 C
I (574535) mpu6050 stream: AX:-0.049 AY:0.105 AZ:-0.951 | GX:-0.427 GY:0.214 GZ:0.870 | T:25.00 C
I (574545) mpu6050 stream: AX:-0.042 AY:0.107 AZ:-0.961 | GX:-0.382 GY:-0.229 GZ:0.855 | T:24.91 C
I (574555) mpu6050 stream: AX:-0.049 AY:0.107 AZ:-0.953 | GX:-0.336 GY:-0.244 GZ:0.855 | T:24.91 C
