I (610265) mpu6050 stream: AX:0.045 AY:0.079 AZ:-0.963 | GX:2.427 GY:-0.168 GZ:1.542 | T:24.91 C
I (610275) mpu6050 stream: AX:0.050 AY:0.083 AZ:-0.966 | GX:2.443 GY:-0.046 GZ:0.901 | T:24.91 C
I (610285) mpu6050 stream: AX:0.055 AY:0.078 AZ:-0.968 | GX:-0.443 GY:-0.794 GZ:1.069 | T:25.00 C
I (610295) mpu6050 stream: AX:0.050 AY:0.077 AZ:-0.949 | GX:-1.618 GY:-0.962 GZ:0.748 | T:24.91 C
I (610305) mpu6050 stream: AX:0.052 AY:0.080 AZ:-0.949 | GX:-1.725 GY:-1.313 GZ:0.718 | T:24.91 C
I (610315) mpu6050 stream: AX:0.051 AY:0.090 AZ:-0.958 | GX:-0.809 GY:-1.237 GZ:0.885 | T:25.00 C
I (610325) mpu6050 stream: AX:0.046 AY:0.095 AZ:-0.956 | GX:0.214 GY:-0.687 GZ:1.206 | T:25.00 C
I (610335) mpu6050 stream: AX:0.047 AY:0.091 AZ:-0.965 | GX:0.443 GY:-0.580 GZ:1.588 | T:25.00 C
I (610345) mpu6050 stream: AX:0.042 AY:0.091 AZ:-0.960 | GX:1.466 GY:-0.504 GZ:1.542 | T:25.00 C
I (610355) mpu6050 stream: AX:0.045 AY:0.081 AZ:-0.959 | GX:1.282 GY:-0.992 GZ:1.634 | T:24.91 C
I (610365) mpu6050 stream: AX:0.048 AY:0.085 AZ:-0.962 | GX:0.504 GY:-1.069 GZ:1.649 | T:25.00 C
I (610375) mpu6050 stream: AX:0.045 AY:0.077 AZ:-0.964 | GX:0.168 GY:-0.977 GZ:1.649 | T:25.00 C
I (610385) mpu6050 stream: AX:0.045 AY:0.077 AZ:-0.969 | GX:0.168 GY:-0.641 GZ:1.649 | T:24.91 C
I (610395) mpu6050 stream: AX:0.041 AY:0.074 AZ:-0.964 | GX:0.412 GY:-0.076 GZ:1.573 | T:25.00 C
I (610405) mpu6050 stream: AX:0.045 AY:0.079 AZ:-0.958 | GX:0.656 GY:0.076 GZ:1.496 | T:25.00 C
I (610415) mpu6050 stream: AX:0.049 AY:0.081 AZ:-0.959 | GX:1.115 GY:0.122 GZ:1.420 | T:24.91 C
I (610425) mpu6050 stream: AX:0.055 AY:0.082 AZ:-0.962 | GX:0.992 GY:-0.366 GZ:1.405 | T:25.00 C
I (610435) mpu6050 stream: AX:0.048 AY:0.071 AZ:-0.972 | GX:0.702 GY:0.321 GZ:1.374 | T:24.91 C
I (610445) mpu6050 stream: AX:0.041 AY:0.071 AZ:-0.962 | GX:-0.168 GY:0.214 GZ:1.221 | T:24.91 C
I (610455) mpu6050 stream: AX:0.042 AY:0.075 AZ:-0.970 | GX:-0.473 GY:0.794 GZ:1.023 | T:24.91 C
I (610465) mpu6050 stream: AX:0.052 AY:0.078 AZ:-0.958 | GX:-0.153 GY:0.763 GZ:0.947 | T:24.91 C
I (610475) mpu6050 stream: AX:0.058 AY:0.080 AZ:-0.955 | GX:0.321 GY:0.550 GZ:0.977 | T:24.81 C
I (610485) mpu6050 stream: AX:0.048 AY:0.087 AZ:-0.957 | GX:0.733 GY:0.137 GZ:1.084 | T:24.81 C
I (610495) mpu6050 stream: AX:0.048 AY:0.082 AZ:-0.965 | GX:0.855 GY:0.275 GZ:1.252 | T:24.86 C
I (610505) mpu6050 stream: AX:0.044 AY:0.072 AZ:-0.967 | GX:0.626 GY:0.351 GZ:1.298 | T:25.00 C
I (610515) mpu6050 stream: AX:0.050 AY:0.076 AZ:-0.969 | GX:0.229 GY:0.687 GZ:1.069 | T:24.95 C
I (610525) mpu6050 stream: AX:0.048 AY:0.076 AZ:-0.951 | GX:0.137 GY:0.779 GZ:1.069 | T:24.95 C
I (610535) mpu6050 stream: AX:0.053 AY:0.080 AZ:-0.958 | GX:0.229 GY:0.687 GZ:1.053 | T:24.95 C
I (610545) mpu6050 stream: AX:0.049 AY:0.083 AZ:-0.961 | GX:0.046 GY:0.290 GZ:1.145 | T:24.95 C
