I (557065) mpu6050 stream: AX:-0.097 AY:0.101 AZ:-0.949 | GX:-0.473 GY:0.351 GZ:0.794 | T:25.09 C
I (557075) mpu6050 stream: AX:-0.100 AY:0.101 AZ:-0.948 | GX:-0.611 GY:0.183 GZ:0.855 | T:25.00 C
I (557085) mpu6050 stream: AX:-0.100 AY:0.102 AZ:-0.957 | GX:-0.214 GY:0.611 GZ:0.275 | T:24.91 C
I (557095) mpu6050 stream: AX:-0.100 AY:0.105 AZ:-0.964 | GX:-2.015 GY:0.366 GZ:0.351 | T:24.91 C
I (557105) mpu6050 stream: AX:-0.096 AY:0.114 AZ:-0.956 | GX:-2.198 GY:0.611 GZ:-0.275 | T:24.91 C
I (557115) mpu6050 stream: AX:-0.100 AY:0.118 AZ:-0.946 | GX:-1.130 GY:0.412 GZ:-0.290 | T:25.00 C
I (557125) mpu6050 stream: AX:-0.102 AY:0.121 AZ:-0.944 | GX:0.626 GY:0.412 GZ:-0.214 | T:24.91 C
I (557135) mpu6050 stream: AX:-0.094 AY:0.111 AZ:-0.939 | GX:1.969 GY:0.046 GZ:-0.351 | T:24.91 C
I (557145) mpu6050 stream: AX:-0.100 AY:0.107 AZ:-0.944 | GX:1.908 GY:-0.443 GZ:-0.275 | T:25.00 C
I (557155) mpu6050 stream: AX:-0.109 AY:0.106 AZ:-0.949 | GX:1.023 GY:-0.718 GZ:-0.107 | T:25.00 C
I (557165) mpu6050 stream: AX:-0.102 AY:0.104 AZ:-0.948 | GX:-0.809 GY:-1.344 GZ:-0.168 | T:25.00 C
I (557175) mpu6050 stream: AX:-0.105 AY:0.109 AZ:-0.947 | GX:-2.000 GY:-1.588 GZ:0.092 | T:24.91 C
I (557185) mpu6050 stream: AX:-0.108 AY:0.116 AZ:-0.951 | GX:-2.092 GY:-1.511 GZ:0.443 | T:25.00 C
I (557195) mpu6050 stream: AX:-0.106 AY:0.121 AZ:-0.944 | GX:-0.931 GY:-0.977 GZ:0.855 | T:24.91 C
I (557205) mpu6050 stream: AX:-0.107 AY:0.121 AZ:-0.950 | GX:0.061 GY:-0.397 GZ:1.405 | T:25.00 C
