I (231485) mpu6050 stream: AX:-0.192 AY:0.104 AZ:-0.941 | GX:-0.046 GY:-0.107 GZ:0.336 | T:25.28 C
I (231495) mpu6050 stream: AX:-0.188 AY:0.094 AZ:-0.941 | GX:-0.092 GY:-0.092 GZ:0.412 | T:25.19 C
I (231505) mpu6050 stream: AX:-0.189 AY:0.096 AZ:-0.948 | GX:-0.779 GY:0.122 GZ:0.397 | T:25.38 C
I (231515) mpu6050 stream: AX:-0.188 AY:0.095 AZ:-0.933 | GX:-1.145 GY:0.137 GZ:0.092 | T:25.28 C
I (231525) mpu6050 stream: AX:-0.190 AY:0.105 AZ:-0.932 | GX:-1.328 GY:0.000 GZ:0.382 | T:25.28 C
I (231535) mpu6050 stream: AX:-0.190 AY:0.108 AZ:-0.934 | GX:-1.069 GY:0.015 GZ:0.198 | T:25.19 C
I (231545) mpu6050 stream: AX:-0.190 AY:0.108 AZ:-0.936 | GX:-0.489 GY:0.015 GZ:0.427 | T:25.19 C
I (231555) mpu6050 stream: AX:-0.188 AY:0.107 AZ:-0.946 | GX:0.198 GY:0.000 GZ:0.427 | T:25.28 C
I (231565) mpu6050 stream: AX:-0.186 AY:0.106 AZ:-0.936 | GX:0.504 GY:0.198 GZ:0.443 | T:25.28 C
I (231575) mpu6050 stream: AX:-0.194 AY:0.098 AZ:-0.944 | GX:0.382 GY:0.321 GZ:0.443 | T:25.28 C
I (231585) mpu6050 stream: AX:-0.191 AY:0.094 AZ:-0.935 | GX:-0.061 GY:0.031 GZ:0.382 | T:25.19 C
I (231595) mpu6050 stream: AX:-0.189 AY:0.102 AZ:-0.935 | GX:-0.122 GY:0.351 GZ:0.519 | T:25.28 C
I (231605) mpu6050 stream: AX:-0.188 AY:0.101 AZ:-0.933 | GX:-0.076 GY:-0.092 GZ:0.534 | T:25.19 C
I (231615) mpu6050 stream: AX:-0.191 AY:0.095 AZ:-0.943 | GX:-0.092 GY:0.076 GZ:0.656 | T:25.19 C
I (231625) mpu6050 stream: AX:-0.194 AY:0.103 AZ:-0.942 | GX:-0.122 GY:0.015 GZ:0.687 | T:25.28 C
I (231635) mpu6050 stream: AX:-0.193 AY:0.105 AZ:-0.942 | GX:-0.061 GY:-0.244 GZ:0.779 | T:25.19 C
I (231645) mpu6050 stream: AX:-0.190 AY:0.102 AZ:-0.938 | GX:-0.046 GY:0.107 GZ:1.023 | T:25.19 C
I (231655) mpu6050 stream: AX:-0.195 AY:0.100 AZ:-0.933 | GX:-0.015 GY:0.183 GZ:1.053 | T:25.28 C
I (231665) mpu6050 stream: AX:-0.192 AY:0.101 AZ:-0.938 | GX:-0.061 GY:0.382 GZ:1.267 | T:25.19 C
I (231675) mpu6050 stream: AX:-0.193 AY:0.096 AZ:-0.943 | GX:0.061 GY:0.519 GZ:1.359 | T:25.28 C
I (231685) mpu6050 stream: AX:-0.187 AY:0.099 AZ:-0.943 | GX:-0.015 GY:0.382 GZ:1.298 | T:25.19 C
I (231695) mpu6050 stream: AX:-0.190 AY:0.100 AZ:-0.942 | GX:-0.137 GY:0.427 GZ:1.374 | T:25.28 C
I (231705) mpu6050 stream: AX:-0.186 AY:0.092 AZ:-0.937 | GX:-0.168 GY:0.702 GZ:1.389 | T:25.38 C
I (231715) mpu6050 stream: AX:-0.184 AY:0.094 AZ:-0.930 | GX:-0.137 GY:0.336 GZ:1.206 | T:25.19 C
I (231725) mpu6050 stream: AX:-0.185 AY:0.096 AZ:-0.936 | GX:-0.290 GY:0.611 GZ:1.206 | T:25.19 C
I (231735) mpu6050 stream: AX:-0.187 AY:0.096 AZ:-0.940 | GX:-0.504 GY:0.611 GZ:1.084 | T:25.33 C
I (231745) mpu6050 stream: AX:-0.185 AY:0.094 AZ:-0.941 | GX:-0.565 GY:0.061 GZ:1.069 | T:25.24 C
I (231755) mpu6050 stream: AX:-0.187 AY:0.099 AZ:-0.941 | GX:-0.656 GY:-0.107 GZ:0.885 | T:25.14 C
I (231765) mpu6050 stream: AX:-0.181 AY:0.098 AZ:-0.931 | GX:-0.718 GY:0.122 GZ:0.855 | T:25.24 C
I (231775) mpu6050 stream: AX:-0.186 AY:0.099 AZ:-0.938 | GX:-0.565 GY:-0.107 GZ:0.504 | T:25.14 C
I (231785) mpu6050 stream: AX:-0.184 AY:0.100 AZ:-0.938 | GX:-0.366 GY:0.015 GZ:0.412 | T:25.14 C
I (231795) mpu6050 stream: AX:-0.190 AY:0.097 AZ:-0.942 | GX:-0.504 GY:-0.168 GZ:0.366 | T:25.24 C
I (231805) mpu6050 stream: AX:-0.184 AY:0.100 AZ:-0.941 | GX:-0.382 GY:-0.092 GZ:0.305 | T:25.14 C
I (231815) mpu6050 stream: AX:-0.187 AY:0.100 AZ:-0.935 | GX:-0.198 GY:0.046 GZ:0.443 | T:25.24 C
I (231825) mpu6050 stream: AX:-0.183 AY:0.099 AZ:-0.941 | GX:-0.260 GY:0.107 GZ:0.336 | T:25.24 C
I (231835) mpu6050 stream: AX:-0.186 AY:0.106 AZ:-0.938 | GX:-0.229 GY:0.046 GZ:0.351 | T:25.24 C
I (231845) mpu6050 stream: AX:-0.185 AY:0.099 AZ:-0.938 | GX:-0.290 GY:0.107 GZ:0.626 | T:25.24 C
I (231855) mpu6050 stream: AX:-0.198 AY:0.103 AZ:-0.940 | GX:-0.305 GY:-0.076 GZ:0.885 | T:25.33 C
I (231865) mpu6050 stream: AX:-0.187 AY:0.101 AZ:-0.936 | GX:-0.076 GY:0.000 GZ:0.702 | T:25.33 C
I (231875) mpu6050 stream: AX:-0.189 AY:0.105 AZ:-0.928 | GX:0.183 GY:-0.275 GZ:0.794 | T:25.33 C
I (231885) mpu6050 stream: AX:-0.183 AY:0.098 AZ:-0.935 | GX:0.275 GY:-0.641 GZ:0.779 | T:25.33 C
I (231895) mpu6050 stream: AX:-0.188 AY:0.100 AZ:-0.936 | GX:0.107 GY:-0.550 GZ:0.962 | T:25.14 C
I (231905) mpu6050 stream: AX:-0.193 AY:0.102 AZ:-0.948 | GX:-0.076 GY:-0.061 GZ:0.870 | T:25.24 C
I (231915) mpu6050 stream: AX:-0.192 AY:0.098 AZ:-0.938 | GX:-0.153 GY:-0.229 GZ:0.977 | T:25.24 C
I (231925) mpu6050 stream: AX:-0.191 AY:0.100 AZ:-0.937 | GX:0.092 GY:0.092 GZ:1.130 | T:25.24 C
I (231935) mpu6050 stream: AX:-0.189 AY:0.098 AZ:-0.943 | GX:0.183 GY:0.015 GZ:1.221 | T:25.14 C
I (231945) mpu6050 stream: AX:-0.185 AY:0.105 AZ:-0.931 | GX:0.122 GY:0.092 GZ:1.130 | T:25.24 C
I (231955) mpu6050 stream: AX:-0.185 AY:0.098 AZ:-0.942 | GX:0.076 GY:-0.076 GZ:1.191 | T:25.24 C
I (231965) mpu6050 stream: AX:-0.182 AY:0.098 AZ:-0.937 | GX:0.015 GY:0.183 GZ:1.084 | T:25.24 C
I (231975) mpu6050 stream: AX:-0.188 AY:0.094 AZ:-0.938 | GX:0.015 GY:-0.198 GZ:1.038 | T:25.24 C
I (231985) mpu6050 stream: AX:-0.188 AY:0.101 AZ:-0.934 | GX:0.229 GY:-0.504 GZ:0.992 | T:25.14 C
I (231995) mpu6050 stream: AX:-0.190 AY:0.097 AZ:-0.944 | GX:0.183 GY:-0.275 GZ:1.252 | T:25.33 C
I (232005) mpu6050 stream: AX:-0.191 AY:0.095 AZ:-0.938 | GX:0.000 GY:0.076 GZ:1.435 | T:25.33 C
I (232015) mpu6050 stream: AX:-0.191 AY:0.093 AZ:-0.947 | GX:-0.122 GY:0.229 GZ:1.130 | T:25.33 C
I (232025) mpu6050 stream: AX:-0.181 AY:0.089 AZ:-0.934 | GX:-0.473 GY:0.489 GZ:0.947 | T:25.24 C
I (232035) mpu6050 stream: AX:-0.191 AY:0.095 AZ:-0.950 | GX:-1.038 GY:0.565 GZ:0.718 | T:25.24 C
I (232045) mpu6050 stream: AX:-0.185 AY:0.100 AZ:-0.944 | GX:-1.618 GY:1.008 GZ:0.702 | T:25.24 C
I (232055) mpu6050 stream: AX:-0.186 AY:0.103 AZ:-0.944 | GX:-1.298 GY:0.885 GZ:0.672 | T:25.24 C
I (232065) mpu6050 stream: AX:-0.183 AY:0.112 AZ:-0.937 | GX:-0.137 GY:-0.046 GZ:0.794 | T:25.33 C
I (232075) mpu6050 stream: AX:-0.182 AY:0.112 AZ:-0.928 | GX:1.099 GY:-0.321 GZ:0.519 :0.076 GY:1.435 GZ:-0.244 | T:25.19 C
I (232315) mpu6050 stream: AX:-0.186 AY:0.108 AZ:-0.938 | GX:0.489 GY:1.069 GZ:-0.107 | T:25.28 C
I (232325) mpu6050 stream: AX:-0.193 AY:0.102 AZ:-0.934 | GX:0.641 GY:0.870 GZ:0.168 | T:25.28 C
I (232335) mpu6050 stream: AX:-0.187 AY:0.102 AZ:-0.933 | GX:0.855 GY:0.427 GZ:0.397 | T:25.28 C
I (232345) mpu6050 stream: AX:-0.188 AY:0.099 AZ:-0.942 | GX:0.656 GY:0.565 GZ:0.519 | T:25.19 C
I (232355) mpu6050 stream: AX:-0.183 AY:0.096 AZ:-0.936 | GX:0.061 GY:0.748 GZ:0.473 | T:25.28 C
I (232365) mpu6050 stream: AX:-0.194 AY:0.102 AZ:-0.937 | GX:-0.168 GY:0.702 GZ:0.427 | T:25.38 C
I (232375) mpu6050 stream: AX:-0.191 AY:0.098 AZ:-0.932 | GX:-0.260 GY:0.656 GZ:0.580 | T:25.19 C
I (232385) mpu6050 stream: AX:-0.187 AY:0.104 AZ:-0.931 | GX:-0.015 GY:0.595 GZ:0.641 | T:25.19 C
I (232395) mpu6050 stream: AX:-0.189 AY:0.103 AZ:-0.931 | GX:0.031 GY:0.534 GZ:0.626 | T:25.19 C
I (232405) mpu6050 stream: AX:-0.190 AY:0.108 AZ:-0.927 | GX:0.458 GY:0.366 GZ:0.748 | T:25.19 C
I (232415) mpu6050 stream: AX:-0.186 AY:0.106 AZ:-0.931 | GX:0.809 GY:-0.061 GZ:0.824 | T:25.28 C
I (232425) mpu6050 stream: AX:-0.194 AY:0.102 AZ:-0.936 | GX:1.053 GY:-0.198 GZ:0.718 | T:25.28 C
I (232435) mpu6050 stream: AX:-0.193 AY:0.104 AZ:-0.943 | GX:1.023 GY:-0.336 GZ:0.977 | T:25.28 C
I (232445) mpu6050 stream: AX:-0.199 AY:0.100 AZ:-0.948 | GX:0.809 GY:-0.244 GZ:1.191 | T:25.28 C
I (232455) mpu6050 stream: AX:-0.197 AY:0.096 AZ:-0.941 | GX:0.733 GY:0.046 GZ:1.267 | T:25.19 C
