I (481895) mpu6050 stream: AX:-0.094 AY:0.082 AZ:-0.942 | GX:-0.397 GY:-0.366 GZ:1.435 | T:25.05 C
I (481905) mpu6050 stream: AX:-0.090 AY:0.085 AZ:-0.946 | GX:-0.031 GY:-1.099 GZ:1.115 | T:25.05 C
I (481915) mpu6050 stream: AX:-0.089 AY:0.088 AZ:-0.948 | GX:0.183 GY:-1.191 GZ:1.191 | T:25.05 C
I (481925) mpu6050 stream: AX:-0.095 AY:0.091 AZ:-0.963 | GX:-0.031 GY:-1.359 GZ:1.084 | T:25.05 C
I (481935) mpu6050 stream: AX:-0.095 AY:0.086 AZ:-0.957 | GX:-0.351 GY:-1.130 GZ:1.130 | T:25.05 C
I (481945) mpu6050 stream: AX:-0.088 AY:0.094 AZ:-0.952 | GX:-0.351 GY:-1.237 GZ:1.160 | T:25.05 C
I (481955) mpu6050 stream: AX:-0.098 AY:0.090 AZ:-0.945 | GX:0.031 GY:-1.481 GZ:1.008 | T:25.14 C
I (481965) mpu6050 stream: AX:-0.098 AY:0.085 AZ:-0.958 | GX:0.351 GY:-1.328 GZ:1.282 | T:25.05 C
I (481975) mpu6050 stream: AX:-0.099 AY:0.083 AZ:-0.960 | GX:0.321 GY:-1.053 GZ:1.374 | T:25.05 C
I (481985) mpu6050 stream: AX:-0.102 AY:0.080 AZ:-0.952 | GX:-0.183 GY:-0.687 GZ:1.328 | T:25.14 C
I (481995) mpu6050 stream: AX:-0.098 AY:0.080 AZ:-0.963 | GX:-1.099 GY:-0.733 GZ:1.176 | T:25.14 C
I (482005) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.964 | GX:-1.756 GY:-0.779 GZ:1.069 | T:25.05 C
I (482015) mpu6050 stream: AX:-0.093 AY:0.096 AZ:-0.956 | GX:-1.130 GY:-0.977 GZ:0.977 | T:24.95 C
I (482025) mpu6050 stream: AX:-0.094 AY:0.100 AZ:-0.948 | GX:0.275 GY:-1.176 GZ:1.008 | T:25.05 C
I (482035) mpu6050 stream: AX:-0.100 AY:0.092 AZ:-0.952 | GX:1.557 GY:-1.176 GZ:1.191 | T:25.14 C
I (482045) mpu6050 stream: AX:-0.099 AY:0.089 AZ:-0.951 | GX:2.183 GY:-1.160 GZ:1.466 | T:25.05 C
I (482055) mpu6050 stream: AX:-0.101 AY:0.082 AZ:-0.955 | GX:1.756 GY:-0.809 GZ:1.557 | T:25.05 C
I (482065) mpu6050 stream: AX:-0.098 AY:0.081 AZ:-0.951 | GX:0.794 GY:-0.977 GZ:1.420 | T:25.05 C
I (482075) mpu6050 stream: AX:-0.098 AY:0.079 AZ:-0.953 | GX:-0.275 GY:-0.931 GZ:1.359 | T:25.14 C
I (482085) mpu6050 stream: AX:-0.104 AY:0.084 AZ:-0.949 | GX:-1.038 GY:-0.824 GZ:1.374 | T:25.14 C
I (482095) mpu6050 stream: AX:-0.102 AY:0.089 AZ:-0.959 | GX:-1.450 GY:-0.824 GZ:1.359 | T:25.05 C
I (482105) mpu6050 stream: AX:-0.100 AY:0.091 AZ:-0.953 | GX:-1.053 GY:-0.412 GZ:1.282 | T:25.05 C
I (482115) mpu6050 stream: AX:-0.099 AY:0.083 AZ:-0.959 | GX:-0.290 GY:-0.580 GZ:1.069 | T:25.05 C
I (482125) mpu6050 stream: AX:-0.102 AY:0.089 AZ:-0.948 | GX:0.427 GY:-0.641 GZ:1.160 | T:25.05 C
I (482135) mpu6050 stream: AX:-0.102 AY:0.086 AZ:-0.939 | GX:0.595 GY:-0.550 GZ:1.160 | T:25.14 C
I (482145) mpu6050 stream: AX:-0.100 AY:0.089 AZ:-0.950 | GX:-0.015 GY:-0.412 GZ:0.916 | T:25.05 C
I (482155) mpu6050 stream: AX:-0.102 AY:0.079 AZ:-0.956 | GX:-0.748 GY:-0.626 GZ:0.748 | T:25.14 C
I (482165) mpu6050 stream: AX:-0.106 AY:0.083 AZ:-0.957 | GX:-1.191 GY:-0.198 GZ:0.565 | T:25.05 C
I (482175) mpu6050 stream: AX:-0.103 AY:0.085 AZ:-0.957 | GX:-1.130 GY:-0.626 GZ:0.565 | T:25.14 C
I (482185) mpu6050 stream: AX:-0.099 AY:0.090 AZ:-0.951 | GX:-0.992 GY:-0.519 GZ:0.321 | T:25.05 C
I (482195) mpu6050 stream: AX:-0.100 AY:0.093 AZ:-0.948 | GX:-0.153 GY:-0.336 GZ:0.489 | T:25.14 C
I (482205) mpu6050 stream: AX:-0.098 AY:0.095 AZ:-0.956 | GX:0.183 GY:-0.351 GZ:0.504 | T:25.14 C
I (482215) mpu6050 stream: AX:-0.104 AY:0.092 AZ:-0.962 | GX:-0.122 GY:-0.076 GZ:0.626 | T:25.14 C
I (482225) mpu6050 stream: AX:-0.101 AY:0.085 AZ:-0.955 | GX:-0.260 GY:0.046 GZ:0.733 | T:25.05 C
I (482235) mpu6050 stream: AX:-0.105 AY:0.090 AZ:-0.957 | GX:-0.763 GY:-0.092 GZ:0.855 | T:25.14 C
I (482245) mpu6050 stream: AX:-0.106 AY:0.095 AZ:-0.956 | GX:-0.718 GY:-0.260 GZ:0.641 | T:25.14 C
I (482255) mpu6050 stream: AX:-0.103 AY:0.095 AZ:-0.955 | GX:-0.183 GY:0.092 GZ:0.794 | T:25.05 C
I (482265) mpu6050 stream: AX:-0.104 AY:0.096 AZ:-0.944 | GX:0.397 GY:-0.015 GZ:1.053 | T:25.05 C
I (482275) mpu6050 stream: AX:-0.103 AY:0.089 AZ:-0.954 | GX:0.733 GY:0.153 GZ:1.176 | T:25.14 C
I (482285) mpu6050 stream: AX:-0.105 AY:0.094 AZ:-0.948 | GX:0.779 GY:-0.275 GZ:1.053 | T:25.05 C
I (482295) mpu6050 stream: AX:-0.104 AY:0.085 AZ:-0.950 | GX:0.351 GY:-0.290 GZ:1.099 | T:25.05 C
I (482305) mpu6050 stream: AX:-0.104 AY:0.083 AZ:-0.958 | GX:-0.351 GY:-0.382 GZ:1.221 | T:25.05 C
I (482315) mpu6050 stream: AX:-0.107 AY:0.088 AZ:-0.957 | GX:-0.794 GY:-0.137 GZ:0.992 | T:25.05 C
I (482325) mpu6050 stream: AX:-0.104 AY:0.085 AZ:-0.952 | GX:-0.443 GY:0.244 GZ:1.160 | T:25.05 C
I (482335) mpu6050 stream: AX:-0.106 AY:0.094 AZ:-0.947 | GX:0.214 GY:0.427 GZ:1.130 | T:25.05 C
I (482345) mpu6050 stream: AX:-0.103 AY:0.090 AZ:-0.959 | GX:0.916 GY:0.305 GZ:1.115 | T:25.05 C
I (482355) mpu6050 stream: AX:-0.099 AY:0.088 AZ:-0.944 | GX:1.267 GY:0.489 GZ:1.023 | T:25.19 C
I (482365) mpu6050 stream: AX:-0.099 AY:0.085 AZ:-0.964 | GX:1.420 GY:0.427 GZ:1.023 | T:25.00 C
I (482375) mpu6050 stream: AX:-0.098 AY:0.088 AZ:-0.961 | GX:1.145 GY:0.076 GZ:1.023 | T:25.09 C
I (482385) mpu6050 stream: AX:-0.101 AY:0.079 AZ:-0.953 | GX:0.718 GY:0.198 GZ:0.794 | T:25.09 C
I (482395) mpu6050 stream: AX:-0.099 AY:0.080 AZ:-0.952 | GX:0.427 GY:0.031 GZ:0.916 | T:25.09 C
I (482405) mpu6050 stream: AX:-0.099 AY:0.080 AZ:-0.951 | GX:0.153 GY:-0.366 GZ:0.855 | T:25.09 C
I (482415) mpu6050 stream: AX:-0.103 AY:0.080 AZ:-0.951 | GX:0.168 GY:-0.809 GZ:0.962 | T:25.09 C
I (482425) mpu6050 stream: AX:-0.102 AY:0.081 AZ:-0.957 | GX:0.076 GY:-0.656 GZ:0.794 | T:25.09 C
I (482435) mpu6050 stream: AX:-0.113 AY:0.078 AZ:-0.961 | GX:-0.214 GY:-0.718 GZ:0.748 | T:25.19 C
I (482445) mpu6050 stream: AX:-0.109 AY:0.083 AZ:-0.956 | GX:-0.260 GY:-0.534 GZ:0.901 | T:25.00 C
I (482455) mpu6050 stream: AX:-0.103 AY:0.083 AZ:-0.960 | GX:-0.168 GY:-0.519 GZ:0.809 | T:25.09 C
