I (311525) mpu6050 stream: AX:-0.142 AY:0.108 AZ:-0.957 | GX:-0.779 GY:0.870 GZ:0.580 | T:25.24 C
I (311535) mpu6050 stream: AX:-0.142 AY:0.112 AZ:-0.958 | GX:-1.191 GY:1.267 GZ:0.412 | T:25.24 C
I (311545) mpu6050 stream: AX:-0.141 AY:0.115 AZ:-0.941 | GX:-0.534 GY:0.947 GZ:0.702 | T:25.24 C
I (311555) mpu6050 stream: AX:-0.136 AY:0.110 AZ:-0.929 | GX:0.748 GY:0.122 GZ:0.641 | T:25.14 C
I (311565) mpu6050 stream: AX:-0.139 AY:0.107 AZ:-0.939 | GX:1.771 GY:-0.321 GZ:0.672 | T:25.24 C
I (311575) mpu6050 stream: AX:-0.136 AY:0.105 AZ:-0.938 | GX:1.679 GY:-0.794 GZ:0.687 | T:25.24 C
I (311585) mpu6050 stream: AX:-0.140 AY:0.103 AZ:-0.939 | GX:0.931 GY:-0.794 GZ:0.718 | T:25.24 C
I (311595) mpu6050 stream: AX:-0.141 AY:0.106 AZ:-0.949 | GX:-0.214 GY:-0.748 GZ:0.824 | T:25.28 C
I (311605) mpu6050 stream: AX:-0.142 AY:0.104 AZ:-0.949 | GX:-0.916 GY:-0.336 GZ:0.733 | T:25.28 C
I (311615) mpu6050 stream: AX:-0.145 AY:0.108 AZ:-0.945 | GX:-0.809 GY:-0.580 GZ:0.916 | T:25.28 C
I (311625) mpu6050 stream: AX:-0.143 AY:0.112 AZ:-0.947 | GX:-0.229 GY:-0.427 GZ:1.191 | T:25.28 C
I (311635) mpu6050 stream: AX:-0.141 AY:0.109 AZ:-0.940 | GX:0.244 GY:-0.489 GZ:1.084 | T:25.28 C
I (311645) mpu6050 stream: AX:-0.148 AY:0.105 AZ:-0.940 | GX:0.733 GY:-0.351 GZ:1.145 | T:25.19 C
I (311655) mpu6050 stream: AX:-0.150 AY:0.104 AZ:-0.937 | GX:0.504 GY:-0.443 GZ:1.023 | T:25.28 C
