I (457845) mpu6050 stream: AX:-0.095 AY:0.087 AZ:-0.956 | GX:-0.458 GY:0.580 GZ:0.733 | T:25.14 C
I (457855) mpu6050 stream: AX:-0.100 AY:0.087 AZ:-0.957 | GX:-0.260 GY:0.550 GZ:0.916 | T:25.24 C
I (457865) mpu6050 stream: AX:-0.097 AY:0.093 AZ:-0.960 | GX:-0.275 GY:0.595 GZ:1.008 | T:25.14 C
I (457875) mpu6050 stream: AX:-0.092 AY:0.087 AZ:-0.956 | GX:-0.107 GY:0.855 GZ:0.855 | T:25.14 C
I (457885) mpu6050 stream: AX:-0.092 AY:0.089 AZ:-0.958 | GX:-0.290 GY:1.008 GZ:1.069 | T:25.14 C
I (457895) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.955 | GX:-0.198 GY:1.221 GZ:1.176 | T:25.14 C
I (457905) mpu6050 stream: AX:-0.101 AY:0.087 AZ:-0.958 | GX:0.122 GY:1.099 GZ:1.328 | T:25.14 C
I (457915) mpu6050 stream: AX:-0.091 AY:0.089 AZ:-0.960 | GX:0.183 GY:1.389 GZ:1.618 | T:25.14 C
I (457925) mpu6050 stream: AX:-0.088 AY:0.096 AZ:-0.966 | GX:0.198 GY:1.420 GZ:1.511 | T:25.14 C
I (457935) mpu6050 stream: AX:-0.090 AY:0.086 AZ:-0.963 | GX:0.427 GY:1.832 GZ:1.832 | T:25.24 C
I (457945) mpu6050 stream: AX:-0.087 AY:0.081 AZ:-0.945 | GX:0.611 GY:1.908 GZ:1.802 | T:25.24 C
I (457955) mpu6050 stream: AX:-0.092 AY:0.083 AZ:-0.947 | GX:0.916 GY:2.031 GZ:1.939 | T:25.05 C
I (457965) mpu6050 stream: AX:-0.087 AY:0.075 AZ:-0.944 | GX:0.763 GY:1.832 GZ:1.679 | T:25.19 C
I (457975) mpu6050 stream: AX:-0.078 AY:0.080 AZ:-0.953 | GX:0.046 GY:1.527 GZ:1.634 | T:25.14 C
I (457985) mpu6050 stream: AX:-0.090 AY:0.079 AZ:-0.960 | GX:-0.916 GY:1.573 GZ:1.557 | T:25.09 C
I (457995) mpu6050 stream: AX:-0.085 AY:0.087 AZ:-0.957 | GX:-1.832 GY:1.817 GZ:1.374 | T:25.19 C
I (458005) mpu6050 stream: AX:-0.082 AY:0.102 AZ:-0.948 | GX:-0.198 GY:1.664 GZ:1.374 | T:25.19 C
I (458015) mpu6050 stream: AX:-0.084 AY:0.095 AZ:-0.950 | GX:0.382 GY:1.084 GZ:1.420 | T:25.19 C
I (458025) mpu6050 stream: AX:-0.082 AY:0.095 AZ:-0.944 | GX:1.649 GY:0.855 GZ:1.527 | T:25.09 C
I (458035) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.949 | GX:3.237 GY:0.626 GZ:1.954 | T:25.09 C
I (458045) mpu6050 stream: AX:-0.084 AY:0.088 AZ:-0.962 | GX:2.000 GY:0.382 GZ:1.939 | T:25.09 C
I (458055) mpu6050 stream: AX:-0.087 AY:0.082 AZ:-0.960 | GX:1.756 GY:0.656 GZ:1.954 | T:25.09 C
I (458065) mpu6050 stream: AX:-0.085 AY:0.076 AZ:-0.948 | GX:0.000 GY:0.366 GZ:2.214 | T:25.09 C
I (458075) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.945 | GX:0.137 GY:0.351 GZ:2.229 | T:25.19 C
I (458085) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.956 | GX:0.412 GY:0.092 GZ:2.504 | T:25.09 C
I (458095) mpu6050 stream: AX:-0.088 AY:0.086 AZ:-0.955 | GX:0.885 GY:0.122 GZ:2.443 | T:25.19 C
I (458105) mpu6050 stream: AX:-0.088 AY:0.089 AZ:-0.950 | GX:2.290 GY:0.244 GZ:2.824 | T:25.09 C
I (458115) mpu6050 stream: AX:-0.085 AY:0.075 AZ:-0.956 | GX:2.427 GY:0.351 GZ:2.794 | T:25.09 C
I (458125) mpu6050 stream: AX:-0.092 AY:0.066 AZ:-0.959 | GX:2.290 GY:0.412 GZ:2.672 | T:25.09 C
I (458135) mpu6050 stream: AX:-0.091 AY:0.073 AZ:-0.958 | GX:1.053 GY:-0.092 GZ:2.656 | T:25.19 C
I (458145) mpu6050 stream: AX:-0.091 AY:0.066 AZ:-0.959 | GX:-0.183 GY:0.305 GZ:2.290 | T:25.09 C
I (458155) mpu6050 stream: AX:-0.090 AY:0.064 AZ:-0.961 | GX:-0.458 GY:0.550 GZ:2.031 | T:25.00 C
I (458165) mpu6050 stream: AX:-0.091 AY:0.072 AZ:-0.955 | GX:-0.763 GY:0.611 GZ:1.786 | T:25.19 C
I (458175) mpu6050 stream: AX:-0.088 AY:0.072 AZ:-0.946 | GX:-0.321 GY:0.336 GZ:1.405 | T:25.28 C
I (458185) mpu6050 stream: AX:-0.089 AY:0.072 AZ:-0.958 | GX:0.076 GY:0.214 GZ:1.313 | T:25.09 C
I (458195) mpu6050 stream: AX:-0.092 AY:0.072 AZ:-0.952 | GX:0.458 GY:0.153 GZ:1.130 | T:25.09 C
I (458205) mpu6050 stream: AX:-0.093 AY:0.071 AZ:-0.958 | GX:0.244 GY:0.840 GZ:1.130 | T:25.19 C
I (458215) mpu6050 stream: AX:-0.090 AY:0.068 AZ:-0.959 | GX:-0.458 GY:0.748 GZ:0.809 | T:25.09 C
I (458225) mpu6050 stream: AX:-0.087 AY:0.074 AZ:-0.964 | GX:-0.977 GY:0.489 GZ:0.595 | T:25.09 C
I (458235) mpu6050 stream: AX:-0.087 AY:0.078 AZ:-0.959 | GX:-1.008 GY:0.565 GZ:0.336 | T:25.09 C
I (458245) mpu6050 stream: AX:-0.087 AY:0.088 AZ:-0.957 | GX:-0.427 GY:0.244 GZ:0.260 | T:25.19 C
I (458255) mpu6050 stream: AX:-0.089 AY:0.083 AZ:-0.963 | GX:0.183 GY:0.443 GZ:0.565 | T:25.09 C
I (458265) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.964 | GX:0.702 GY:1.053 GZ:0.931 | T:25.09 C
I (458275) mpu6050 stream: AX:-0.085 AY:0.075 AZ:-0.956 | GX:0.931 GY:1.313 GZ:0.809 | T:25.19 C
I (458285) mpu6050 stream: AX:-0.091 AY:0.075 AZ:-0.951 | GX:0.565 GY:1.389 GZ:1.008 | T:25.19 C
I (458295) mpu6050 stream: AX:-0.091 AY:0.070 AZ:-0.956 | GX:-0.229 GY:1.359 GZ:1.099 | T:25.09 C
I (458305) mpu6050 stream: AX:-0.085 AY:0.076 AZ:-0.953 | GX:-0.672 GY:1.130 GZ:1.038 | T:25.09 C
I (458315) mpu6050 stream: AX:-0.092 AY:0.083 AZ:-0.947 | GX:-0.840 GY:0.962 GZ:1.145 | T:25.09 C
I (458325) mpu6050 stream: AX:-0.085 AY:0.084 AZ:-0.961 | GX:-0.702 GY:1.069 GZ:1.298 | T:25.19 C
I (458335) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.960 | GX:-0.031 GY:1.328 GZ:1.267 | T:25.09 C
I (458345) mpu6050 stream: AX:-0.082 AY:0.080 AZ:-0.961 | GX:0.519 GY:1.435 GZ:1.374 | T:25.09 C
I (458355) mpu6050 stream: AX:-0.085 AY:0.083 AZ:-0.959 | GX:0.885 GY:1.313 GZ:1.206 | T:25.09 C
