I (439795) mpu6050 stream: AX:-0.099 AY:0.097 AZ:-0.964 | GX:0.519 GY:-0.183 GZ:2.565 | T:25.14 C
I (439805) mpu6050 stream: AX:-0.092 AY:0.095 AZ:-0.963 | GX:0.489 GY:0.336 GZ:2.290 | T:25.05 C
I (439815) mpu6050 stream: AX:-0.092 AY:0.094 AZ:-0.965 | GX:0.107 GY:0.458 GZ:2.229 | T:25.09 C
I (439825) mpu6050 stream: AX:-0.096 AY:0.094 AZ:-0.960 | GX:-0.061 GY:0.580 GZ:2.031 | T:25.09 C
I (439835) mpu6050 stream: AX:-0.089 AY:0.101 AZ:-0.964 | GX:-0.061 GY:0.489 GZ:2.061 | T:25.19 C
I (439845) mpu6050 stream: AX:-0.090 AY:0.098 AZ:-0.960 | GX:0.107 GY:1.160 GZ:2.000 | T:25.19 C
I (439855) mpu6050 stream: AX:-0.091 AY:0.094 AZ:-0.952 | GX:0.275 GY:0.794 GZ:1.832 | T:25.19 C
I (439865) mpu6050 stream: AX:-0.091 AY:0.092 AZ:-0.953 | GX:0.382 GY:0.748 GZ:1.634 | T:25.09 C
I (439875) mpu6050 stream: AX:-0.097 AY:0.093 AZ:-0.961 | GX:-0.015 GY:0.656 GZ:1.802 | T:25.09 C
I (439885) mpu6050 stream: AX:-0.091 AY:0.096 AZ:-0.956 | GX:-0.214 GY:0.794 GZ:1.481 | T:25.09 C
I (439895) mpu6050 stream: AX:-0.096 AY:0.095 AZ:-0.952 | GX:-0.565 GY:0.901 GZ:1.481 | T:25.19 C
I (439905) mpu6050 stream: AX:-0.089 AY:0.099 AZ:-0.947 | GX:-0.687 GY:0.580 GZ:1.420 | T:25.09 C
I (439915) mpu6050 stream: AX:-0.090 AY:0.098 AZ:-0.955 | GX:-0.809 GY:0.519 GZ:1.481 | T:25.19 C
I (439925) mpu6050 stream: AX:-0.085 AY:0.104 AZ:-0.951 | GX:-0.489 GY:0.580 GZ:1.374 | T:25.19 C
I (439935) mpu6050 stream: AX:-0.085 AY:0.099 AZ:-0.949 | GX:-0.168 GY:0.565 GZ:1.389 | T:25.09 C
I (439945) mpu6050 stream: AX:-0.091 AY:0.104 AZ:-0.956 | GX:0.061 GY:0.534 GZ:1.527 | T:25.19 C
I (439955) mpu6050 stream: AX:-0.088 AY:0.103 AZ:-0.949 | GX:0.260 GY:0.122 GZ:1.405 | T:25.09 C
I (439965) mpu6050 stream: AX:-0.085 AY:0.095 AZ:-0.951 | GX:0.092 GY:0.641 GZ:1.374 | T:25.19 C
I (439975) mpu6050 stream: AX:-0.082 AY:0.100 AZ:-0.958 | GX:-0.107 GY:-0.061 GZ:1.435 | T:25.19 C
I (439985) mpu6050 stream: AX:-0.092 AY:0.094 AZ:-0.952 | GX:-0.397 GY:-0.076 GZ:1.527 | T:25.19 C
I (439995) mpu6050 stream: AX:-0.092 AY:0.095 AZ:-0.952 | GX:-0.412 GY:0.107 GZ:1.466 | T:25.09 C
I (440005) mpu6050 stream: AX:-0.088 AY:0.094 AZ:-0.952 | GX:-0.275 GY:0.214 GZ:1.603 | T:25.09 C
I (440015) mpu6050 stream: AX:-0.090 AY:0.095 AZ:-0.965 | GX:-0.168 GY:0.656 GZ:1.420 | T:25.19 C
I (440025) mpu6050 stream: AX:-0.085 AY:0.094 AZ:-0.948 | GX:-0.076 GY:0.916 GZ:1.450 | T:25.19 C
I (440035) mpu6050 stream: AX:-0.085 AY:0.097 AZ:-0.959 | GX:-0.473 GY:0.779 GZ:1.374 | T:25.19 C
I (440045) mpu6050 stream: AX:-0.082 AY:0.104 AZ:-0.960 | GX:-0.855 GY:0.397 GZ:1.389 | T:25.19 C
I (440055) mpu6050 stream: AX:-0.077 AY:0.111 AZ:-0.954 | GX:-0.855 GY:0.290 GZ:1.115 | T:25.19 C
I (440065) mpu6050 stream: AX:-0.084 AY:0.111 AZ:-0.957 | GX:-0.092 GY:-0.382 GZ:1.160 | T:25.19 C
I (440075) mpu6050 stream: AX:-0.087 AY:0.106 AZ:-0.963 | GX:1.038 GY:-0.382 GZ:1.405 | T:25.19 C
I (440085) mpu6050 stream: AX:-0.094 AY:0.096 AZ:-0.951 | GX:1.939 GY:-0.092 GZ:1.756 | T:25.19 C
I (440095) mpu6050 stream: AX:-0.096 AY:0.090 AZ:-0.947 | GX:1.878 GY:-0.015 GZ:1.771 | T:25.19 C
I (440105) mpu6050 stream: AX:-0.092 AY:0.086 AZ:-0.949 | GX:1.237 GY:0.046 GZ:1.618 | T:25.09 C
I (440115) mpu6050 stream: AX:-0.091 AY:0.088 AZ:-0.949 | GX:0.000 GY:-0.244 GZ:1.435 | T:25.09 C
I (440125) mpu6050 stream: AX:-0.087 AY:0.090 AZ:-0.951 | GX:-1.160 GY:-0.382 GZ:1.389 | T:25.09 C
I (440135) mpu6050 stream: AX:-0.093 AY:0.095 AZ:-0.955 | GX:-1.756 GY:-0.550 GZ:1.420 | T:25.05 C
I (440145) mpu6050 stream: AX:-0.095 AY:0.099 AZ:-0.956 | GX:-1.588 GY:-0.885 GZ:1.405 | T:25.14 C
I (440155) mpu6050 stream: AX:-0.093 AY:0.104 AZ:-0.954 | GX:-1.038 GY:-0.580 GZ:1.542 | T:25.14 C
I (440165) mpu6050 stream: AX:-0.096 AY:0.103 AZ:-0.958 | GX:-0.183 GY:-0.550 GZ:1.511 | T:25.14 C
I (440175) mpu6050 stream: AX:-0.097 AY:0.098 AZ:-0.948 | GX:0.458 GY:-0.382 GZ:1.450 | T:25.14 C
I (440185) mpu6050 stream: AX:-0.096 AY:0.093 AZ:-0.956 | GX:0.443 GY:-0.489 GZ:1.389 | T:25.24 C
I (440195) mpu6050 stream: AX:-0.093 AY:0.094 AZ:-0.948 | GX:0.046 GY:-0.412 GZ:1.221 | T:25.05 C
I (440205) mpu6050 stream: AX:-0.094 AY:0.098 AZ:-0.955 | GX:-0.748 GY:-0.336 GZ:0.779 | T:25.14 C
I (440215) mpu6050 stream: AX:-0.095 AY:0.095 AZ:-0.952 | GX:-1.374 GY:-0.260 GZ:0.305 | T:25.14 C
I (440225) mpu6050 stream: AX:-0.093 AY:0.101 AZ:-0.953 | GX:-1.237 GY:-0.122 GZ:0.321 | T:25.14 C
I (440235) mpu6050 stream: AX:-0.086 AY:0.103 AZ:-0.954 | GX:-0.229 GY:-0.382 GZ:0.031 | T:25.14 C
I (440245) mpu6050 stream: AX:-0.103 AY:0.109 AZ:-0.962 | GX:0.458 GY:-0.336 GZ:0.015 | T:25.14 C
I (440255) mpu6050 stream: AX:-0.087 AY:0.101 AZ:-0.959 | GX:0.733 GY:-0.244 GZ:0.260 | T:25.14 C
I (440265) mpu6050 stream: AX:-0.094 AY:0.106 AZ:-0.960 | GX:0.672 GY:-0.366 GZ:0.260 | T:25.05 C
I (440275) mpu6050 stream: AX:-0.089 AY:0.105 AZ:-0.964 | GX:0.046 GY:-0.580 GZ:0.458 | T:25.14 C
I (440285) mpu6050 stream: AX:-0.090 AY:0.111 AZ:-0.948 | GX:-0.214 GY:-0.550 GZ:0.473 | T:25.14 C
I (440295) mpu6050 stream: AX:-0.099 AY:0.114 AZ:-0.951 | GX:0.321 GY:-0.840 GZ:1.023 | T:25.14 C
I (440305) mpu6050 stream: AX:-0.104 AY:0.105 AZ:-0.956 | GX:1.115 GY:-0.580 GZ:1.725 | T:25.05 C
I (440315) mpu6050 stream: AX:-0.104 AY:0.103 AZ:-0.964 | GX:1.710 GY:-0.366 GZ:1.802 | T:25.14 C
I (440325) mpu6050 stream: AX:-0.096 AY:0.098 AZ:-0.968 | GX:1.771 GY:-0.122 GZ:2.198 | T:25.14 C
I (440335) mpu6050 stream: AX:-0.099 AY:0.093 AZ:-0.954 | GX:1.130 GY:0.153 GZ:2.153 | T:25.24 C
I (440345) mpu6050 stream: AX:-0.098 AY:0.096 AZ:-0.958 | GX:0.046 GY:0.076 GZ:2.229 | T:25.14 C
I (440355) mpu6050 stream: AX:-0.093 AY:0.094 AZ:-0.953 | GX:-0.565 GY:-0.366 GZ:2.229 | T:25.19 C
I (440365) mpu6050 stream: AX:-0.094 AY:0.094 AZ:-0.946 | GX:-0.809 GY:-0.458 GZ:2.336 | T:25.19 C
I (440375) mpu6050 stream: AX:-0.095 AY:0.103 AZ:-0.952 | GX:-0.260 GY:-0.565 GZ:2.137 | T:25.09 C
I (440385) mpu6050 stream: AX:-0.099 AY:0.095 AZ:-0.954 | GX:0.244 GY:-0.229 GZ:2.198 | T:25.19 C
I (440395) mpu6050 stream: AX:-0.097 AY:0.090 AZ:-0.948 | GX:0.779 GY:-0.122 GZ:2.305 | T:25.19 C
I (440405) mpu6050 stream: AX:-0.098 AY:0.094 AZ:-0.961 | GX:1.053 GY:0.183 GZ:2.031 | T:25.28 C
I (440415) mpu6050 stream: AX:-0.096 AY:0.100 AZ:-0.958 | GX:0.840 GY:0.366 GZ:2.107 | T:25.00 C
I (440425) mpu6050 stream: AX:-0.095 AY:0.091 AZ:-0.951 | GX:0.443 GY:0.366 GZ:2.000 | T:25.09 C
I (440435) mpu6050 stream: AX:-0.098 AY:0.098 AZ:-0.959 | GX:0.198 GY:0.214 GZ:1.649 | T:25.19 C
I (440445) mpu6050 stream: AX:-0.093 AY:0.090 AZ:-0.945 | GX:0.183 GY:0.137 GZ:1.374 | T:25.19 C
I (440455) mpu6050 stream: AX:-0.092 AY:0.094 AZ:-0.954 | GX:0.061 GY:0.107 GZ:1.405 | T:25.09 C
I (440465) mpu6050 stream: AX:-0.094 AY:0.098 AZ:-0.950 | GX:0.321 GY:0.061 GZ:1.313 | T:25.19 C
I (440475) mpu6050 stream: AX:-0.092 AY:0.099 AZ:-0.961 | GX:0.351 GY:0.214 GZ:1.435 | T:25.09 C
I (440485) mpu6050 stream: AX:-0.095 AY:0.093 AZ:-0.955 | GX:0.580 GY:0.046 GZ:1.557 | T:25.09 C
