I (562635) mpu6050 stream: AX:-0.074 AY:0.140 AZ:-0.956 | GX:-4.595 GY:-5.878 GZ:-6.641 | T:25.00 C
I (562645) mpu6050 stream: AX:-0.073 AY:0.146 AZ:-0.946 | GX:-3.771 GY:-5.527 GZ:-6.153 | T:25.00 C
I (562655) mpu6050 stream: AX:-0.085 AY:0.145 AZ:-0.950 | GX:-2.641 GY:-5.466 GZ:-5.496 | T:24.91 C
I (562665) mpu6050 stream: AX:-0.083 AY:0.144 AZ:-0.952 | GX:-2.336 GY:-5.786 GZ:-4.901 | T:25.00 C
I (562675) mpu6050 stream: AX:-0.085 AY:0.142 AZ:-0.953 | GX:-0.870 GY:-5.298 GZ:-4.214 | T:25.05 C
I (562685) mpu6050 stream: AX:-0.090 AY:0.137 AZ:-0.968 | GX:-1.206 GY:-4.656 GZ:-3.847 | T:24.95 C
I (562695) mpu6050 stream: AX:-0.085 AY:0.132 AZ:-0.974 | GX:-1.908 GY:-4.153 GZ:-3.282 | T:25.05 C
I (562705) mpu6050 stream: AX:-0.092 AY:0.139 AZ:-0.966 | GX:-2.473 GY:-3.695 GZ:-3.053 | T:25.05 C
I (562715) mpu6050 stream: AX:-0.081 AY:0.137 AZ:-0.965 | GX:-2.382 GY:-2.947 GZ:-2.489 | T:25.05 C
I (562725) mpu6050 stream: AX:-0.077 AY:0.135 AZ:-0.966 | GX:-1.679 GY:-2.275 GZ:-2.107 | T:25.05 C
I (562735) mpu6050 stream: AX:-0.086 AY:0.132 AZ:-0.976 | GX:-1.252 GY:-1.237 GZ:-1.618 | T:24.95 C
I (562745) mpu6050 stream: AX:-0.079 AY:0.122 AZ:-0.975 | GX:-0.931 GY:-0.473 GZ:-1.160 | T:24.95 C
I (562755) mpu6050 stream: AX:-0.066 AY:0.125 AZ:-0.981 | GX:-1.099 GY:0.366 GZ:-1.023 | T:24.95 C
I (562765) mpu6050 stream: AX:-0.067 AY:0.127 AZ:-0.976 | GX:-1.252 GY:0.931 GZ:-0.733 | T:24.95 C
I (562775) mpu6050 stream: AX:-0.061 AY:0.134 AZ:-0.967 | GX:-1.099 GY:0.794 GZ:-0.595 | T:24.95 C
I (562785) mpu6050 stream: AX:-0.073 AY:0.133 AZ:-0.950 | GX:-0.137 GY:0.824 GZ:0.061 | T:24.95 C
I (562795) mpu6050 stream: AX:-0.065 AY:0.126 AZ:-0.959 | GX:0.595 GY:0.885 GZ:0.473 | T:24.95 C
I (562805) mpu6050 stream: AX:-0.069 AY:0.119 AZ:-0.967 | GX:0.992 GY:1.420 GZ:0.733 | T:25.05 C
I (562815) mpu6050 stream:2 GY:0.153 GZ:1.802 | T:25.00 C
I (563075) mpu6050 stream: AX:-0.055 AY:0.097 AZ:-0.956 | GX:-1.359 GY:-0.046 GZ:1.649 | T:25.00 C
I (563085) mpu6050 stream: AX:-0.063 AY:0.104 AZ:-0.952 | GX:-1.603 GY:-0.214 GZ:1.298 | T:24.91 C
I (563095) mpu6050 stream: AX:-0.057 AY:0.105 AZ:-0.956 | GX:-1.939 GY:-0.260 GZ:1.237 | T:24.91 C
I (563105) mpu6050 stream: AX:-0.060 AY:0.111 AZ:-0.952 | GX:-1.908 GY:-0.519 GZ:1.160 | T:24.91 C
I (563115) mpu6050 stream: AX:-0.062 AY:0.117 AZ:-0.958 | GX:-1.954 GY:-0.977 GZ:1.221 | T:25.00 C
I (563125) mpu6050 stream: AX:-0.063 AY:0.121 AZ:-0.962 | GX:-2.031 GY:-0.382 GZ:1.557 | T:24.91 C
I (563135) mpu6050 stream: AX:-0.058 AY:0.122 AZ:-0.967 | GX:-1.496 GY:-0.153 GZ:1.695 | T:25.00 C
I (563145) mpu6050 stream: AX:-0.057 AY:0.116 AZ:-0.969 | GX:-0.947 GY:0.214 GZ:1.695 | T:25.00 C
I (563155) mpu6050 stream: AX:-0.059 AY:0.119 AZ:-0.964 | GX:-0.702 GY:0.763 GZ:2.107 | T:25.00 C
I (563165) mpu6050 stream: AX:-0.056 AY:0.113 AZ:-0.964 | GX:-1.130 GY:1.115 GZ:2.000 | T:25.00 C
I (563175) mpu6050 stream: AX:-0.048 AY:0.112 AZ:-0.976 | GX:-1.511 GY:1.511 GZ:2.153 | T:25.00 C
I (563185) mpu6050 stream: AX:-0.053 AY:0.113 AZ:-0.966 | GX:-2.061 GY:1.466 GZ:2.000 | T:25.00 C
I (563195) mpu6050 stream: AX:-0.050 AY:0.126 AZ:-0.953 | GX:-2.046 GY:0.962 GZ:1.832 | T:25.00 C
I (563205) mpu6050 stream: AX:-0.044 AY:0.122 AZ:-0.928 | GX:-0.916 GY:0.962 GZ:1.863 | T:24.91 C
I (563215) mpu6050 stream: AX:-0.047 AY:0.119 AZ:-0.932 | GX:0.580 GY:-0.015 GZ:1.908 | T:24.81 C
I (563225) mpu6050 stream: AX:-0.053 AY:0.112 AZ:-0.940 | GX:1.191 GY:-0.794 GZ:1.832 | T:25.00 C
