I (598665) mpu6050 stream: AX:-0.006 AY:0.102 AZ:-0.975 | GX:0.046 GY:0.046 GZ:-0.168 | T:24.91 C
I (598675) mpu6050 stream: AX:-0.014 AY:0.092 AZ:-0.973 | GX:-0.458 GY:0.229 GZ:0.183 | T:25.00 C
I (598685) mpu6050 stream: AX:-0.006 AY:0.105 AZ:-0.964 | GX:-1.069 GY:0.183 GZ:0.137 | T:24.91 C
I (598695) mpu6050 stream: AX:-0.005 AY:0.103 AZ:-0.953 | GX:-0.763 GY:0.092 GZ:0.107 | T:25.00 C
I (598705) mpu6050 stream: AX:-0.005 AY:0.115 AZ:-0.958 | GX:-0.382 GY:-0.214 GZ:0.489 | T:24.91 C
I (598715) mpu6050 stream: AX:-0.012 AY:0.110 AZ:-0.953 | GX:-0.092 GY:-0.382 GZ:1.084 | T:24.91 C
I (598725) mpu6050 stream: AX:-0.013 AY:0.104 AZ:-0.960 | GX:0.351 GY:0.000 GZ:1.679 | T:25.00 C
I (598735) mpu6050 stream: AX:-0.014 AY:0.104 AZ:-0.962 | GX:0.092 GY:0.092 GZ:1.985 | T:25.00 C
I (598745) mpu6050 stream: AX:-0.013 AY:0.106 AZ:-0.970 | GX:0.000 GY:0.351 GZ:2.061 | T:24.91 C
I (598755) mpu6050 stream: AX:-0.005 AY:0.099 AZ:-0.960 | GX:-0.550 GY:0.519 GZ:2.229 | T:24.91 C
I (598765) mpu6050 stream: AX:-0.011 AY:0.106 AZ:-0.949 | GX:-0.916 GY:0.550 GZ:2.290 | T:25.00 C
I (598775) mpu6050 stream: AX:-0.007 AY:0.114 AZ:-0.966 | GX:-0.458 GY:0.641 GZ:2.397 | T:25.00 C
I (598785) mpu6050 stream: AX:-0.010 AY:0.110 AZ:-0.958 | GX:-0.046 GY:0.687 GZ:2.702 | T:24.91 C
I (598795) mpu6050 stream: AX:-0.010 AY:0.102 AZ:-0.955 | GX:0.718 GY:0.733 GZ:2.718 | T:25.00 C
I (598805) mpu6050 stream: AX:-0.005 AY:0.108 AZ:-0.959 | GX:1.649 GY:1.084 GZ:2.489 | T:24.91 C
I (598815) mpu6050 stream: AX:-0.005 AY:0.093 AZ:-0.958 | GX:1.939 GY:0.901 GZ:2.595 | T:24.91 C
I (598825) mpu6050 stream: AX:-0.007 AY:0.097 AZ:-0.956 | GX:1.756 GY:0.901 GZ:2.260 | T:24.91 C
I (598835) mpu6050 stream: AX:-0.004 AY:0.085 AZ:-0.953 | GX:1.496 GY:0.931 GZ:2.061 | T:25.00 C
I (598845) mpu6050 stream: AX:-0.009 AY:0.090 AZ:-0.962 | GX:1.084 GY:0.733 GZ:1.802 | T:24.86 C
I (598855) mpu6050 stream: AX:-0.004 AY:0.089 AZ:-0.961 | GX:0.702 GY:0.687 GZ:1.771 | T:24.95 C
I (598865) mpu6050 stream: AX:-0.004 AY:0.090 AZ:-0.953 | GX:0.382 GY:0.794 GZ:1.771 | T:24.86 C
I (598875) mpu6050 stream: AX:-0.009 AY:0.093 AZ:-0.964 | GX:0.611 GY:1.267 GZ:1.557 | T:24.86 C
I (598885) mpu6050 stream: AX:-0.004 AY:0.095 AZ:-0.964 | GX:0.519 GY:1.206 GZ:1.588 | T:24.86 C
I (598895) mpu6050 stream: AX:-0.003 AY:0.090 AZ:-0.953 | GX:0.611 GY:1.038 GZ:1.634 | T:24.95 C
I (598905) mpu6050 stream: AX:0.000 AY:0.095 AZ:-0.957 | GX:0.412 GY:0.947 GZ:1.557 | T:24.95 C
I (598915) mpu6050 stream: AX:-0.000 AY:0.09) mpu6050 stream: AX:-0.006 AY:0.099 AZ:-0.956 | GX:-0.076 GY:0.519 GZ:1.405 | T:24.91 C
I (599155) mpu6050 stream: AX:-0.008 AY:0.091 AZ:-0.966 | GX:0.015 GY:0.611 GZ:1.374 | T:25.00 C
I (599165) mpu6050 stream: AX:0.001 AY:0.097 AZ:-0.959 | GX:-0.168 GY:0.656 GZ:1.282 | T:24.95 C
I (599175) mpu6050 stream: AX:-0.005 AY:0.104 AZ:-0.966 | GX:-0.137 GY:0.702 GZ:1.435 | T:24.95 C
I (599185) mpu6050 stream: AX:-0.001 AY:0.101 AZ:-0.962 | GX:0.046 GY:0.885 GZ:1.496 | T:24.95 C
I (599195) mpu6050 stream: AX:-0.000 AY:0.098 AZ:-0.957 | GX:0.275 GY:0.595 GZ:1.542 | T:24.95 C
I (599205) mpu6050 stream: AX:0.002 AY:0.097 AZ:-0.957 | GX:0.321 GY:0.519 GZ:1.420 | T:24.86 C
I (599215) mpu6050 stream: AX:0.003 AY:0.093 AZ:-0.959 | GX:0.305 GY:0.427 GZ:1.435 | T:24.95 C
I (599225) mpu6050 stream: AX:-0.002 AY:0.098 AZ:-0.958 | GX:0.061 GY:0.214 GZ:1.374 | T:24.95 C
I (599235) mpu6050 stream: AX:-0.000 AY:0.096 AZ:-0.962 | GX:-0.183 GY:0.229 GZ:1.328 | T:25.05 C
I (599245) mpu6050 stream: AX:-0.002 AY:0.096 AZ:-0.955 | GX:-0.489 GY:0.198 GZ:1.542 | T:24.86 C
I (599255) mpu6050 stream: AX:-0.008 AY:0.093 AZ:-0.954 | GX:-0.321 GY:0.076 GZ:1.282 | T:24.95 C
I (599265) mpu6050 stream: AX:-0.004 AY:0.093 AZ:-0.949 | GX:-0.092 GY:0.214 GZ:1.252 | T:24.86 C
I (599275) mpu6050 stream: AX:0.002 AY:0.093 AZ:-0.954 | GX:-0.031 GY:0.489 GZ:1.176 | T:24.95 C
I (599285) mpu6050 stream: AX:0.002 AY:0.088 AZ:-0.956 | GX:-0.290 GY:0.321 GZ:0.947 | T:25.05 C
I (599295) mpu6050 stream: AX:0.006 AY:0.095 AZ:-0.952 | GX:-0.870 GY:-0.061 GZ:0.809 | T:24.91 C
