I (207355) mpu6050 stream: AX:-0.160 AY:0.098 AZ:-0.936 | GX:-0.901 GY:0.183 GZ:0.748 | T:25.14 C
I (207365) mpu6050 stream: AX:-0.155 AY:0.108 AZ:-0.945 | GX:-0.840 GY:0.336 GZ:0.779 | T:25.24 C
I (207375) mpu6050 stream: AX:-0.156 AY:0.113 AZ:-0.936 | GX:-0.397 GY:0.229 GZ:0.840 | T:25.24 C
I (207385) mpu6050 stream: AX:-0.153 AY:0.111 AZ:-0.942 | GX:0.229 GY:-0.061 GZ:1.130 | T:25.24 C
I (207395) mpu6050 stream: AX:-0.156 AY:0.112 AZ:-0.950 | GX:0.611 GY:-0.275 GZ:1.282 | T:25.24 C
I (207405) mpu6050 stream: AX:-0.159 AY:0.109 AZ:-0.939 | GX:0.885 GY:-0.458 GZ:1.221 | T:25.24 C
I (207415) mpu6050 stream: AX:-0.161 AY:0.099 AZ:-0.945 | GX:0.580 GY:-0.366 GZ:1.420 | T:25.33 C
I (207425) mpu6050 stream: AX:-0.163 AY:0.102 AZ:-0.946 | GX:0.473 GY:-0.168 GZ:1.573 | T:25.14 C
I (207435) mpu6050 stream: AX:-0.158 AY:0.094 AZ:-0.952 | GX:0.000 GY:-0.031 GZ:1.588 | T:25.24 C
I (207445) mpu6050 stream: AX:-0.164 AY:0.103 AZ:-0.941 | GX:0.015 GY:-0.046 GZ:1.756 | T:25.14 C
I (207455) mpu6050 stream: AX:-0.166 AY:0.098 AZ:-0.944 | GX:0.183 GY:0.275 GZ:1.664 | T:25.24 C
I (207465) mpu6050 stream: AX:-0.163 AY:0.100 AZ:-0.948 | GX:0.473 GY:0.412 GZ:1.786 | T:25.24 C
I (207475) mpu6050 stream: AX:-0.158 AY:0.097 AZ:-0.946 | GX:0.779 GY:0.595 GZ:1.893 | T:25.14 C
I (207485) mpu6050 stream: AX:-0.161 AY:0.095 AZ:-0.944 | GX:0.641 GY:0.656 GZ:1.817 | T:25.24 C
I (207495) mpu6050 stream: AX:-0.162 AY:0.094 AZ:-0.938 | GX:0.427 GY:0.489 GZ:1.802 | T:25.14 C
I (207505) mpu6050 stream: AX:-0.156 AY:0.098 AZ:-0.944 | GX:0.183 GY:-0.061 GZ:1.557 | T:25.24 C
I (207515) mpu6050 stream: AX:-0.159 AY:0.097 AZ:-0.938 | GX:0.000 GY:-0.046 GZ:1.557 | T:25.14 C
I (207525) mpu6050 stream: AX:-0.159 AY:0.098 AZ:-0.935 | GX:-0.260 GY:-0.244 GZ:1.527 | T:25.24 C
I (207535) mpu6050 stream: AX:-0.160 AY:0.098 AZ:-0.944 | GX:-0.366 GY:-0.122 GZ:1.603 | T:25.24 C
I (207545) mpu6050 stream: AX:-0.161 AY:0.098 AZ:-0.947 | GX:-0.229 GY:-0.275 GZ:1.527 | T:25.24 C
I (207555) mpu6050 stream: AX:-0.157 AY:0.094 AZ:-0.953 | GX:-0.473 GY:-0.015 GZ:1.618 | T:25.24 C
I (207565) mpu6050 stream: AX:-0.162 AY:0.093 AZ:-0.939 | GX:-0.565 GY:0.366 GZ:1.359 | T:25.24 C
I (207575) mpu6050 stream: AX:-0.163 AY:0.096 AZ:-0.956 | GX:-0.580 GY:0.244 GZ:1.603 | T:25.24 C
I (207585) mpu6050 stream: AX:-0.156 AY:0.094 AZ:-0.938 | GX:-0.626 GY:0.519 GZ:1.282 | T:25.24 C
I (207595) mpu6050 stream: AX:-0.154 AY:0.098 AZ:-0.937 | GX:-0.672 GY:0.824 GZ:1.176 | T:25.24 C
I (207605) mpu6050 stream: AX:-0.149 AY:0.099 AZ:-0.937 | GX:-0.290 GY:0.611 GZ:0.885 | T:25.24 C
I (207615) mpu6050 stream: AX:-0.150 AY:0.100 AZ:-0.927 | GX:-0.427 GY:0.046 GZ:0.641 | T:25.24 C
I (207625) mpu6050 stream: AX:-0.149 AY:0.102 AZ:-0.944 | GX:-0.641 GY:-0.534 GZ:0.580 | T:25.24 C
I (207635) mpu6050 stream: AX:-0.159 AY:0.103 AZ:-0.948 | GX:-0.733 GY:-0.672 GZ:0.427 | T:25.28 C
I (207645) mpu6050 stream: AX:-0.161 AY:0.097 AZ:-0.934 | GX:-0.687 GY:-0.931 GZ:0.336 | T:25.19 C
I (207655) mpu6050 stream: AX:-0.162 AY:0.103 AZ:-0.954 | GX:-0.641 GY:-1.221 GZ:0.107 | T:25.19 C
I (207665) mpu6050 stream: AX:-0.161 AY:0.099 AZ:-0.952 | GX:-0.672 GY:-0.855 GZ:0.290 | T:25.28 C
I (207675) mpu6050 stream: AX:-0.168 AY:0.100 AZ:-0.954 | GX:-0.519 GY:-0.244 GZ:0.153 | T:25.19 C
I (207685) mpu6050 stream: AX:-0.154 AY:0.107 AZ:-0.947 | GX:-0.443 GY:-0.168 GZ:0.412 | T:25.19 C
I (207695) mpu6050 stream: AX:-0.165 AY:0.103 AZ:-0.957 | GX:-0.336 GY:0.061 GZ:0.504 | T:25.28 C
I (207705) mpu6050 stream: AX:-0.160 AY:0.107 AZ:-0.944 | GX:0.000 GY:-0.122 GZ:0.458 | T:25.19 C
I (207715) mpu6050 stream: AX:-0.161 AY:0.107 AZ:-0.937 | GX:-0.168 GY:-0.061 GZ:0.550 | T:25.19 C
I (207725) mpu6050 stream: AX:-0.164 AY:0.104 AZ:-0.948 | GX:-0.229 GY:-0.290 GZ:0.595 | T:25.28 C
I (207735) mpu6050 stream: AX:-0.158 AY:0.113 AZ:-0.945 | GX:-0.366 GY:-0.275 GZ:0.580 | T:25.19 C
I (207745) mpu6050 stream: AX:-0.160 AY:0.108 AZ:-0.943 | GX:0.153 GY:-0.214 GZ:0.504 | T:25.19 C
I (207755) mpu6050 stream: AX:-0.160 AY:0.107 AZ:-0.949 | GX:0.198 GY:-0.366 GZ:0.687 | T:25.19 C
I (207765) mpu6050 stream: AX:-0.170 AY:0.107 AZ:-0.938 | GX:0.412 GY:-0.046 GZ:0.855 | T:25.19 C
I (207775) mpu6050 stream: AX:-0.168 AY:0.107 AZ:-0.950 | GX:0.473 GY:-0.031 GZ:0.779 | T:25.19 C
I (207785) mpu6050 stream: AX:-0.161 AY:0.094 AZ:-0.958 | GX:0.427 GY:0.015 GZ:0.947 | T:25.28 C
I (207795) mpu6050 stream: AX:-0.160 AY:0.105 AZ:-0.949 | GX:0.290 GY:0.321 GZ:1.084 | T:25.19 C
I (207805) mpu6050 stream: AX:-0.159 AY:0.103 AZ:-0.948 | GX:0.092 GY:0.595 GZ:1.221 | T:25.19 C
I (207815) mpu6050 stream: AX:-0.158 AY:0.102 AZ:-0.951 | GX:0.305 GY:0.809 GZ:1.115 | T:25.28 C
I (207825) mpu6050 stream: AX:-0.157 AY:0.099 AZ:-0.934 | GX:0.427 GY:0.641 GZ:1.221 | T:25.19 C
I (207835) mpu6050 stream: AX:-0.150 AY:0.095 AZ:-0.939 | GX:0.397 GY:0.504 GZ:1.053 | T:25.19 C
I (207845) mpu6050 stream: AX:-0.160 AY:0.094 AZ:-0.941 | GX:0.107 GY:0.992 GZ:1.038 | T:25.19 C
I (207855) mpu6050 stream: AX:-0.148 AY:0.091 AZ:-0.936 | GX:-0.092 GY:0.718 GZ:0.794 | T:25.19 C
I (207865) mpu6050 stream: AX:-0.149 AY:0.091 AZ:-0.942 | GX:-0.855 GY:0.229 GZ:0.534 | T:25.28 C
