I (640755) mpu6050 stream: AX:-0.012 AY:0.096 AZ:-0.964 | GX:0.260 GY:0.351 GZ:0.214 | T:25.00 C
I (640765) mpu6050 stream: AX:-0.006 AY:0.093 AZ:-0.963 | GX:-0.092 GY:0.458 GZ:0.366 | T:25.00 C
I (640775) mpu6050 stream: AX:-0.011 AY:0.100 AZ:-0.959 | GX:-0.092 GY:-0.015 GZ:0.565 | T:25.00 C
I (640785) mpu6050 stream: AX:-0.014 AY:0.100 AZ:-0.948 | GX:0.198 GY:-0.641 GZ:0.763 | T:24.91 C
I (640795) mpu6050 stream: AX:-0.008 AY:0.098 AZ:-0.953 | GX:0.412 GY:-0.550 GZ:1.176 | T:25.00 C
I (640805) mpu6050 stream: AX:-0.008 AY:0.095 AZ:-0.965 | GX:0.809 GY:-0.168 GZ:1.802 | T:25.00 C
I (640815) mpu6050 stream: AX:-0.016 AY:0.094 AZ:-0.965 | GX:0.916 GY:-0.046 GZ:2.015 | T:25.00 C
I (640825) mpu6050 stream: AX:-0.014 AY:0.094 AZ:-0.968 | GX:0.779 GY:0.275 GZ:2.229 | T:25.00 C
I (640835) mpu6050 stream: AX:-0.010 AY:0.087 AZ:-0.961 | GX:0.550 GY:0.183 GZ:2.244 | T:25.09 C
I (640845) mpu6050 stream: AX:-0.010 AY:0.096 AZ:-0.951 | GX:-0.061 GY:0.198 GZ:2.000 | T:25.00 C
I (640855) mpu6050 stream: AX:-0.010 AY:0.090 AZ:-0.963 | GX:-0.107 GY:0.122 GZ:2.107 | T:24.95 C
I (640865) mpu6050 stream: AX:-0.011 AY:0.097 AZ:-0.966 | GX:-0.198 GY:0.031 GZ:2.107 | T:24.95 C
I (640875) mpu6050 stream: AX:-0.004 AY:0.087 AZ:-0.956 | GX:0.046 GY:-0.015 GZ:2.198 | T:25.05 C
I (640885) mpu6050 stream: AX:-0.005 AY:0.089 AZ:-0.962 | GX:0.489 GY:-0.244 GZ:1.985 | T:24.95 C
I (640895) mpu6050 stream: AX:-0.010 AY:0.083 AZ:-0.956 | GX:0.992 GY:0.061 GZ:1.954 | T:24.95 C
I (640905) mpu6050 stream: AX:-0.008 AY:0.088 AZ:-0.961 | GX:0.947 GY:0.183 GZ:1.695 | T:24.95 C
I (640915) mpu6050 stream: AX:-0.012 AY:0.082 AZ:-0.967 | GX:0.870 GY:0.397 GZ:1.542 | T:25.05 C
I (640925) mpu6050 stream: AX:-0.010 AY:0.081 AZ:-0.954 | GX:0.489 GY:0.336 GZ:1.450 | T:24.95 C
I (640935) mpu6050 stream: AX:-0.014 AY:0.083 AZ:-0.958 | GX:0.321 GY:0.153 GZ:1.099 | T:24.95 C
I (640945) mpu6050 stream: AX:-0.006 AY:0.083 AZ:-0.965 | GX:0.061 GY:0.000 GZ:1.084 | T:25.05 C
I (640955) mpu6050 stream: AX:-0.013 AY:0.088 AZ:-0.958 | GX:-0.244 GY:0.153 GZ:0.992 | T:24.95 C
I (640965) mpu6050 stream: AX:-0.015 AY:0.088 AZ:-0.964 | GX:-0.122 GY:0.519 GZ:1.084 | T:24.95 C
I (640975) mpu6050 stream: AX:-0.014 AY:0.087 AZ:-0.973 | GX:-0.031 GY:0.718 GZ:1.145 | T:24.95 C
I (640985) mpu6050 stream: AX:-0.013 AY:0.087 AZ:-0.966 | GX:0.015 GY:0.824 GZ:1.053 | T:25.05 C
I (640995) mpu6050 stream: AX:-0.006 AY:0.090 AZ:-0.963 | GX:0.092 GY:0.977 GZ:1.053 | T:25.05 C
I (641005) mpu6050 stream: AX:-0.014 AY:0.091 AZ:-0.960 | GX:-0.107 GY:1.389 GZ:1.313 | T:24.95 C
I (641015) mpu6050 stream: AX:-0.004 AY:0.087 AZ:-0.958 | GX:-0.107 GY:1.344 GZ:1.069 | T:24.95 C
I (641025) mpu6050 stre:0.565 GZ:1.115 | T:25.05 C
