I (541775) mpu6050 stream: AX:-0.099 AY:0.116 AZ:-0.970 | GX:0.611 GY:-2.290 GZ:-0.031 | T:25.00 C
I (541785) mpu6050 stream: AX:-0.103 AY:0.109 AZ:-0.971 | GX:0.519 GY:-1.435 GZ:0.351 | T:25.00 C
I (541795) mpu6050 stream: AX:-0.107 AY:0.110 AZ:-0.962 | GX:0.626 GY:-0.382 GZ:0.443 | T:25.00 C
I (541805) mpu6050 stream: AX:-0.099 AY:0.108 AZ:-0.947 | GX:0.763 GY:0.061 GZ:0.580 | T:25.00 C
I (541815) mpu6050 stream: AX:-0.099 AY:0.102 AZ:-0.949 | GX:0.962 GY:-0.305 GZ:0.550 | T:24.91 C
I (541825) mpu6050 stream: AX:-0.095 AY:0.102 AZ:-0.945 | GX:0.779 GY:0.046 GZ:0.427 | T:25.00 C
I (541835) mpu6050 stream: AX:-0.097 AY:0.096 AZ:-0.936 | GX:0.733 GY:-0.626 GZ:0.336 | T:25.00 C
I (541845) mpu6050 stream: AX:-0.098 AY:0.092 AZ:-0.953 | GX:0.336 GY:-1.771 GZ:-0.092 | T:24.91 C
I (541855) mpu6050 stream: AX:-0.112 AY:0.091 AZ:-0.963 | GX:-0.656 GY:-0.794 GZ:-0.153 | T:25.09 C
I (541865) mpu6050 stream: AX:-0.104 AY:0.100 AZ:-0.962 | GX:-1.282 GY:-0.076 GZ:-0.153 | T:24.91 C
I (541875) mpu6050 stream: AX:-0.106 AY:0.105 AZ:-0.962 | GX:-0.931 GY:0.122 GZ:-0.336 | T:25.09 C
I (541885) mpu6050 stream: AX:-0.103 AY:0.109 AZ:-0.960 | GX:0.153 GY:0.565 GZ:-0.351 | T:25.00 C
I (541895) mpu6050 stream: AX:-0.103 AY:0.100 AZ:-0.962 | GX:1.160 GY:1.359 GZ:-0.168 | T:25.00 C
I (541905) mpu6050 stream: AX:-0.099 AY:0.094 AZ:-0.956 | GX:1.557 GY:1.740 GZ:-0.153 | T:25.00 C
I (541915) mpu6050 stream: AX:-0.089 AY:0.096 AZ:-0.958 | GX:0.931 GY:1.389 GZ:-0.290 | T:25.00 C
I (541925) mpu6050 stream: AX:-0.098 AY:0.094 AZ:-0.947 | GX:-0.321 GY:0.382 GZ:-0.198 | T:25.09 C
I (541935) mpu6050 stream: AX:-0.094 AY:0.091 AZ:-0.948 | GX:-1.954 GY:-0.275 GZ:-0.458 | T:25.00 C
I (541945) mpu6050 stream: AX:-0.098 AY:0.102 AZ:-0.949 | GX:-3.008 GY:-1.084 GZ:-0.672 | T:25.00 C
I (541955) mpu6050 stream: AX:-0.107 AY:0.115 AZ:-0.959 | GX:-3.038 GY:-1.176 GZ:-0.412 | T:25.00 C
I (541965) mpu6050 stream: AX:-0.104 AY:0.123 AZ:-0.954 | GX:-1.863 GY:-0.611 GZ:-0.076 | T:25.00 C
I (541975) mpu6050 stream: AX:-0.112 AY:0.123 AZ:-0.956 | GX:-0.061 GY:-0.229 GZ:0.397 | T:24.95 C
I (541985) mpu6050 stream: AX:-0.100 AY:0.125 AZ:-0.962 | GX:1.450 GY:0.626 GZ:0.992 | T:24.95 C
I (541995) mpu6050 stream: AX:-0.103 AY:0.118 AZ:-0.958 | GX:2.214 GY:1.038 GZ:1.328 | T:24.95 C
I (542005) mpu6050 stream: AX:-0.101 AY:0.108 AZ:-0.955 | GX:2.076 GY:1.252 GZ:1.756 | T:25.05 C
I (542015) mpu6050 stream: AX:-0.091 AY:0.109 AZ:-0.931 | GX:2.534 GY:0.931 GZ:2.061 | T:24.95 C
I (542025) mpu6050 stream: AX:-0.093 AY:0.105 AZ:-0.953 | GX:1.802 GY:0.198 GZ:2.718 | T:25.05 C
I (542035) mpu6050 stream: AX:-0.101 AY:0.101 AZ:-0.957 | GX:0.794 GY:0.489 GZ:2.931 | T:24.95 C
I (542045) mpu6050 stream: AX:-0.092 AY:0.103 AZ:-0.941 | GX:-0.443 GY:0.168 GZ:3.389 | T:24.95 C
I (542055) mpu6050 stream: AX:-0.090 AY:0.101 AZ:-0.950 | GX:-0.916 GY:0.015 GZ:3.679 | T:24.95 C
I (542065) mpu6050 stream: AX:-0.095 AY:0.107 AZ:-0.954 | GX:-0.672 GY:-0.336 GZ:3.832 | T:24.95 C
I (542075) mpu6050 stream: AX:-0.096 AY:0.103 AZ:-0.961 | GX:-0.412 GY:0.366 GZ:4.015 | T:24.95 C
I (542085) mpu6050 stream: AX:-0.098 AY:0.106 AZ:-0.951 | GX:-0.031 GY:1.420 GZ:4.153 | T:24.86 C
I (542095) mpu6050 stream: AX:-0.082 AY:0.097 AZ:-0.953 | GX:-0.122 GY:1.466 GZ:4.183 | T:24.95 C
I (542105) mpu6050 stream: AX:-0.087 AY:0.092 AZ:-0.939 | GX:-0.397 GY:1.634 GZ:3.908 | T:25.05 C
I (542115) mpu6050 stream: AX:-0.076 AY:0.092 AZ:-0.933 | GX:-0.550 GY:1.038 GZ:3.542 | T:25.05 C
I (542125) mpu6050 stream: AX:-0.076 AY:0.095 AZ:-0.940 | GX:-1.053 GY:-0.687 GZ:2.931 | T:25.05 C
I (542135) mpu6050 stream: AX:-0.083 AY:0.097 AZ:-0.949 | GX:-1.634 GY:-1.313 GZ:2.504 | T:24.95 C
I (542145) mpu6050 stream: AX:-0.090 AY:0.102 AZ:-0.954 | GX:-1.908 GY:-1.710 GZ:2.290 | T:24.86 C
I (542155) mpu6050 stream: AX:-0.093 AY:0.105 AZ:-0.965 | GX:-1.878 GY:-1.511 GZ:1.893 | T:24.95 C
I (542165) mpu6050 stream: AX:-0.087 AY:0.112 AZ:-0.977 | GX:-1.527 GY:-0.763 GZ:1.908 | T:25.05 C
I (542175) mpu6050 stream: AX:-0.092 AY:0.113 AZ:-0.978 | GX:-1.084 GY:0.336 GZ:1.527 | T:24.86 C
I (542185) mpu6050 stream: AX:-0.086 AY:0.120 AZ:-0.970 | GX:-0.427 GY:1.191 GZ:1.435 | T:25.05 C
I (542195) mpu6050 stream: AX:-0.089 AY:0.112 AZ:-0.965 | GX:0.153 GY:1.634 GZ:1.359 | T:24.95 C
I (542205) mpu6050 stream: AX:-0.085 AY:0.112 AZ:-0.956 | GX:0.580 GY:1.771 GZ:1.267 | T:25.05 C
I (542215) mpu6050 stream: AX:-0.075 AY:0.111 AZ:-0.941 | GX:1.053 GY:1.985 GZ:1.389 | T:24.95 C
I (542225) mpu6050 stream: AX:-0.083 AY:0.111 AZ:-0.937 | GX:1.176 GY:1.649 GZ:1.405 | T:25.05 C
I (542235) mpu6050 stream: AX:-0.072 AY:0.106 AZ:-0.927 | GX:0.718 GY:1.176 GZ:1.481 | T:25.05 C
I (542245) mpu6050 stream: AX:-0.077 AY:0.104 AZ:-0.923 | GX:0.351 GY:0.412 GZ:1.405 | T:24.95 C
I (542255) mpu6050 stream: AX:-0.075 AY:0.099 AZ:-0.932 | GX:-0.305 GY:-0.626 GZ:1.221 | T:25.05 C
I (542265) mpu6050 stream: AX:-0.086 AY:0.102 AZ:-0.945 | GX:-1.038 GY:-1.435 GZ:0.947 | T:24.95 C
I (542275) mpu6050 stream: AX:-0.079 AY:0.109 AZ:-0.951 | GX:-1.389 GY:-1.206 GZ:0.885 | T:24.95 C
I (542285) mpu6050 stream: AX:-0.089 AY:0.111 AZ:-0.935 | GX:-1.084 GY:-1.588 GZ:0.748 | T:24.95 C
I (542295) mpu6050 stream: AX:-0.089 AY:0.115 AZ:-0.938 | GX:-0.183 GY:-2.183 GZ:0.947 | T:24.95 C
I (542305) mpu6050 stream: AX:-0.090 AY:0.114 AZ:-0.941 | GX:0.870 GY:-2.443 GZ:1.328 | T:25.05 C
I (542315) mpu6050 stream: AX:-0.088 AY:0.107 AZ:-0.938 | GX:1.527 GY:-3.313 GZ:1.374 | T:24.95 C
I (542325) mpu6050 stream: AX:-0.087 AY:0.108 AZ:-0.949 | GX:0.565 GY:-3.634 GZ:1.450 | T:24.95 C
I (542335) mpu6050 stream: AX:-0.094 AY:0.100 AZ:-0.949 | GX:-0.687 GY:-3.832 GZ:1.389 | T:24.95 C
I (542345) mpu6050 stream: AX:-0.102 AY:0.103 AZ:-0.943 | GX:-1.664 GY:-4.534 GZ:1.130 | T:24.95 C
I (542355) mpu6050 stream: AX:-0.102 AY:0.110 AZ:-0.952 | GX:-2.000 GY:-4.244 GZ:0.962 | T:25.05 C
I (542365) mpu6050 stream: AX:-0.117 AY:0.100 AZ:-0.956 | GX:-1.481 GY:-3.878 GZ:0.901 | T:24.95 C
I (542375) mpu6050 stream: AX:-0.118 AY:0.103 AZ:-0.955 | GX:-0.534 GY:-3.069 GZ:1.115 | T:25.05 C
I (542385) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.957 | GX:0.168 GY:-2.580 GZ:0.733 | T:24.95 C
I (542395) mpu6050 stream: AX:-0.109 AY:0.096 AZ:-0.955 | GX:0.229 GY:-2.855 GZ:0.275 | T:24.95 C
I (542405) mpu6050 stream: AX:-0.115 AY:0.097 AZ:-0.952 | GX:-0.229 GY:-2.870 GZ:-0.031 | T:24.95 C
I (542415) mpu6050 stream: AX:-0.114 AY:0.107 AZ:-0.954 | GX:-0.702 GY:-2.992 GZ:-0.122 | T:25.00 C
I (542425) mpu6050 stream: AX:-0.113 AY:0.104 AZ:-0.959 | GX:-0.656 GY:-2.840 GZ:-0.275 | T:25.00 C
I (542435) mpu6050 stream: AX:-0.115 AY:0.111 AZ:-0.954 | GX:-0.519 GY:-2.885 GZ:-0.092 | T:24.91 C
I (542445) mpu6050 stream: AX:-0.117 AY:0.117 AZ:-0.950 | GX:0.137 GY:-2.916 GZ:0.229 | T:25.00 C
I (542455) mpu6050 stream: AX:-0.119 AY:0.115 AZ:-0.946 | GX:0.779 GY:-2.763 GZ:0.336 | T:25.09 C
I (542465) mpu6050 stream: AX:-0.124 AY:0.112 AZ:-0.970 | GX:1.176 GY:-2.397 GZ:0.840 | T:24.91 C
I (542475) mpu6050 stream: AX:-0.130 AY:0.103 AZ:-0.974 | GX:0.870 GY:-1.557 GZ:0.962 | T:25.00 C
I (542485) mpu6050 stream: AX:-0.123 AY:0.104 AZ:-0.980 | GX:0.443 GY:-0.519 GZ:1.221 | T:24.91 C
I (542495) mpu6050 stream: AX:-0.121 AY:0.113 AZ:-0.973 | GX:0.122 GY:0.137 GZ:1.282 | T:25.00 C
I (542505) mpu6050 stream: AX:-0.125 AY:0.095 AZ:-0.960 | GX:0.473 GY:0.656 GZ:1.145 | T:25.09 C
I (542515) mpu6050 stream: AX:-0.115 AY:0.101 AZ:-0.955 | GX:0.763 GY:0.870 GZ:1.115 | T:25.00 C
I (542525) mpu6050 stream: AX:-0.116 AY:0.095 AZ:-0.953 | GX:1.115 GY:0.992 GZ:1.084 | T:25.00 C
I (542535) mpu6050 stream: AX:-0.112 AY:0.104 AZ:-0.944 | GX:0.748 GY:0.779 GZ:1.084 | T:25.00 C
I (542545) mpu6050 stream: AX:-0.114 AY:0.099 AZ:-0.933 | GX:0.336 GY:0.565 GZ:1.084 | T:25.00 C
I (542555) mpu6050 stream: AX:-0.112 AY:0.102 AZ:-0.927 | GX:-0.046 GY:-0.473 GZ:0.794 | T:24.91 C
I (542565) mpu6050 stream: AX:-0.117 AY:0.105 AZ:-0.946 | GX:-0.489 GY:-1.649 GZ:0.901 | T:25.00 C
I (542575) mpu6050 stream: AX:-0.120 AY:0.105 AZ:-0.952 | GX:-0.794 GY:-0.763 GZ:0.962 | T:25.00 C
I (542585) mpu6050 stream: AX:-0.125 AY:0.100 AZ:-0.959 | GX:-0.901 GY:0.489 GZ:1.023 | T:25.00 C
I (542595) mpu6050 stream: AX:-0.122 AY:0.100 AZ:-0.961 | GX:-0.229 GY:0.962 GZ:1.069 | T:24.91 C
I (542605) mpu6050 stream: AX:-0.126 AY:0.100 AZ:-0.959 | GX:0.656 GY:1.573 GZ:0.977 | T:25.00 C
I (542615) mpu6050 stream: AX:-0.109 AY:0.100 AZ:-0.973 | GX:0.885 GY:2.366 GZ:0.840 | T:25.00 C
I (542625) mpu6050 stream: AX:-0.105 AY:0.099 AZ:-0.954 | GX:1.130 GY:2.855 GZ:0.595 | T:24.91 C
I (542635) mpu6050 stream: AX:-0.106 AY:0.096 AZ:-0.947 | GX:0.947 GY:3.008 GZ:0.412 | T:24.91 C
I (542645) mpu6050 stream: AX:-0.095 AY:0.101 AZ:-0.936 | GX:0.824 GY:2.489 GZ:0.229 | T:24.91 C
I (542655) mpu6050 stream: AX:-0.093 AY:0.100 AZ:-0.925 | GX:0.260 GY:1.817 GZ:0.107 | T:24.91 C
I (542665) mpu6050 stream: AX:-0.094 AY:0.098 AZ:-0.940 | GX:-0.046 GY:1.115 GZ:-0.260 | T:25.09 C
I (542675) mpu6050 stream: AX:-0.102 AY:0.097 AZ:-0.944 | GX:-0.198 GY:0.763 GZ:-0.290 | T:25.09 C
I (542685) mpu6050 stream: AX:-0.099 AY:0.098 AZ:-0.945 | GX:-0.290 GY:0.565 GZ:-0.427 | T:25.00 C
I (542695) mpu6050 stream: AX:-0.101 AY:0.107 AZ:-0.942 | GX:-0.153 GY:0.275 GZ:-0.504 | T:25.00 C
I (542705) mpu6050 stream: AX:-0.099 AY:0.104 AZ:-0.949 | GX:-0.198 GY:-0.229 GZ:-0.321 | T:25.00 C
I (542715) mpu6050 stream: AX:-0.102 AY:0.103 AZ:-0.951 | GX:-0.504 GY:-0.305 GZ:-0.305 | T:25.00 C
I (542725) mpu6050 stream: AX:-0.097 AY:0.104 AZ:-0.943 | GX:-0.809 GY:-0.534 GZ:-0.366 | T:25.00 C
I (542735) mpu6050 stream: AX:-0.100 AY:0.104 AZ:-0.942 | GX:-0.901 GY:-0.824 GZ:-0.214 | T:25.00 C
I (542745) mpu6050 stream: AX:-0.099 AY:0.107 AZ:-0.936 | GX:-0.504 GY:-0.824 GZ:-0.183 | T:25.00 C
I (542755) mpu6050 stream: AX:-0.099 AY:0.116 AZ:-0.936 | GX:-0.275 GY:-1.435 GZ:-0.198 | T:25.00 C
I (542765) mpu6050 stream: AX:-0.104 AY:0.119 AZ:-0.942 | GX:0.031 GY) mpu6050 stream: AX:-0.115 AY:0.098 AZ:-0.950 | GX:1.160 GY:-1.603 GZ:0.397 | T:25.05 C
I (543025) mpu6050 stream: AX:-0.114 AY:0.094 AZ:-0.957 | GX:0.198 GY:-1.939 GZ:0.153 | T:24.95 C
I (543035) mpu6050 stream: AX:-0.116 AY:0.102 AZ:-0.950 | GX:-0.626 GY:-1.649 GZ:-0.275 | T:24.95 C
I (543045) mpu6050 stream: AX:-0.119 AY:0.097 AZ:-0.954 | GX:-1.130 GY:-1.053 GZ:-0.397 | T:24.95 C
I (543055) mpu6050 stream: AX:-0.124 AY:0.104 AZ:-0.943 | GX:-0.687 GY:-0.412 GZ:-0.366 | T:24.95 C
I (543065) mpu6050 stream: AX:-0.117 AY:0.104 AZ:-0.945 | GX:0.260 GY:-0.198 GZ:-0.641 | T:24.95 C
I (543075) mpu6050 stream: AX:-0.116 AY:0.108 AZ:-0.943 | GX:1.099 GY:-0.183 GZ:-0.595 | T:25.05 C
I (543085) mpu6050 stream: AX:-0.115 AY:0.105 AZ:-0.944 | GX:1.924 GY:-0.489 GZ:-0.672 | T:24.95 C
I (543095) mpu6050 stream: AX:-0.113 AY:0.101 AZ:-0.943 | GX:1.832 GY:-1.130 GZ:-0.626 | T:24.95 C
I (543105) mpu6050 stream: AX:-0.119 AY:0.090 AZ:-0.949 | GX:0.840 GY:-0.779 GZ:-0.580 | T:25.05 C
I (543115) mpu6050 stream: AX:-0.116 AY:0.092 AZ:-0.938 | GX:-0.153 GY:-1.206 GZ:-0.763 | T:25.05 C
I (543125) mpu6050 stream: AX:-0.116 AY:0.099 AZ:-0.956 | GX:-1.252 GY:-1.695 GZ:-0.947 | T:24.95 C
I (543135) mpu6050 stream: AX:-0.119 AY:0.114 AZ:-0.966 | GX:-1.145 GY:-1.878 GZ:-0.794 | T:24.95 C
I (543145) mpu6050 stream: AX:-0.122 AY:0.113 AZ:-0.959 | GX:-0.779 GY:-1.542 GZ:-0.473 | T:24.95 C
I (543155) mpu6050 stream: AX:-0.117 AY:0.117 AZ:-0.955 | GX:0.702 GY:-0.580 GZ:0.244 | T:24.95 C
I (543165) mpu6050 stream: AX:-0.121 AY:0.116 AZ:-0.944 | GX:1.969 GY:-0.489 GZ:0.947 | T:25.05 C
