I (395535) mpu6050 stream: AX:-0.105 AY:0.108 AZ:-0.950 | GX:-1.191 GY:0.244 GZ:0.397 | T:25.19 C
I (395545) mpu6050 stream: AX:-0.109 AY:0.107 AZ:-0.942 | GX:0.015 GY:-0.214 GZ:0.275 | T:25.19 C
I (395555) mpu6050 stream: AX:-0.112 AY:0.111 AZ:-0.951 | GX:1.557 GY:-0.473 GZ:0.443 | T:25.19 C
I (395565) mpu6050 stream: AX:-0.112 AY:0.100 AZ:-0.950 | GX:2.092 GY:-0.336 GZ:0.489 | T:25.19 C
I (395575) mpu6050 stream: AX:-0.111 AY:0.099 AZ:-0.949 | GX:1.634 GY:-0.504 GZ:0.641 | T:25.19 C
I (395585) mpu6050 stream: AX:-0.109 AY:0.095 AZ:-0.941 | GX:0.550 GY:-0.718 GZ:0.779 | T:25.19 C
I (395595) mpu6050 stream: AX:-0.111 AY:0.088 AZ:-0.947 | GX:-0.702 GY:-1.008 GZ:1.008 | T:25.19 C
I (395605) mpu6050 stream: AX:-0.114 AY:0.099 AZ:-0.949 | GX:-1.588 GY:-1.237 GZ:1.053 | T:25.19 C
I (395615) mpu6050 stream: AX:-0.117 AY:0.102 AZ:-0.939 | GX:-1.267 GY:-1.603 GZ:1.221 | T:25.28 C
I (395625) mpu6050 stream: AX:-0.112 AY:0.101 AZ:-0.943 | GX:-0.748 GY:-1.496 GZ:1.466 | T:25.19 C
I (395635) mpu6050 stream: AX:-0.120 AY:0.103 AZ:-0.949 | GX:-0.168 GY:-1.359 GZ:1.481 | T:25.19 C
I (395645) mpu6050 stream: AX:-0.126 AY:0.097 AZ:-0.948 | GX:0.015 GY:-1.053 GZ:1.496 | T:25.19 C
I (395655) mpu6050 stream: AX:-0.123 AY:0.094 AZ:-0.950 | GX:-0.260 GY:-0.916 GZ:1.313 | T:25.28 C
I (395665) mpu6050 stream: AX:-0.124 AY:0.094 AZ:-0.963 | GX:-0.809 GY:-0.824 GZ:0.901 | T:25.09 C
I (395675) mpu6050 stream: AX:-0.124 AY:0.094 AZ:-0.948 | GX:-1.237 GY:-0.382 GZ:0.641 | T:25.19 C
I (395685) mpu6050 stream: AX:-0.124 AY:0.096 AZ:-0.957 | GX:-1.405 GY:0.107 GZ:0.443 | T:25.19 C
I (395695) mpu6050 stream: AX:-0.118 AY:0.098 AZ:-0.949 | GX:-1.038 GY:0.275 GZ:-0.076 | T:25.19 C
I (395705) mpu6050 stream: AX:-0.114 AY:0.102 AZ:-0.950 | GX:-0.458 GY:0.336 GZ:-0.473 | T:25.09 C
I (395715) mpu6050 stream: AX:-0.120 AY:0.100 AZ:-0.948 | GX:-0.275 GY:0.290 GZ:-0.702 | T:25.19 C
I (395725) mpu6050 stream: AX:-0.120 AY:0.105 AZ:-0.948 | GX:0.183 GY:-0.305 GZ:-0.687 | T:25.19 C
I (395735) mpu6050 stream: AX:-0.111 AY:0.113 AZ:-0.953 | GX:0.107 GY:-0.550 GZ:-0.550 | T:25.19 C
I (395745) mpu6050 stream: AX:-0.121 AY:0.104 AZ:-0.957 | GX:-0.260 GY:-0.321 GZ:-0.198 | T:25.09 C
I (395755) mpu6050 stream: AX:-0.118 AY:0.110 AZ:-0.952 | GX:-0.565 GY:-0.183 GZ:-0.076 | T:25.19 C
I (395765) mpu6050 stream: AX:-0.124 AY:0.110 AZ:-0.957 | GX:-0.656 GY:-0.443 GZ:-0.015 | T:25.09 C
I (395775) mpu6050 stream: AX:-0.130 AY:0.108 AZ:-0.952 | GX:-0.397 GY:-0.076 GZ:0.198 | T:25.28 C
I (395785) mpu6050 stream: AX:-0.116 AY:0.107 AZ:-0.953 | GX:-0.076 GY:-0.443 GZ:0.366 | T:25.19 C
I (395795) mpu6050 stream: AX:-0.129 AY:0.103 AZ:-0.953 | GX:0.473 GY:-0.107 GZ:0.855 | T:25.09 C
