I (402435) mpu6050 stream: AX:-0.131 AY:0.111 AZ:-0.936 | GX:0.473 GY:-0.931 GZ:1.786 | T:25.19 C
I (402445) mpu6050 stream: AX:-0.131 AY:0.107 AZ:-0.947 | GX:0.351 GY:-0.947 GZ:1.695 | T:25.19 C
I (402455) mpu6050 stream: AX:-0.137 AY:0.100 AZ:-0.946 | GX:-0.015 GY:-0.931 GZ:1.511 | T:25.28 C
I (402465) mpu6050 stream: AX:-0.135 AY:0.103 AZ:-0.948 | GX:-0.748 GY:-0.779 GZ:1.115 | T:25.19 C
I (402475) mpu6050 stream: AX:-0.135 AY:0.100 AZ:-0.947 | GX:-1.038 GY:-0.962 GZ:0.855 | T:25.19 C
I (402485) mpu6050 stream:-0.128 AY:0.109 AZ:-0.943 | GX:0.550 GY:-0.214 GZ:1.328 | T:25.28 C
I (402725) mpu6050 stream: AX:-0.132 AY:0.110 AZ:-0.948 | GX:-0.031 GY:-0.595 GZ:1.176 | T:25.19 C
I (402735) mpu6050 stream: AX:-0.125 AY:0.103 AZ:-0.956 | GX:-0.092 GY:-0.733 GZ:1.344 | T:25.19 C
I (402745) mpu6050 stream: AX:-0.146 AY:0.109 AZ:-0.952 | GX:0.015 GY:-0.397 GZ:1.191 | T:25.09 C
I (402755) mpu6050 stream: AX:-0.135 AY:0.109 AZ:-0.960 | GX:0.229 GY:0.321 GZ:1.252 | T:25.19 C
I (402765) mpu6050 stream: AX:-0.136 AY:0.108 AZ:-0.955 | GX:0.779 GY:0.702 GZ:1.282 | T:25.19 C
I (402775) mpu6050 stream: AX:-0.134 AY:0.112 AZ:-0.953 | GX:1.328 GY:0.962 GZ:1.298 | T:25.19 C
I (402785) mpu6050 stream: AX:-0.131 AY:0.105 AZ:-0.951 | GX:1.588 GY:0.962 GZ:1.557 | T:25.28 C
I (402795) mpu6050 stream: AX:-0.129 AY:0.101 AZ:-0.939 | GX:1.282 GY:1.282 GZ:1.542 | T:25.19 C
I (402805) mpu6050 stream: AX:-0.127 AY:0.098 AZ:-0.947 | GX:0.931 GY:1.053 GZ:1.313 | T:25.09 C
I (402815) mpu6050 stream: AX:-0.130 AY:0.104 AZ:-0.948 | GX:0.672 GY:1.206 GZ:1.481 | T:25.28 C
I (402825) mpu6050 stream: AX:-0.128 AY:0.098 AZ:-0.944 | GX:0.382 GY:1.237 GZ:1.542 | T:25.19 C
I (402835) mpu6050 stream: AX:-0.121 AY:0.105 AZ:-0.947 | GX:0.489 GY:1.237 GZ:1.344 | T:25.19 C
I (402845) mpu6050 stream: AX:-0.130 AY:0.100 AZ:-0.939 | GX:0.412 GY:1.038 GZ:1.496 | T:25.19 C
I (402855) mpu6050 stream: AX:-0.124 AY:0.101 AZ:-0.943 | GX:0.519 GY:0.962 GZ:1.389 | T:25.19 C
I (402865) mpu6050 stream: AX:-0.122 AY:0.102 AZ:-0.944 | GX:0.351 GY:0.489 GZ:1.282 | T:25.19 C
