I (629005) mpu6050 stream: AX:-0.006 AY:0.094 AZ:012 AY:0.107 AZ:-0.964 | GX:-0.183 GY:-0.122 GZ:0.000 | T:25.05 C
I (629245) mpu6050 stream: AX:-0.004 AY:0.107 AZ:-0.968 | GX:0.168 GY:0.305 GZ:0.290 | T:25.05 C
I (629255) mpu6050 stream: AX:-0.005 AY:0.109 AZ:-0.967 | GX:-1.084 GY:0.473 GZ:0.305 | T:25.05 C
I (629265) mpu6050 stream: AX:-0.015 AY:0.108 AZ:-0.959 | GX:-1.405 GY:0.366 GZ:0.076 | T:24.95 C
I (629275) mpu6050 stream: AX:-0.011 AY:0.111 AZ:-0.954 | GX:-1.023 GY:-0.061 GZ:0.153 | T:24.95 C
I (629285) mpu6050 stream: AX:-0.012 AY:0.113 AZ:-0.957 | GX:-0.229 GY:-0.168 GZ:0.519 | T:24.95 C
I (629295) mpu6050 stream: AX:-0.012 AY:0.111 AZ:-0.962 | GX:0.656 GY:0.275 GZ:0.779 | T:25.05 C
I (629305) mpu6050 stream: AX:-0.015 AY:0.107 AZ:-0.954 | GX:0.565 GY:0.504 GZ:0.977 | T:24.95 C
I (629315) mpu6050 stream: AX:-0.009 AY:0.101 AZ:-0.960 | GX:0.351 GY:0.779 GZ:1.160 | T:24.86 C
I (629325) mpu6050 stream: AX:-0.002 AY:0.100 AZ:-0.961 | GX:-0.397 GY:1.069 GZ:0.916 | T:25.05 C
I (629335) mpu6050 stream: AX:-0.009 AY:0.100 AZ:-0.950 | GX:-1.176 GY:0.885 GZ:1.023 | T:24.95 C
I (629345) mpu6050 stream: AX:-0.008 AY:0.106 AZ:-0.948 | GX:-1.344 GY:0.901 GZ:1.008 | T:24.95 C
I (629355) mpu6050 stream: AX:-0.006 AY:0.110 AZ:-0.943 | GX:-1.221 GY:0.595 GZ:1.084 | T:24.86 C
I (629365) mpu6050 stream: AX:-0.010 AY:0.108 AZ:-0.951 | GX:-0.641 GY:0.061 GZ:1.160 | T:24.95 C
I (629375) mpu6050 stream: AX:-0.008 AY:0.109 AZ:-0.950 | GX:0.092 GY:0.214 GZ:1.252 | T:25.00 C
I (629385) mpu6050 stream: AX:-0.013 AY:0.106 AZ:-0.957 | GX:0.672 GY:-0.168 GZ:1.511 | T:25.00 C
I (629395) mpu6050 stream: AX:-0.006 AY:0.104 AZ:-0.965 | GX:0.534 GY:0.275 GZ:1.099 | T:25.00 C
