I (548035) mpu6050 stream: AX:-0.054 AY:0.083 AZ:-0.952 | GX:-2.382 GY:-1.511 GZ:1.313 | T:25.00 C
I (548045) mpu6050 stream: AX:-0.060 AY:0.102 AZ:-0.948 | GX:-1.985 GY:-1.756 GZ:1.450 | T:25.00 C
I (548055) mpu6050 stream: AX:-0.062 AY:0.098 AZ:-0.962 | GX:-1.084 GY:-1.679 GZ:1.374 | T:25.00 C
I (548065) mpu6050 stream: AX:-0.061 AY:0.098 AZ:-0.958 | GX:-0.412 GY:-1.511 GZ:1.634 | T:24.91 C
I (548075) mpu6050 stream: AX:-0.059 AY:0.093 AZ:-0.956 | GX:-0.076 GY:-1.420 GZ:1.420 | T:24.91 C
I (548085) mpu6050 stream: AX:-0.060 AY:0.096 AZ:-0.947 | GX:0.489 GY:-1.038 GZ:1.603 | T:24.91 C
I (548095) mpu6050 stream: AX:-0.056 AY:0.098 AZ:-0.962 | GX:0.275 GY:-1.481 GZ:1.252 | T:24.91 C
I (548105) mpu6050 stream: AX:-0.062 AY:0.092 AZ:-0.949 | GX:-0.137 GY:-1.939 GZ:1.237 | T:24.91 C
I (548115) mpu6050 stream: AX:-0.057 AY:0.091 AZ:-0.960 | GX:-0.458 GY:-2.183 GZ:0.916 | T:24.81 C
I (548125) mpu6050 stream: AX:-0.063 AY:0.097 AZ:-0.952 | GX:-0.046 GY:-1.847 GZ:0.977 | T:24.91 C
I (548135) mpu6050 stream: AX:-0.061 AY:0.094 AZ:-0.950 | GX:0.382 GY:-1.832 GZ:0.870 | T:24.91 C
I (548145) mpu6050 stream: AX:-0.064 AY:0.096 AZ:-0.955 | GX:0.901 GY:-1.939 GZ:0.977 | T:25.00 C
I (548155) mpu6050 stream: AX:-0.059 AY:0.089 AZ:-0.965 | GX:0.763 GY:-1.740 GZ:0.794 | T:24.91 C
I (548165) mpu6050 stream: AX:-0.069 AY:0.093 AZ:-0.963 | GX:0.275 GY:-1.786 GZ:0.885 | T:25.00 C
I (548175) mpu6050 stream: AX:-0.065 AY:0.093 AZ:-0.968 | GX:-0.473 GY:-1.527 GZ:0.840 | T:24.91 C
I (548185) mpu6050 stream: AX:-0.065 AY:0.097 AZ:-0.963 | GX:-0.748 GY:-1.679 GZ:0.962 | T:25.00 C
I (548195) mpu6050 stream: AX:-0.060 AY:0.099 AZ:-0.958 | GX:-0.473 GY:-1.466 GZ:0.977 | T:25.00 C
I (548205) mpu6050 stream: AX:-0.061 AY:0.100 AZ:-0.958 | GX:0.519 GY:-0.977 GZ:1.359 | T:25.00 C
I (548215) mpu6050 stream: AX:-0.067 AY:0.102 AZ:-0.965 | GX:1.328 GY:-0.809 GZ:1.527 | T:25.00 C
I (548225) mpu6050 stream: AX:-0.063 AY:0.096 AZ:-0.961 | GX:1.679 GY:-0.687 GZ:1.802 | T:25.00 C
I (548235) mpu6050 stream: AX:-0.068 AY:0.095 AZ:-0.958 | GX:1.496 GY:-0.397 GZ:1.969 | T:25.00 C
I (548245) mpu6050 stream: AX:-0.064 AY:0.094 AZ:-0.952 | GX:1.023 GY:-0.565 GZ:1.969 | T:25.00 C
I (548255) mpu6050 stream: AX:-0.061 AY:0.092 AZ:-0.957 | GX:0.412 GY:-0.366 GZ:2.153 | T:24.91 C
I (548265) mpu6050 stream: AX:-0.059 AY:0.095 AZ:-0.953 | GX:0.214 GY:-0.275 GZ:2.305 | T:25.00 C
I (548275) mpu6050 stream: AX:-0.064 AY:0.096 AZ:-0.956 | GX:0.702 GY:0.046 GZ:2.550 | T:24.91 C
I (548285) mpu6050 stream: AX:-0.063 AY:0.091 AZ:-0.957 | GX:1.374 GY:0.031 GZ:2.718 | T:24.91 C
I (548295) mpu6050 stream: AX:-0.069 AY:0.087 AZ:-0.959 | GX:1.740 GY:0.412 GZ:2.794 | T:25.00 C
I (548305) mpu6050 stream: AX:-0.058 AY:0.082 AZ:-0.962 | GX:1.802 GY:0.870 GZ:2.885 | T:24.91 C
I (548315) mpu6050 stream: AX:-0.058 AY:0.084 AZ:-0.961 | GX:1.450 GY:0.885 GZ:2.870 | T:25.00 C
I (548325) mpu6050 stream: AX:-0.060 AY:0.089 AZ:-0.959 | GX:1.145 GY:0.443 GZ:2.687 | T:25.00 C
I (548335) mpu6050 stream: AX:-0.058 AY:0.083 AZ:-0.955 | GX:0.901 GY:0.260 GZ:2.595 | T:25.09 C
I (548345) mpu6050 stream: AX:-0.060 AY:0.079 AZ:-0.952 | GX:0.840 GY:-0.153 GZ:2.733 | T:24.91 C
I (548355) mpu6050 stream: AX:-0.061 AY:0.084 AZ:-0.946 | GX:0.870 GY:-0.275 GZ:2.611 | T:25.00 C
I (548365) mpu6050 stream: AX:-0.055 AY:0.083 AZ:-0.951 | GX:0.885 GY:-0.550 GZ:2.412 | T:25.00 C
I (548375) mpu6050 stream: AX:-0.058 AY:0.080 AZ:-0.953 | GX:0.901 GY:-0.534 GZ:2.336 | T:25.00 C
I (548385) mpu6050 stream: AX:-0.063 AY:0.077 AZ:-0.959 | GX:0.534 GY:-0.458 GZ:2.275 | T:24.91 C
I (548395) mpu6050 stream: AX:-0.068 AY:0.077 AZ:-0.957 | GX:0.351 GY:-0.718 GZ:2.015 | T:25.05 C
I (548405) mpu6050 stream: AX:-0.066 AY:0.081 AZ:-0.960 | GX:0.137 GY:-0.718 GZ:1.802 | T:24.95 C
I (548415) mpu6050 stream: AX:-0.063 AY:0.083 AZ:-0.964 | GX:0.153 GY:-0.611 GZ:1.725 | T:24.95 C
I (548425) mpu6050 stream: AX:-0.062 AY:0.083 AZ:-0.962 | GX:0.275 GY:-0.321 GZ:1.725 | T:25.05 C
I (548435) mpu6050 stream: AX:-0.059 AY:0.085 AZ:-0.963 | GX:0.427 GY:-0.443 GZ:1.496 | T:24.91 C
I (548445) mpu6050 stream: AX:-0.059 AY:0.085 AZ:-0.968 | GX:0.290 GY:-0.137 GZ:1.542 | T:24.95 C
I (548455) mpu6050 stream: AX:-0.064 AY:0.080 AZ:-0.954 | GX:0.305 GY:-0.031 GZ:1.389 | T:24.95 C
I (548465) mpu6050 stream: AX:-0.062 AY:0.086 AZ:-0.962 | GX:0.183 GY:0.015 GZ:1.405 | T:24.95 C
I (548475) mpu6050 stream: AX:-0.063 AY:0.081 AZ:-0.962 | GX:0.275 GY:0.092 GZ:1.252 | T:25.05 C
I (548485) mpu6050 stream: AX:-0.059 AY:0.082 AZ:-0.959 | GX:0.351 GY:0.351 GZ:1.344 | T:25.05 C
I (548495) mpu6050 stream: AX:-0.059 AY:0.086 AZ:-0.948 | GX:0.565 GY:0.290 GZ:1.282 | T:24.86 C
I (548505) mpu6050 stream: AX:-0.061 AY:0.087 AZ:-0.954 | GX:0.672 GY:0.321 GZ:1.313 | T:24.95 C
I (548515) mpu6050 stream: AX:-0.053 AY:0.083 AZ:-0.950 | GX:0.672 GY:0.244 GZ:1.435 | T:24.95 C
I (548525) mpu6050 stream: AX:-0.056 AY:0.085 AZ:-0.950 | GX:0.443 GY:-0.214 GZ:1.679 | T:24.95 C
I (548535) mpu6050 stream: AX:-0.061 AY:0.088 AZ:-0.953 | GX:0.534 GY:-0.244 GZ:1.603 | T:24.95 C
I (548545) mpu6050 stream: AX:-0.058 AY:0.080 AZ:-0.955 | GX:0.595 GY:-0.702 GZ:1.740 | T:24.95 C
I (548555) mpu6050 stream: AX:-0.063 AY:0.077 AZ:-0.956 | GX:0.504 GY:-0.137 GZ:1.649 | T:25.05 C
I (548565) mpu6050 stream: AX:-0.063 AY:0.079 AZ:-0.948 | GX:0.290 GY:-0.168 GZ:1.527 | T:24.95 C
