I (256105) mpu6050 stream: AX:-0.191 AY:0.085 AZ:-0.940 | GX:-0.626 GY:-0.046 GZ:0.122 | T:25.24 C
I (256115) mpu6050 stream: AX:-0.191 AY:0.084 AZ:-0.939 | GX:-0.550 GY:-0.168 GZ:0.061 | T:25.28 C
I (256125) mpu6050 stream: AX:-0.190 AY:0.085 AZ:-0.939 | GX:-0.458 GY:-0.198 GZ:0.061 | T:25.28 C
I (256135) mpu6050 stream: AX:-0.195 AY:0.089 AZ:-0.943 | GX:-0.336 GY:-0.046 GZ:0.214 | T:25.28 C
I (256145) mpu6050 stream: AX:-0.191 AY:0.085 AZ:-0.942 | GX:-0.275 GY:-0.137 GZ:0.321 | T:25.28 C
I (256155:-0.748 GY:-0.275 GZ:-0.061 | T:25.24 C
I (256405) mpu6050 stream: AX:-0.196 AY:0.079 AZ:-0.940 | GX:-0.366 GY:-0.260 GZ:0.198 | T:25.28 C
I (256415) mpu6050 stream: AX:-0.198 AY:0.080 AZ:-0.948 | GX:0.153 GY:-0.565 GZ:-0.092 | T:25.14 C
I (256425) mpu6050 stream: AX:-0.200 AY:0.086 AZ:-0.933 | GX:-0.107 GY:-0.427 GZ:0.107 | T:25.24 C
I (256435) mpu6050 stream: AX:-0.200 AY:0.081 AZ:-0.946 | GX:-0.595 GY:0.107 GZ:0.198 | T:25.24 C
I (256445) mpu6050 stream: AX:-0.200 AY:0.086 AZ:-0.942 | GX:-1.008 GY:0.489 GZ:0.305 | T:25.24 C
I (256455) mpu6050 stream: AX:-0.199 AY:0.089 AZ:-0.944 | GX:-1.115 GY:0.427 GZ:0.229 | T:25.33 C
I (256465) mpu6050 stream: AX:-0.199 AY:0.095 AZ:-0.935 | GX:-0.473 GY:0.611 GZ:0.427 | T:25.24 C
I (256475) mpu6050 stream: AX:-0.198 AY:0.099 AZ:-0.938 | GX:0.168 GY:0.489 GZ:0.885 | T:25.24 C
I (256485) mpu6050 stream: AX:-0.201 AY:0.089 AZ:-0.945 | GX:0.977 GY:1.130 GZ:1.069 | T:25.33 C
I (256495) mpu6050 stream: AX:-0.195 AY:0.082 AZ:-0.941 | GX:1.160 GY:1.481 GZ:1.221 | T:25.24 C
