I (365605) mpu6050 stream: AX:-0.077 AY:0.078 AZ:-0.955 | GX:0.031 GY:-0.580 GZ:1.069 | T:25.19 C
I (365615) mpu6050 stream: AX:-0.080 AY:0.079 AZ:-0.956 | GX:0.092 GY:-0.534 GZ:1.053 | T:25.19 C
I (365625) mpu6050 stream: AX:-0.082 AY:0.081 AZ:-0.957 | GX:-0.046 GY:-0.443 GZ:1.221 | T:25.09 C
I (365635) mpu6050 stream: AX:-0.077 AY:0.074 AZ:-0.958 | GX:-0.092 GY:-0.641 GZ:1.298 | T:25.09 C
I (365645) mpu6050 stream: AX:-0.077 AY:0.086 AZ:-0.960 | GX:-0.198 GY:-0.595 GZ:1.405 | T:25.19 C
I (365655) mpu6050 stream: AX:-0.076 AY:0.084 AZ:-0.959 | GX:-0.015 GY:-0.351 GZ:1.359 | T:25.19 C
I (365665) mpu6050 stream: AX:-0.070 AY:0.082 AZ:-0.952 | GX:0.031 GY:-0.427 GZ:1.435 | T:25.09 C
I (365675) mpu6050 stream: AX:-0.076 AY:0.085 AZ:-0.958 | GX:-0.122 GY:-0.443 GZ:1.466 | T:25.19 C
I (365685) mpu6050 stream: AX:-0.076 AY:0.081 AZ:-0.958 | GX:-0.061 GY:-0.519 GZ:1.740 | T:25.19 C
I (365695) mpu6050 stream: AX:-0.083 AY:0.077 AZ:-0.956 | GX:-0.092 GY:-0.153 GZ:1.725 | T:25.19 C
I (365705) mpu6050 stream: AX:-0.074 AY:0.083 AZ:-0.954 | GX:0.092 GY:-0.580 GZ:1.542 | T:25.19 C
I (365715) mpu6050 stream: AX:-0.078 AY:0.075 AZ:-0.956 | GX:0.061 GY:-0.702 GZ:1.557 | T:25.28 C
I (365725) mpu6050 stream: AX:-0.082 AY:0.076 AZ:-0.951 | GX:-0.061 GY:-0.718 GZ:1.344 | T:25.19 C
I (365735) mpu6050 stream: AX:-0.080 AY:0.079 AZ:-0.946 | GX:-0.031 GY:-0.718 GZ:1.282 | T:25.28 C
I (365745) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.961 | GX:-0.351 GY:-0.580 GZ:1.130 | T:25.19 C
I (365755) mpu6050 stream: AX:-0.074 AY:0.074 AZ:-0.957 | GX:-0.244 GY:-0.550 GZ:0.947 | T:25.19 C
I (365765) mpu6050 stream: AX:-0.077 AY:0.077 AZ:-0.948 | GX:-0.412 GY:-1.008 GZ:0.779 | T:25.19 C
I (365775) mpu6050 stream: AX:-0.086 AY:0.075 AZ:-0.955 | GX:-0.473 GY:-0.916 GZ:0.565 | T:25.09 C
