I (488445) mpu6050 stream: AX:-0.087 AY:0.072 AZ:-0.947 | GX:0.092 GY:1.252 GZ:1.344 | T:25.00 C
I (488455) mpu6050 stream: AX:-0.078 AY:0.067 AZ:-0.946 | GX:-0.122 GY:1.145 GZ:1.252 | T:25.09 C
I (488465) mpu6050 stream: AX:-0.084 AY:0.068 AZ:-0.943 | GX:-0.137 GY:0.656 GZ:1.053 | T:25.09 C
I (488475) mpu6050 stream: AX:-0.082 AY:0.073 AZ:-0.950 | GX:-0.534 GY:0.382 GZ:0.916 | T:25.09 C
I (488485) mpu6050 stream: AX:-0.084 AY:0.069 AZ:-0.949 | GX:-0.885 GY:0.214 GZ:0.824 | T:25.00 C
I (488495) mpu6050 stream: AX:-0.089 AY:0.073 AZ:-0.958 | GX:-1.115 GY:0.015 GZ:0.641 | T:25.00 C
I (488505) mpu6050 stream: AX:-0.084 AY:0.071 AZ:-0.961 | GX:-1.115 GY:-0.031 GZ:0.718 | T:25.00 C
I (488515) mpu6050 stream: AX:-0.089 AY:0.075 AZ:-0.953 | GX:-0.794 GY:0.076 GZ:0.870 | T:25.00 C
I (488525) mpu6050 stream: AX:-0.088 AY:0.080 AZ:-0.958 | GX:-0.534 GY:-0.031 GZ:0.885 | T:25.09 C
I (488535) mpu6050 stream: AX:-0.091 AY:0.077 AZ:-0.955 | GX:-0.519 GY:0.275 GZ:0.763 | T:25.09 C
I (488545) mpu6050 stream: AX:-0.098 AY:0.078 AZ:-0.948 | GX:-0.397 GY:0.244 GZ:0.962 | T:25.09 C
I (488555) mpu6050 stream: AX:-0.083 AY:0.081 AZ:-0.949 | GX:-0.290 GY:0.153 GZ:0.748 | T:25.09 C
I (488565) mpu6050 stream: AX:-0.080 AY:0.078 AZ:-0.953 | GX:-0.061 GY:0.229 GZ:0.931 | T:25.09 C
I (488575) mpu6050 stream: AX:-0.090 AY:0.079 AZ:-0.949 | GX:0.260 GY:-0.137 GZ:0.779 | T:25.00 C
I (488585) mpu6050 stream: AX:-0.081 AY:0.083 AZ:-0.955 | GX:0.153 GY:0.153 GZ:0.870 | T:25.09 C
I (488595) mpu6050 stream: AX:-0.086 AY:0.077 AZ:-0.957 | GX:-0.061 GY:0.198 GZ:0.931 | T:25.09 C
I (488605) mpu6050 stream: AX:-0.086 AY:0.077 AZ:-0.966 | GX:-0.244 GY:0.275 GZ:1.130 | T:25.09 C
I (488615) mpu6050 stream: AX:-0.083 AY:0.077 AZ:-0.956 | GX:-0.198 GY:0.168 GZ:1.206 | T:25.00 C
I (488625) mpu6050 stream: AX:-0.083 AY:0.080 AZ:-0.949 | GX:-0.076 GY:0.031 GZ:1.435 | T:25.09 C
I (488635) mpu6050 stream: AX:-0.084 AY:0.077 AZ:-0.957 | GX:-0.015 GY:0.473 GZ:1.511 | T:25.09 C
I (488645) mpu6050 stream: AX:-0.077 AY:0.070 AZ:-0.945 | GX:-0.153 GY:0.168 GZ:1.359 | T:25.09 C
I (488655) mpu6050 str-0.096 AY:0.078 AZ:-0.962 | GX:-0.519 GY:1.145 GZ:0.962 | T:25.09 C
I (488905) mpu6050 stream: AX:-0.095 AY:0.085 AZ:-0.964 | GX:-1.084 GY:1.115 GZ:1.145 | T:25.00 C
I (488915) mpu6050 stream: AX:-0.096 AY:0.088 AZ:-0.950 | GX:-0.489 GY:0.840 GZ:1.313 | T:25.09 C
I (488925) mpu6050 stream: AX:-0.096 AY:0.095 AZ:-0.956 | GX:0.260 GY:0.779 GZ:1.863 | T:25.09 C
I (488935) mpu6050 stream: AX:-0.097 AY:0.088 AZ:-0.949 | GX:1.160 GY:0.626 GZ:2.366 | T:25.09 C
I (488945) mpu6050 stream: AX:-0.096 AY:0.087 AZ:-0.959 | GX:1.603 GY:1.130 GZ:2.794 | T:25.09 C
I (488955) mpu6050 stream: AX:-0.100 AY:0.077 AZ:-0.957 | GX:1.344 GY:1.221 GZ:2.733 | T:25.09 C
I (488965) mpu6050 stream: AX:-0.098 AY:0.073 AZ:-0.960 | GX:0.626 GY:1.313 GZ:2.550 | T:25.09 C
I (488975) mpu6050 stream: AX:-0.101 AY:0.068 AZ:-0.948 | GX:-0.107 GY:1.481 GZ:2.504 | T:25.09 C
I (488985) mpu6050 stream: AX:-0.101 AY:0.072 AZ:-0.951 | GX:-0.427 GY:1.542 GZ:2.519 | T:25.09 C
I (488995) mpu6050 stream: AX:-0.100 AY:0.074 AZ:-0.951 | GX:-0.092 GY:1.985 GZ:2.412 | T:25.09 C
I (489005) mpu6050 stream: AX:-0.090 AY:0.073 AZ:-0.948 | GX:0.168 GY:1.817 GZ:2.565 | T:24.91 C
I (489015) mpu6050 stream: AX:-0.086 AY:0.077 AZ:-0.949 | GX:0.840 GY:1.649 GZ:2.427 | T:25.00 C
I (489025) mpu6050 stream: AX:-0.090 AY:0.075 AZ:-0.943 | GX:1.221 GY:1.527 GZ:2.504 | T:25.00 C
I (489035) mpu6050 stream: AX:-0.082 AY:0.072 AZ:-0.958 | GX:0.672 GY:1.176 GZ:2.382 | T:25.09 C
I (489045) mpu6050 stream: AX:-0.091 AY:0.071 AZ:-0.957 | GX:0.412 GY:0.855 GZ:2.473 | T:25.09 C
I (489055) mpu6050 stream: AX:-0.088 AY:0.069 AZ:-0.944 | GX:0.183 GY:0.855 GZ:2.321 | T:25.00 C
