I (303405) mpu6050 stream: AX:-0.153 AY:0.093 AZ:-0.942 | GX:-1.130 GY:-0.626 GZ:0.458 | T:25.24 C
I (303415) mpu6050 stream: AX:-0.150 AY:0.092 AZ:-0.945 | GX:-0.840 GY:-0.214 GZ:0.397 | T:25.24 C
I (303425) mpu6050 stream: AX:-0.152 AY:0.095 AZ:-0.940 | GX:-0.412 GY:-0.015 GZ:0.504 | T:25.33 C
I (303435) mpu6050 stream: AX:-0.154 AY:0.102 AZ:-0.943 | GX:-0.260 GY:-0.489 GZ:0.366 | T:25.28 C
I (303445) mpu6050 stream: AX:-0.158 AY:0.090 AZ:-0.938 | GX:-0.305 GY:-0.183 GZ:0.656 | T:25.28 C
I (303455) mpu6050 stream: AX:-0.155 AY:0.090 AZ:-0.936 | GX:-0.412 GY:-0.366 GZ:0.473 | T:25.28 C
I (303465) mpu6050 stream: AX:-0.157 AY:0.090 AZ:-0.943 | GX:-0.336 GY:-0.595 GZ:0.748 | T:25.38 C
I (303475) mpu6050 stream: AX:-0.153 AY:0.091 AZ:-0.938 | GX:-0.504 GY:-0.702 GZ:0.687 | T:25.19 C
I (303485) mpu6050 stream: AX:-0.157 AY:0.088 AZ:-0.944 | GX:-0.504 GY:-0.656 GZ:0.962 | T:25.28 C
I (303495) mpu6050 stream: AX:-0.164 AY:0.090 AZ:-0.948 | GX:-0.687 GY:-0.672 GZ:0.794 | T:25.38 C
I (303505) mpu6050 stream: AX:-0.156 AY:0.094 AZ:-0.950 | GX:-0.244 GY:-0.489 GZ:1.008 | T:25.28 C
I (303515) mpu6050 stream: AX:-0.159 AY:0.089 AZ:-0.951 | GX:-0.229 GY:-0.137 GZ:0.992 | T:25.19 C
I (303525) mpu6050 stream: AX:-0.164 AY:0.094 AZ:-0.946 | GX:0.061 GY:-0.061 GZ:0.977 | T:25.38 C
I (303535) mpu6050 stream: AX:-0.150 AY:0.090 AZ:-0.939 | GX:0.000 GY:-0.122 GZ:1.160 | T:25.28 C
I (303545) mpu6050 stream: AX:-0.154 AY:0.090 AZ:-0.942 | GX:-0.092 GY:-0.198 GZ:1.252 | T:25.19 C
I (303555) mpu6050 stream: AX:-0.156 AY:0.094 AZ:-0.946 | GX:-0.107 GY:-0.183 GZ:1.313 | T:25.19 C
I (303565) mpu6050 stream: AX:-0.152 AY:0.090 AZ:-0.948 | GX:-0.122 GY:-0.275 GZ:1.389 | T:25.28 C
I (303575) mpu6050 stream: AX:-0.154 AY:0.083 AZ:-0.940 | GX:-0.229 GY:-0.504 GZ:1.298 | T:25.28 C
I (303585) mpu6050 stream: AX:-0.160 AY:0.085 AZ:-0.962 | GX:-0.580 GY:-0.519 GZ:1.466 | T:25.19 C
I (303595) mpu6050 stream: AX:-0.157 AY:0.091 AZ:-0.943 | GX:-0.489 GY:-0.183 GZ:1.389 | T:25.28 C
I (303605) mpu6050 stream: AX:-0.158 AY:0.087 AZ:-0.947 | GX:-0.214 GY:-0.534 GZ:1.206 | T:25.28 C
I (303615) mpu6050 stream: AX:-0.155 AY:0.090 AZ:-0.950 | GX:-0.107 GY:-0.382 GZ:1.130 | T:25.28 C
I (303625) mpu6050 stream: AX:-0.158 AY:0.083 AZ:-0.940 | GX:-0.336 GY:-0.153 GZ:0.977 | T:25.19 C
I (303635) mpu6050 stream: AX:-0.152 AY:0.086 AZ:-0.950 | GX:-0.870 GY:-0.336 GZ:0.916 | T:25.19 C
I (303645) mpu6050 stream: AX:-0.151 AY:0.087 AZ:-0.951 | GX:-1.420 GY:-0.076 GZ:0.687 | T:25.28 C
I (303655) mpu6050 stream: AX:-0.150 AY:0.094 AZ:-0.940 | GX:-1.908 GY:-0.015 GZ:0.672 | T:25.28 C
I (303665) mpu6050 stream: AX:-0.157 AY:0.097 AZ:-0.942 | GX:-1.084 GY:-0.321 GZ:0.458 | T:25.19 C
I (303675) mpu6050 stream: AX:-0.145 AY:0.103 AZ:-0.935 | GX:0.168 GY:-1.191 GZ:0.611 | T:25.28 C
I (303685) mpu6050 stream: AX:-0.155 AY:0.097 AZ:-0.944 | GX:1.298 GY:-1.664 GZ:0.779 | T:25.19 C
I (303695) mpu6050 stream: AX:-0.162 AY:0.089 AZ:-0.937 | GX:1.618 GY:-1.420 GZ:0.947 | T:25.28 C
I (303705) mpu6050 stream: AX:-0.162 AY:0.086 AZ:-0.958 | GX:0.763 GY:-1.099 GZ:1.069 | T:25.28 C
I (303715) mpu6050 stream: AX:-0.165 AY:0.087 AZ:-0.950 | GX:-0.305 GY:-0.947 GZ:0.962 | T:25.28 C
I (303725) mpu6050 stream: AX:-0.163 AY:0.087 AZ:-0.951 | GX:-1.008 GY:-0.977 GZ:1.176 | T:25.28 C
I (303735) mpu6050 stream: AX:-0.159 AY:0.086 AZ:-0.951 | GX:-1.099 GY:-0.916 GZ:1.420 | T:25.28 C
I (303745) mpu6050 stream: AX:-0.166 AY:0.097 AZ:-0.948 | GX:-0.748 GY:-1.038 GZ:1.374 | T:25.19 C
