I (475955) mpu6050 stream: AX:-0.085 AY:0.083 AZ:-0.956 | GX:-0.168 GY:0.595 GZ:1.740 | T:25.09 C
I (475965) mpu6050 stream: AX:-0.088 AY:0.078 AZ:-0.949 | GX:-0.183 GY:0.198 GZ:1.725 | T:25.00 C
I (475975) mpu6050 stream: AX:-0.090 AY:0.084 AZ:-0.959 | GX:0.031 GY:0.092 GZ:1.695 | T:25.09 C
I (475985) mpu6050 stream: AX:-0.086 AY:0.085 AZ:-0.950 | GX:-0.321 GY:-0.183 GZ:1.511 | T:25.00 C
I (475995) mpu6050 stream: AX:-0.087 AY:0.087 AZ:-0.957 | GX:-0.168 GY:-0.153 GZ:1.298 | T:25.19 C
I (476005) mpu6050 stream: AX:-0.086 AY:0.083 AZ:-0.958 | GX:-0.504 GY:-0.168 GZ:1.267 | T:25.19 C
I (476015) mpu6050 stream: AX:-0.086 AY:0.087 AZ:-0.950 | GX:-0.489 GY:-0.290 GZ:1.298 | T:25.09 C
I (476025) mpu6050 stream: AX:-0.089 AY:0.089 AZ:-0.965 | GX:-0.321 GY:-0.046 GZ:1.053 | T:25.09 C
I (476035) mpu6050 stream: AX:-0.085 AY:0.086 AZ:-0.961 | GX:-0.244 GY:0.015 GZ:1.176 | T:25.09 C
I (476045) mpu6050 stream: AX:-0.083 AY:0.087 AZ:-0.960 | GX:-0.092 GY:0.046 GZ:1.252 | T:25.09 C
I (476055) mpu6050 stream: AX:-0.076 AY:0.087 AZ:-0.961 | GX:-0.260 GY:0.000 GZ:1.252 | T:25.00 C
I (476065) mpu6050 stream: AX:-0.086 AY:0.087 AZ:-0.960 | GX:-0.183 GY:0.198 GZ:1.237 | T:25.09 C
I (476075) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.952 | GX:0.031 GY:-0.015 GZ:1.328 | T:25.19 C
I (476085) mpu6050 stream: AX:-0.089 AY:0.092 AZ:-0.960 | GX:0.061 GY:-0.031 GZ:1.176 | T:25.19 C
I (476095) mpu6050 stream: AX:-0.086 AY:0.083 AZ:-0.962 | GX:0.214 GY:0.260 GZ:1.008 | T:25.09 C
I (476105) mpu6050 stream: AX:-0.087 AY:0.080 AZ:-0.957 | GX:-0.061 GY:0.733 GZ:0.916 | T:25.09 C
I (476115) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.962 | GX:-0.427 GY:0.641 GZ:1.069 | T:25.09 C
I (476125) mpu6050 stream: AX:-0.084 AY:0.078 AZ:-0.961 | GX:-0.901 GY:0.977 GZ:0.931 | T:25.00 C
I (476135) mpu6050 stream: AX:-0.079 AY:0.088 AZ:-0.959 | GX:-1.511 GY:0.763 GZ:0.611 | T:25.19 C
I (476145) mpu6050 stream: AX:-0.077 AY:0.098 AZ:-0.965 | GX:-1.328 GY:0.641 GZ:0.565 | T:25.09 C
I (476155) mpu6050 stream: AX:-0.077 AY:0.097 AZ:-0.957 | GX:-0.656 GY:0.366 GZ:0.550 | T:25.09 C
I (476165) mpu6050 stream: AX:-0.080 AY:0.095 AZ:-0.944 | GX:0.840 GY:0.321 GZ:1.099 | T:25.09 C
I (476175) mpu6050 stream: AX:-0.081 AY:0.087 AZ:-0.942 | GX:1.893 GY:0.122 GZ:1.252 | T:25.00 C
I (476185) mpu6050 stream: AX:-0.079 AY:0.083 AZ:-0.950 | GX:2.000 GY:-0.122 GZ:1.344 | T:25.09 C
I (476195) mpu6050 stream: AX:-0.080 AY:0.084 AZ:-0.949 | GX:0.947 GY:-0.611 GZ:1.450 | T:25.09 C
I (476205) mpu6050 stream: AX:-0.088 AY:0.081 AZ:-0.945 | GX:-0.687 GY:-0.947 GZ:1.405 | T:25.09 C
I (476215) mpu6050 stream: AX:-0.089 AY:0.088 AZ:-0.948 | GX:-1.878 GY:-1.176 GZ:1.573 | T:25.00 C
I (476225) mpu6050 stream: AX:-0.089 AY:0.085 AZ:-0.944 | GX:-1.847 GY:-1.420 GZ:1.618 | T:25.09 C
I (476235) mpu6050 stream: AX:-0.097 AY:0.097 AZ:-0.952 | GX:-1.420 GY:-1.252 GZ:1.802 | T:25.19 C
I (476245) mpu6050 stream: AX:-0.088 AY:0.083 AZ:-0.952 | GX:-0.427 GY:-0.748 GZ:2.061 | T:25.00 C
I (476255) mpu6050 stream: AX:-0.092 AY:0.084 AZ:-0.954 | GX:0.382 GY:-0.672 GZ:1.802 | T:25.09 C
I (476265) mpu6050 stream: AX:-0.093 AY:0.079 AZ:-0.964 | GX:0.534 GY:-0.702 GZ:1.573 | T:25.09 C
I (476275) mpu6050 stream: AX:-0.093 AY:0.078 AZ:-0.953 | GX:0.046 GY:-0.458 GZ:1.420 | T:25.00 C
I (476285) mpu6050 stream: AX:-0.092 AY:0.078 AZ:-0.946 | GX:-0.626 GY:-0.382 GZ:0.870 | T:25.09 C
I (476295) mpu6050 stream: AX:-0.088 AY:0.077 AZ:-0.956 | GX:-1.282 GY:-0.504 GZ:0.427 | T:25.09 C
I (476305) mpu6050 stream: AX:-0.082 AY:0.086 AZ:-0.957 | GX:-1.191 GY:-0.489 GZ:0.229 | T:25.19 C
I (476315) mpu6050 stream: AX:-0.099 AY:0.085 AZ:-0.956 | GX:-1.008 GY:-0.595 GZ:-0.122 | T:25.19 C
I (476325) mpu6050 stream: AX:-0.090 AY:0.089 AZ:-0.951 | GX:-0.489 GY:-0.458 GZ:-0.290 | T:25.09 C
I (476335) mpu6050 stream: AX:-0.089 AY:0.084 AZ:-0.960 | GX:0.168 GY:-0.458 GZ:-0.244 | T:25.09 C
I (476345) mpu6050 stream: AX:-0.095 AY:0.087 AZ:-0.966 | GX:0.000 GY:-0.107 GZ:-0.122 | T:25.09 C
I (476355) mpu6050 stream: AX:-0.091 AY:0.088 AZ:-0.958 | GX:-0.412 GY:0.122 GZ:0.061 | T:25.00 C
I (476365) mpu6050 stream: AX:-0.079 AY:0.092 AZ:-0.958 | GX:-1.084 GY:0.305 GZ:0.122 | T:25.09 C
I (476375) mpu6050 stream: AX:-0.090 AY:0.095 AZ:-0.957 | GX:-1.206 GY:0.153 GZ:0.397 | T:25.09 C
I (476385) mpu6050 stream: AX:-0.092 AY:0.104 AZ:-0.955 | GX:-0.641 GY:0.015 GZ:0.519 | T:25.09 C
I (476395) mpu6050 stream: AX:-0.091 AY:0.101 AZ:-0.953 | GX:0.244 GY:-0.275 GZ:0.992 | T:25.09 C
I (476405) mpu6050 stream: AX:-0.093 AY:0.101 AZ:-0.954 | GX:0.885 GY:-0.427 GZ:1.344 | T:25.00 C
I (476415) mpu6050 stream: AX:-0.098 AY:0.086 AZ:-0.956 | GX:0.947 GY:0.046 GZ:1.527 | T:25.09 C
I (476425) mpu6050 stream: AX:-0.091 AY:0.083 AZ:-0.949 | GX:0.366 GY:0.336 GZ:1.588 | T:25.09 C
I (476435) mpu6050 stream: AX:-0.091 AY:0.081 AZ:-0.952 | GX:-0.489 GY:0.260 GZ:1.588 | T:25.09 C
I (476445) mpu6050 stream: AX:-0.095 AY:0.083 AZ:-0.949 | GX:-1.145 GY:0.275 GZ:1.435 | T:25.09 C
I (476455) mpu6050 stream: AX:-0.094 AY:0.088 AZ:-0.957 | GX:-1.145 GY:0.336 GZ:1.237 | T:25.09 C
I (476465) mpu6050 stream: AX:-0.092 AY:0.092 AZ:-0.954 | GX:-0.748 GY:0.504 GZ:1.191 | T:25.19 C
I (476475) mpu6050 stream: AX:-0.099 AY:0.085 AZ:-0.950 | GX:0.153 GY:0.901 GZ:1.466 | T:25.09 C
I (476485) mpu6050 stream: AX:-0.093 AY:0.080 AZ:-0.961 | GX:0.641 GY:0.718 GZ:1.267 | T:25.19 C
I (476495) mpu6050 stream: AX:-0.092 AY:0.083 AZ:-0.958 | GX:0.855 GY:0.824 GZ:1.221 | T:25.09 C
I (476505) mpu6050 stream: AX:-0.088 AY:0.081 AZ:-0.961 | GX:0.519 GY:0.947 GZ:1.084 | T:25.00 C
I (476515) mpu6050 stream: AX:-0.089 AY:0.082 AZ:-0.951 | GX:0.031 GY:0.870 GZ:1.069 | T:25.00 C
I (476525) mpu6050 stream: AX:-0.089 AY:0.082 AZ:-0.952 | GX:-0.321 GY:0.382 GZ:0.840 | T:25.09 C
I (476535) mpu6050 stream: AX:-0.086 AY:0.090 AZ:-0.945 | GX:-0.153 GY:0.366 GZ:0.855 | T:25.09 C
I (476545) mpu6050 stream: AX:-0.093 AY:0.085 AZ:-0.953 | GX:-0.061 GY:0.015 GZ:0.931 | T:25.09 C
I (476555) mpu6050 stream: AX:-0.086 AY:0.084 AZ:-0.947 | GX:-0.046 GY:-0.046 GZ:0.977 | T:25.09 C
I (476565) mpu6050 stream: AX:-0.088 AY:0.086 AZ:-0.952 | GX:-0.015 GY:0.107 GZ:1.282 | T:25.19 C
I (476575) mpu6050 stream: AX:-0.093 AY:0.085 AZ:-0.960 | GX:-0.198 GY:0.260 GZ:1.206 | T:25.14 C
I (476585) mpu6050 stream: AX:-0.093 AY:0.091 AZ:-0.962 | GX:-0.290 GY:0.336 GZ:1.435 | T:25.14 C
I (476595) mpu6050 stream: AX:-0.084 AY:0.080 AZ:-0.959 | GX:-0.366 GY:0.427 GZ:1.466 | T:25.05 C
I (476605) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.954 | GX:-0.183 GY:0.260 GZ:1.496 | T:25.05 C
I (476615) mpu6050 stream: AX:-0.084 AY:0.089 AZ:-0.946 | GX:-0.137 GY:0.336 GZ:1.344 | T:25.05 C
I (476625) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.956 | GX:-0.336 GY:0.748 GZ:1.298 | T:25.05 C
I (476635) mpu6050 stream: AX:-0.0095 AZ:-0.951 | GX:0.000 GY:0.412 GZ:0.351 | T:25.14 C
I (476865) mpu6050 stream: AX:-0.087 AY:0.082 AZ:-0.948 | GX:0.092 GY:0.168 GZ:0.702 | T:25.05 C
I (476875) mpu6050 stream: AX:-0.092 AY:0.084 AZ:-0.959 | GX:0.595 GY:0.290 GZ:0.397 | T:25.05 C
I (476885) mpu6050 stream: AX:-0.093 AY:0.081 AZ:-0.956 | GX:-0.901 GY:0.718 GZ:0.656 | T:25.14 C
I (476895) mpu6050 stream: AX:-0.086 AY:0.080 AZ:-0.955 | GX:-0.901 GY:0.870 GZ:0.366 | T:25.14 C
I (476905) mpu6050 stream: AX:-0.087 AY:0.078 AZ:-0.958 | GX:-1.710 GY:0.947 GZ:0.260 | T:25.14 C
I (476915) mpu6050 stream: AX:-0.088 AY:0.093 AZ:-0.977 | GX:-2.061 GY:0.885 GZ:0.183 | T:24.95 C
I (476925) mpu6050 stream: AX:-0.082 AY:0.101 AZ:-0.965 | GX:-1.557 GY:0.656 GZ:0.046 | T:25.14 C
I (476935) mpu6050 stream: AX:-0.076 AY:0.098 AZ:-0.956 | GX:-0.565 GY:0.687 GZ:0.015 | T:25.14 C
I (476945) mpu6050 stream: AX:-0.076 AY:0.098 AZ:-0.957 | GX:0.412 GY:0.412 GZ:0.260 | T:25.14 C
I (476955) mpu6050 stream: AX:-0.081 AY:0.093 AZ:-0.948 | GX:1.802 GY:0.290 GZ:0.641 | T:25.14 C
I (476965) mpu6050 stream: AX:-0.090 AY:0.085 AZ:-0.945 | GX:1.282 GY:-0.214 GZ:0.641 | T:25.14 C
I (476975) mpu6050 stream: AX:-0.084 AY:0.083 AZ:-0.944 | GX:0.733 GY:-0.443 GZ:0.809 | T:25.05 C
I (476985) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.943 | GX:-0.992 GY:-0.885 GZ:0.672 | T:25.05 C
I (476995) mpu6050 stream: AX:-0.088 AY:0.085 AZ:-0.948 | GX:-1.893 GY:-1.130 GZ:0.595 | T:25.05 C
I (477005) mpu6050 stream: AX:-0.087 AY:0.090 AZ:-0.954 | GX:-1.771 GY:-1.435 GZ:0.763 | T:25.05 C
