I (652595) mpu6050 stream: AX:0.021 AY:0.075 AZ:-0.964 | GX:0.687 GY:0.550 GZ:1.313 | T:25.00 C
I (652605) mpu6050 stream: AX:0.029 AY:0.074 AZ:-0.960 | GX:0.794 GY:0.550 GZ:1.389 | T:25.00 C
I (652615) mpu6050 stream: AX:0.025 AY:0.070 AZ:-0.963 | GX:0.458 GY:0.672 GZ:1.206 | T:25.00 C
I (652625) mpu6050 stream: AX:0.023 AY:0.081 AZ:-0.965 | GX:0.198 GY:0.473 GZ:1.344 | T:25.00 C
I (652635) mpu6050 stream: AX:0.029 AY:0.070 AZ:-0.955 | GX:0.153 GY:0.656 GZ:1.359 | T:25.00 C
I (652645) mpu6050 stream: AX:0.028 AY:0.074 AZ:-0.962 | GX:0.229 GY:0.779 GZ:1.344 | T:24.91 C
I (652655) mpu6050 stream: AX:0.022 AY:0.070 AZ:-0.967 | GX:0.427 GY:0.718 GZ:1.420 | T:25.00 C
I (652665) mpu6050 stream: AX:0.028 AY:0.071 AZ:-0.958 | GX:0.397 GY:0.626 GZ:1.557 | T:25.09 C
I (652675) mpu6050 stream: AX:0.028 AY:0.071 AZ:-0.962 | GX:0.260 GY:0.656 GZ:1.527 | T:24.91 C
I (652685) mpu6050 stream: AX:0.029 AY:0.074 AZ:-0.948 | GX:0.046 GY:0.595 GZ:1.527 | T:25.00 C
I (652695) mpu6050 stream: AX:0.026 AY:0.073 AZ:-0.966 | GX:0.061 GY:0.489 GZ:1.695 | T:25.00 C
I (652705) mpu6050 stream: AX:0.024 AY:0.077 AZ:-0.957 | GX:-0.168 GY:0.397 GZ:1.649 | T:25.00 C
I (652715) mpu6050 stream: AX:0.027 AY:0.071 AZ:-0.956 | GX:-0.397 GY:0.382 GZ:1.557 | T:25.00 C
I (652725) mpu6050 stream: AX:0.034 AY:0.078 AZ:-0.961 | GX:-0.305 GY:0.107 GZ:1.618 | T:25.00 C
I (652735) mpu6050 stream: AX:0.023 AY:0.073 AZ:-0.956 | GX:-0.137 GY:0.092 GZ:1.298 | T:25.05 C
I (652745) mpu6050 stream: AX:0.021 AY:0.070 AZ:-0.965 | GX:-0.305 GY:0.092 GZ:1.069 | T:24.91 C
I (652755) mpu6050 stream: AX:0.026 AY:0.070 AZ:-0.963 | GX:-0.107 GY:0.458 GZ:1.008 | T:25.05 C
I (652765) mpu6050 stream: AX:0.020 AY:0.073 AZ:-0.961 | GX:-0.092 GY:0.336 GZ:0.611 | T:24.95 C
I (652775) mpu6050 stream: AX:0.029 AY:0.075 AZ:-0.962 | GX:-0.214 GY:0.061 GZ:0.550 | T:24.95 C
I (652785) mpu6050 stream: AX:0.034 AY:0.073 AZ:-0.956 | GX:-0.305 GY:0.000 GZ:0.473 | T:24.95 C
I (652795) mpu6050 stream: AX:0.027 AY:0.073 AZ:-0.955 | GX:-0.412 GY:-0.031 GZ:0.382 | T:24.86 C
I (652805) mpu6050 stream: AX:0.022 AY:0.075 AZ:-0.950 | GX:-0.489 GY:-0.290 GZ:0.290 | T:24.95 C
I (652815) mpu6050 stream: AX:0.025 AY:0.073 AZ:-0.967 | GX:-0.718 GY:-0.321 GZ:0.198 | T:25.05 C
